"@code","@name","@level","@unit","id","meta_name","@parentCode"
"300","受注高","","百万円","tab","表章項目",""
"100","計","1","","cat03","業種1","nan"
"110","１．総合工事業","2","","cat03","業種1","100"
"120","[1]一般土木建築工事業","3","","cat03","業種1","110"
"130","[2]土木工事業","3","","cat03","業種1","110"
"140","[3]造園工事業","3","","cat03","業種1","110"
"150","[4]水道施設工事業","3","","cat03","業種1","110"
"160","[5]舗装工事業","3","","cat03","業種1","110"
"170","[6]しゅんせつ工事業","3","","cat03","業種1","110"
"180","[7]建築工事業","3","","cat03","業種1","110"
"190","[8]木造建築工事業","3","","cat03","業種1","110"
"200","２．職別工事業","2","","cat03","業種1","100"
"210","[1]大工工事業","3","","cat03","業種1","200"
"220","[2]とび・土工・コンクリート工事業","3","","cat03","業種1","200"
"230","[3]鉄骨工事業","3","","cat03","業種1","200"
"240","[4]鉄筋工事業","3","","cat03","業種1","200"
"250","[5]石工工事業","3","","cat03","業種1","200"
"260","[6]煉瓦・タイル・ブロック工事業","3","","cat03","業種1","200"
"270","[7]左官工事業","3","","cat03","業種1","200"
"280","[8]屋根工事業","3","","cat03","業種1","200"
"290","[9]金属製屋根工事業","3","","cat03","業種1","200"
"300","[10]板金工事業","3","","cat03","業種1","200"
"310","[11]塗装工事業","3","","cat03","業種1","200"
"320","[12]ガラス工事業","3","","cat03","業種1","200"
"330","[13]建具工事業","3","","cat03","業種1","200"
"340","[14]防水工事業","3","","cat03","業種1","200"
"350","[15]内装工事業","3","","cat03","業種1","200"
"360","[16]はつり・解体工事業","3","","cat03","業種1","200"
"370","３．設備工事業","2","","cat03","業種1","100"
"380","[1]電気工事業","3","","cat03","業種1","370"
"390","[2]電気通信工事業","3","","cat03","業種1","370"
"400","[3]管工事業","3","","cat03","業種1","370"
"410","[4]さく井工事業","3","","cat03","業種1","370"
"420","[5]熱絶縁工事業","3","","cat03","業種1","370"
"430","[6]機械器具設置工事業","3","","cat03","業種1","370"
"440","[7]消防施設工事業","3","","cat03","業種1","370"
"450","[8]その他の設備工事業","3","","cat03","業種1","370"
"00000","全国","1","","area","業者所在都道府県・ブロック",""
"01000","北海道","2","","area","業者所在都道府県・ブロック",""
"02000","青森県","2","","area","業者所在都道府県・ブロック",""
"03000","岩手県","2","","area","業者所在都道府県・ブロック",""
"04000","宮城県","2","","area","業者所在都道府県・ブロック",""
"05000","秋田県","2","","area","業者所在都道府県・ブロック",""
"06000","山形県","2","","area","業者所在都道府県・ブロック",""
"07000","福島県","2","","area","業者所在都道府県・ブロック",""
"08000","茨城県","2","","area","業者所在都道府県・ブロック",""
"09000","栃木県","2","","area","業者所在都道府県・ブロック",""
"10000","群馬県","2","","area","業者所在都道府県・ブロック",""
"11000","埼玉県","2","","area","業者所在都道府県・ブロック",""
"12000","千葉県","2","","area","業者所在都道府県・ブロック",""
"13000","東京都","2","","area","業者所在都道府県・ブロック",""
"14000","神奈川県","2","","area","業者所在都道府県・ブロック",""
"15000","新潟県","2","","area","業者所在都道府県・ブロック",""
"16000","富山県","2","","area","業者所在都道府県・ブロック",""
"17000","石川県","2","","area","業者所在都道府県・ブロック",""
"18000","福井県","2","","area","業者所在都道府県・ブロック",""
"19000","山梨県","2","","area","業者所在都道府県・ブロック",""
"20000","長野県","2","","area","業者所在都道府県・ブロック",""
"21000","岐阜県","2","","area","業者所在都道府県・ブロック",""
"22000","静岡県","2","","area","業者所在都道府県・ブロック",""
"23000","愛知県","2","","area","業者所在都道府県・ブロック",""
"24000","三重県","2","","area","業者所在都道府県・ブロック",""
"25000","滋賀県","2","","area","業者所在都道府県・ブロック",""
"26000","京都府","2","","area","業者所在都道府県・ブロック",""
"27000","大阪府","2","","area","業者所在都道府県・ブロック",""
"28000","兵庫県","2","","area","業者所在都道府県・ブロック",""
"29000","奈良県","2","","area","業者所在都道府県・ブロック",""
"30000","和歌山県","2","","area","業者所在都道府県・ブロック",""
"31000","鳥取県","2","","area","業者所在都道府県・ブロック",""
"32000","島根県","2","","area","業者所在都道府県・ブロック",""
"33000","岡山県","2","","area","業者所在都道府県・ブロック",""
"34000","広島県","2","","area","業者所在都道府県・ブロック",""
"35000","山口県","2","","area","業者所在都道府県・ブロック",""
"36000","徳島県","2","","area","業者所在都道府県・ブロック",""
"37000","香川県","2","","area","業者所在都道府県・ブロック",""
"38000","愛媛県","2","","area","業者所在都道府県・ブロック",""
"39000","高知県","2","","area","業者所在都道府県・ブロック",""
"40000","福岡県","2","","area","業者所在都道府県・ブロック",""
"41000","佐賀県","2","","area","業者所在都道府県・ブロック",""
"42000","長崎県","2","","area","業者所在都道府県・ブロック",""
"43000","熊本県","2","","area","業者所在都道府県・ブロック",""
"44000","大分県","2","","area","業者所在都道府県・ブロック",""
"45000","宮崎県","2","","area","業者所在都道府県・ブロック",""
"46000","鹿児島県","2","","area","業者所在都道府県・ブロック",""
"47000","沖縄県","2","","area","業者所在都道府県・ブロック",""
"2019100000","2019年度","1","","time","年度次",""
"2018100000","2018年度","1","","time","年度次",""
"2017100000","2017年度","1","","time","年度次",""
"2016100000","2016年度","1","","time","年度次",""
"2015100000","2015年度","1","","time","年度次",""
"2014100000","2014年度","1","","time","年度次",""
"2013100000","2013年度","1","","time","年度次",""
"2012100000","2012年度","1","","time","年度次",""
"2011100000","2011年度","1","","time","年度次",""
