"@code","@name","@level","id","meta_name","@unit","@parentCode"
"300","運航及び輸送実績","","tab","表章項目","",""
"100","運航回数","1","cat01","運航・輸送実績","回","nan"
"110","運航キロメートル","1","cat01","運航・輸送実績","キロメートル","nan"
"200","旅客数","1","cat01","運航・輸送実績","人","nan"
"210","座席数","1","cat01","運航・輸送実績","席","nan"
"220","旅客人キロメートル","1","cat01","運航・輸送実績","人キロメートル","nan"
"230","座席キロメートル","1","cat01","運航・輸送実績","座席キロメートル","nan"
"240","座席利用率","1","cat01","運航・輸送実績","％","nan"
"310","貨物重量","2","cat01","運航・輸送実績","Kg","300"
"320","超過手荷物重量","2","cat01","運航・輸送実績","Kg","300"
"330","郵便物重量","2","cat01","運航・輸送実績","Kg","300"
"400","トンキロメートル計","1","cat01","運航・輸送実績","トンキロメートル","nan"
"410","旅客トンキロメートル","2","cat01","運航・輸送実績","トンキロメートル","400"
"420","貨物トンキロメートル","2","cat01","運航・輸送実績","トンキロメートル","400"
"430","超過手荷物トンキロメートル","2","cat01","運航・輸送実績","トンキロメートル","400"
"440","郵便物トンキロメートル","2","cat01","運航・輸送実績","トンキロメートル","400"
"500","利用可能トンキロメートル","1","cat01","運航・輸送実績","トンキロメートル","nan"
"600","重量利用率","1","cat01","運航・輸送実績","％","nan"
"100","計","1","cat02","往路・復路","","nan"
"110","往路","2","cat02","往路・復路","","1000"
"120","復路","2","cat02","往路・復路","","1000"
"1000","東京（羽田）―稚内線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1010","東京（羽田）―釧路線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1020","東京（羽田）―函館線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1030","東京（羽田）―旭川線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1040","東京（羽田）―帯広線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1050","東京（羽田）―中標津線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1060","東京（羽田）―女満別線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1070","東京（羽田）―紋別線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1080","東京（羽田）―青森線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1090","東京（羽田）―三沢線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1092","東京（羽田）―花巻線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1095","東京（羽田）―仙台線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1100","東京（羽田）―秋田線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1110","東京（羽田）―大館線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1120","東京（羽田）―山形線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1130","東京（羽田）―庄内線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1140","東京（羽田）―大島線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1150","東京（羽田）―三宅島線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1160","東京（羽田）―八丈島線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1170","東京（羽田）―富山線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1180","東京（羽田）―金沢（小松）線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1190","東京（羽田）―能登線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1200","東京（羽田）―中部線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1210","東京（羽田）―南紀白浜線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1220","東京（羽田）―神戸線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1230","東京（羽田）―鳥取線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1240","東京（羽田）―米子（美保）線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1250","東京（羽田）―出雲線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1260","東京（羽田）―石見線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1270","東京（羽田）―岡山線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1280","東京（羽田）―広島線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1290","東京（羽田）―岩国線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1300","東京（羽田）―山口宇部線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1310","東京（羽田）―徳島線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1320","東京（羽田）―高松線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1330","東京（羽田）―松山線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1340","東京（羽田）―高知線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1350","東京（羽田）―北九州線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1360","東京（羽田）―佐賀線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1370","東京（羽田）―長崎線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1380","東京（羽田）―長崎線【往復神戸経由】","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1390","東京（羽田）―長崎線【往復神戸経由】《往路内訳　東京（羽田）→神戸》","2","cat03","国内定期航空路線・区間（ローカル線）","","1380"
"1400","東京（羽田）―長崎線【往復神戸経由】《往路内訳　神戸→長崎》","2","cat03","国内定期航空路線・区間（ローカル線）","","1380"
"1410","東京（羽田）―長崎線【往復神戸経由】《往路内訳　東京（羽田）→神戸→長崎》","2","cat03","国内定期航空路線・区間（ローカル線）","","1380"
"1420","東京（羽田）―長崎線【往復神戸経由】《復路内訳　長崎→神戸》","2","cat03","国内定期航空路線・区間（ローカル線）","","1380"
"1430","東京（羽田）―長崎線【往復神戸経由】《復路内訳　神戸→東京（羽田）》","2","cat03","国内定期航空路線・区間（ローカル線）","","1380"
"1440","東京（羽田）―長崎線【往復神戸経由】《復路内訳　長崎→神戸→東京（羽田）》","2","cat03","国内定期航空路線・区間（ローカル線）","","1380"
"1450","東京（羽田）―熊本線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1460","東京（羽田）―大分線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1470","東京（羽田）―宮崎線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1480","東京（羽田）―鹿児島線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1490","東京（羽田）―奄美大島線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1499","東京（羽田）―久米島線","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
"1500","東京（羽田）―久米島線【復路のみ那覇経由】","1","cat03","国内定期航空路線・区間（ローカル線）","","nan"
