"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003375560","退職公務員生活状況調査 平成２２年度 退職公務員生活状況調査 統計表 １　基本的事項","表２　現在の居住地（都道府県別）","-","201004-201103","2020-01-23","0","該当なし","316","2020-01-24","","00020151","退職公務員生活状況調査","00020","人事院","13","行財政","03","公務員","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","表２　現在の居住地（都道府県別）",""
"0003375561","退職公務員生活状況調査 平成２２年度 退職公務員生活状況調査 統計表 １　基本的事項","表２　現在の居住地（居住市町村の人口規模別）","-","201004-201103","2020-01-23","0","該当なし","46","2020-01-24","","00020151","退職公務員生活状況調査","00020","人事院","13","行財政","03","公務員","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","表２　現在の居住地（居住市町村の人口規模別）",""
"0003398547","退職公務員生活状況調査 平成２２年度 退職公務員生活状況調査 統計表 １　基本的事項","表１　性別","-","201004-201103","2020-01-23","0","該当なし","8","2020-01-24","","00020151","退職公務員生活状況調査","00020","人事院","13","行財政","03","公務員","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","表１　性別","注)　「割合（％）」については、合計欄には「100.0」と記載しているが、端数処理の関係から実際の合計は100％にはならないことがある。以下同じ。"
"0003398548","退職公務員生活状況調査 平成２２年度 退職公務員生活状況調査 統計表 １　基本的事項","表３　勤続年数","-","201004-201103","2020-01-23","0","該当なし","80","2020-01-24","","00020151","退職公務員生活状況調査","00020","人事院","13","行財政","03","公務員","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","表３　勤続年数",""
"0003398549","退職公務員生活状況調査 平成２２年度 退職公務員生活状況調査 統計表 １　基本的事項","表６　給与法適用職員の退職時の職種","-","201004-201103","2020-01-23","0","該当なし","54","2020-01-24","","00020151","退職公務員生活状況調査","00020","人事院","13","行財政","03","公務員","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","表６　給与法適用職員の退職時の職種","※母集団は、表題「給与制度の区分」の「定年退職時」で適用区分を「給与法適用職員」とした2,658人。"
"0003398550","退職公務員生活状況調査 平成２２年度 退職公務員生活状況調査 統計表 １　基本的事項","表７　給与法適用職員の退職時の職務の級","-","201004-201103","2020-01-23","0","該当なし","195","2020-01-24","","00020151","退職公務員生活状況調査","00020","人事院","13","行財政","03","公務員","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","表７　給与法適用職員の退職時の職務の級","※母集団は、表題「給与制度の区分」の「定年退職時」で適用区分を「給与法適用職員」とした2,658人。"
"0003398551","退職公務員生活状況調査 平成２２年度 退職公務員生活状況調査 統計表 １　基本的事項","表８　満額の退職共済年金の支給開始年齢を知った時期","-","201004-201103","2020-01-23","0","該当なし","46","2020-01-24","","00020151","退職公務員生活状況調査","00020","人事院","13","行財政","03","公務員","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","１　基本的事項","表８　満額の退職共済年金の支給開始年齢を知った時期",""
"0003375592","退職公務員生活状況調査 平成２２年度 退職公務員生活状況調査 統計表 ２　退職時の就労希望の状況","表13　働きたいと思った年齢","-","201004-201103","2020-01-23","0","該当なし","256","2020-01-24","","00020151","退職公務員生活状況調査","00020","人事院","13","行財政","03","公務員","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","２　退職時の就労希望の状況","表13　働きたいと思った年齢","※「男女別」の母集団は、表９で「退職後も働きたいと思った」とした2,362人。<br>※「就労者」の母集団は、表９で「退職後も働きたいと思った」とした2,362人のうち現在就労している1,872人。<br>※「非就労者」の母集団は、表９で「退職後も働きたいと思った」とした2,362人のうち現在就労していない489人。"
"0003398552","退職公務員生活状況調査 平成２２年度 退職公務員生活状況調査 統計表 ２　退職時の就労希望の状況","表９　退職時の就労希望の有無","-","201004-201103","2020-01-23","0","該当なし","32","2020-01-24","","00020151","退職公務員生活状況調査","00020","人事院","13","行財政","03","公務員","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","２　退職時の就労希望の状況","表９　退職時の就労希望の有無",""
"0003398553","退職公務員生活状況調査 平成２２年度 退職公務員生活状況調査 統計表 ２　退職時の就労希望の状況","表10　退職後も働きたいと思った理由（複数回答）","-","201004-201103","2020-01-23","0","該当なし","68","2020-01-24","","00020151","退職公務員生活状況調査","00020","人事院","13","行財政","03","公務員","退職公務員生活状況調査","平成２２年度 退職公務員生活状況調査","統計表","２　退職時の就労希望の状況","表10　退職後も働きたいと思った理由（複数回答）","※母集団は、表９で「退職後も働きたいと思った」とした2,362人。"
