"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003353944","情報化社会と青少年に関する調査 青少年に対する質問","青少年 Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　性別","年度次","200104-200203","2019-12-11","0","全国","27","2019-12-12","","00100101","情報化社会と青少年に関する調査","00170","こども家庭庁","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","情報化社会と青少年に関する調査","青少年に対する質問","青少年","Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　性別",""
"0003353945","情報化社会と青少年に関する調査 青少年に対する質問","青少年 Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　年齢1","年度次","200104-200203","2019-12-11","0","全国","45","2019-12-12","","00100101","情報化社会と青少年に関する調査","00170","こども家庭庁","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","情報化社会と青少年に関する調査","青少年に対する質問","青少年","Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　年齢1",""
"0003353946","情報化社会と青少年に関する調査 青少年に対する質問","青少年 Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　性・年齢1","年度次","200104-200203","2019-12-11","0","全国","99","2019-12-12","","00100101","情報化社会と青少年に関する調査","00170","こども家庭庁","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","情報化社会と青少年に関する調査","青少年に対する質問","青少年","Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　性・年齢1",""
"0003353947","情報化社会と青少年に関する調査 青少年に対する質問","青少年 Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　同居世帯","年度次","200104-200203","2019-12-11","0","全国","45","2019-12-12","","00100101","情報化社会と青少年に関する調査","00170","こども家庭庁","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","情報化社会と青少年に関する調査","青少年に対する質問","青少年","Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　同居世帯",""
"0003353948","情報化社会と青少年に関する調査 青少年に対する質問","青少年 Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　学職別","年度次","200104-200203","2019-12-11","0","全国","126","2019-12-12","","00100101","情報化社会と青少年に関する調査","00170","こども家庭庁","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","情報化社会と青少年に関する調査","青少年に対する質問","青少年","Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　学職別",""
"0003353949","情報化社会と青少年に関する調査 青少年に対する質問","青少年 Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　都市規模","年度次","200104-200203","2019-12-11","0","全国","45","2019-12-12","","00100101","情報化社会と青少年に関する調査","00170","こども家庭庁","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","情報化社会と青少年に関する調査","青少年に対する質問","青少年","Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　都市規模",""
"0003353950","情報化社会と青少年に関する調査 青少年に対する質問","青少年 Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　地区","年度次","200104-200203","2019-12-11","0","全国","72","2019-12-12","","00100101","情報化社会と青少年に関する調査","00170","こども家庭庁","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","情報化社会と青少年に関する調査","青少年に対する質問","青少年","Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　地区",""
"0003353951","情報化社会と青少年に関する調査 青少年に対する質問","青少年 Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　携帯電話・PHS利用の有無","年度次","200104-200203","2019-12-11","0","全国","27","2019-12-12","","00100101","情報化社会と青少年に関する調査","00170","こども家庭庁","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","情報化社会と青少年に関する調査","青少年に対する質問","青少年","Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　携帯電話・PHS利用の有無",""
"0003353952","情報化社会と青少年に関する調査 青少年に対する質問","青少年 Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　パソコン利用の有無","年度次","200104-200203","2019-12-11","0","全国","27","2019-12-12","","00100101","情報化社会と青少年に関する調査","00170","こども家庭庁","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","情報化社会と青少年に関する調査","青少年に対する質問","青少年","Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　パソコン利用の有無",""
"0003353953","情報化社会と青少年に関する調査 青少年に対する質問","青少年 Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　インターネット利用経験","年度次","200104-200203","2019-12-11","0","全国","72","2019-12-12","","00100101","情報化社会と青少年に関する調査","00170","こども家庭庁","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","情報化社会と青少年に関する調査","青少年に対する質問","青少年","Q1a　あなたは、ふだん1日平均何時間くらいテレビを見ていますか。　インターネット利用経験",""
