"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_CATEGORY"
"0003346730","低年齢層の子供のインターネット利用環境実態調査","年度次","201604-201703","2019-10-30","0","該当なし","120","2019-10-31","","00100109","低年齢層の子供のインターネット利用環境実態調査","00170","こども家庭庁","1","Ｑ１〔機器の利用状況〕調査方法〔訪問・ＷＥＢ・郵送〕","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","低年齢層の子供のインターネット利用環境実態調査","Ｑ１〔機器の利用状況〕調査方法〔訪問・ＷＥＢ・郵送〕",""
"0003346762","低年齢層の子供のインターネット利用環境実態調査","年度次","201604-201703","2019-10-30","0","該当なし","90","2019-10-31","","00100109","低年齢層の子供のインターネット利用環境実態調査","00170","こども家庭庁","1","Ｑ１〔機器の利用状況〕Ｆ３〔子供の性別〕","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","低年齢層の子供のインターネット利用環境実態調査","Ｑ１〔機器の利用状況〕Ｆ３〔子供の性別〕",""
"0003346763","低年齢層の子供のインターネット利用環境実態調査","年度次","201604-201703","2019-10-30","0","該当なし","330","2019-10-31","","00100109","低年齢層の子供のインターネット利用環境実態調査","00170","こども家庭庁","1","Ｑ１〔機器の利用状況〕Ｆ４〔子供の年齢別〕","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","低年齢層の子供のインターネット利用環境実態調査","Ｑ１〔機器の利用状況〕Ｆ４〔子供の年齢別〕",""
"0003346764","低年齢層の子供のインターネット利用環境実態調査","年度次","201604-201703","2019-10-30","0","該当なし","390","2019-10-31","","00100109","低年齢層の子供のインターネット利用環境実態調査","00170","こども家庭庁","1","Ｑ１〔機器の利用状況〕Ｆ５〔通園・通学別〕","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","低年齢層の子供のインターネット利用環境実態調査","Ｑ１〔機器の利用状況〕Ｆ５〔通園・通学別〕",""
"0003346765","低年齢層の子供のインターネット利用環境実態調査","年度次","201604-201703","2019-10-30","0","該当なし","840","2019-10-31","","00100109","低年齢層の子供のインターネット利用環境実態調査","00170","こども家庭庁","1","Ｑ１〔機器の利用状況〕Ｑ１〔機器の利用状況〕","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","低年齢層の子供のインターネット利用環境実態調査","Ｑ１〔機器の利用状況〕Ｑ１〔機器の利用状況〕",""
"0003346766","低年齢層の子供のインターネット利用環境実態調査","年度次","201604-201703","2019-10-30","0","該当なし","2850","2019-10-31","","00100109","低年齢層の子供のインターネット利用環境実態調査","00170","こども家庭庁","1","Ｑ１〔機器の利用状況〕Ｑ２〔機器の専用・共用（Ａ１スマホ～Ｇ１インターネット接続テレビ）〕","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","低年齢層の子供のインターネット利用環境実態調査","Ｑ１〔機器の利用状況〕Ｑ２〔機器の専用・共用（Ａ１スマホ～Ｇ１インターネット接続テレビ）〕",""
"0003346767","低年齢層の子供のインターネット利用環境実態調査","年度次","201604-201703","2019-10-30","0","該当なし","900","2019-10-31","","00100109","低年齢層の子供のインターネット利用環境実態調査","00170","こども家庭庁","1","Ｑ１〔機器の利用状況〕【全数】Ｑ３〔ネット利用状況（ネット利用まとめ）〕","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","低年齢層の子供のインターネット利用環境実態調査","Ｑ１〔機器の利用状況〕【全数】Ｑ３〔ネット利用状況（ネット利用まとめ）〕",""
"0003346768","低年齢層の子供のインターネット利用環境実態調査","年度次","201604-201703","2019-10-30","0","該当なし","2850","2019-10-31","","00100109","低年齢層の子供のインターネット利用環境実態調査","00170","こども家庭庁","1","Ｑ１〔機器の利用状況〕【全数】Ｑ３〔ネット利用状況〕","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","低年齢層の子供のインターネット利用環境実態調査","Ｑ１〔機器の利用状況〕【全数】Ｑ３〔ネット利用状況〕",""
"0003346769","低年齢層の子供のインターネット利用環境実態調査","年度次","201604-201703","2019-10-30","0","該当なし","1890","2019-10-31","","00100109","低年齢層の子供のインターネット利用環境実態調査","00170","こども家庭庁","1","Ｑ１〔機器の利用状況〕Ｑ４〔ネットの単独操作（Ａ１スマホ～Ｇ１インターネット接続テレビ）〕","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","低年齢層の子供のインターネット利用環境実態調査","Ｑ１〔機器の利用状況〕Ｑ４〔ネットの単独操作（Ａ１スマホ～Ｇ１インターネット接続テレビ）〕",""
"0003346770","低年齢層の子供のインターネット利用環境実態調査","年度次","201604-201703","2019-10-30","0","該当なし","6240","2019-10-31","","00100109","低年齢層の子供のインターネット利用環境実態調査","00170","こども家庭庁","1","Ｑ１〔機器の利用状況〕Ｑ５〔ネット利用項目（Ａ１スマホ～Ｇ１インターネット接続テレビ）〕","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","低年齢層の子供のインターネット利用環境実態調査","Ｑ１〔機器の利用状況〕Ｑ５〔ネット利用項目（Ａ１スマホ～Ｇ１インターネット接続テレビ）〕",""
