"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION","TITLE"
"0003225650","企業行動に関するアンケート調査 上場企業","年度次","0","2023-03-01","0","該当なし","2040","2024-07-24","","00100402","企業行動に関するアンケート調査","00100","内閣府","1-1","１　景気・需要見通し 我が国の名目経済成長率見通し（次年度） 産業別","07","企業・家計・経済","01","企業活動","企業行動に関するアンケート調査","上場企業","１　景気・需要見通し","我が国の名目経済成長率見通し（次年度）","産業別","",""
"0003225651","企業行動に関するアンケート調査 上場企業","年度次","0","2022-12-01","0","該当なし","10842","2024-07-24","","00100402","企業行動に関するアンケート調査","00100","内閣府","1-1","１　景気・需要見通し 我が国の名目経済成長率見通し（次年度） 業種別","07","企業・家計・経済","01","企業活動","企業行動に関するアンケート調査","上場企業","１　景気・需要見通し","我が国の名目経済成長率見通し（次年度）","業種別","",""
"0003225652","企業行動に関するアンケート調査 上場企業","年度次","0","2022-12-01","0","該当なし","1360","2024-07-24","","00100402","企業行動に関するアンケート調査","00100","内閣府","1-1","１　景気・需要見通し 我が国の名目経済成長率見通し（次年度） 資本金規模別","07","企業・家計・経済","01","企業活動","企業行動に関するアンケート調査","上場企業","１　景気・需要見通し","我が国の名目経済成長率見通し（次年度）","資本金規模別","",""
"0003225680","企業行動に関するアンケート調査 上場企業","年度次","0","2023-03-01","0","該当なし","2232","2024-07-24","","00100402","企業行動に関するアンケート調査","00100","内閣府","1-10","１　景気・需要見通し 業界需要の実質成長率見通し（次年度） 産業別","07","企業・家計・経済","01","企業活動","企業行動に関するアンケート調査","上場企業","１　景気・需要見通し","業界需要の実質成長率見通し（次年度）","産業別","",""
"0003225681","企業行動に関するアンケート調査 上場企業","年度次","0","2022-12-01","0","該当なし","10842","2024-07-24","","00100402","企業行動に関するアンケート調査","00100","内閣府","1-10","１　景気・需要見通し 業界需要の実質成長率見通し（次年度） 業種別（平成15年度以降）","07","企業・家計・経済","01","企業活動","企業行動に関するアンケート調査","上場企業","１　景気・需要見通し","業界需要の実質成長率見通し（次年度）","業種別（平成15年度以降）","",""
"0003225682","企業行動に関するアンケート調査 上場企業","年度次","0","2018-10-31","0","該当なし","960","2023-03-27","","00100402","企業行動に関するアンケート調査","00100","内閣府","1-10","１　景気・需要見通し 業界需要の実質成長率見通し（次年度） 業種別（平成14年度、平成13年度）","07","企業・家計・経済","01","企業活動","企業行動に関するアンケート調査","上場企業","１　景気・需要見通し","業界需要の実質成長率見通し（次年度）","業種別（平成14年度、平成13年度）","",""
"0003225683","企業行動に関するアンケート調査 上場企業","年度次","0","2022-12-01","0","該当なし","1488","2024-07-24","","00100402","企業行動に関するアンケート調査","00100","内閣府","1-10","１　景気・需要見通し 業界需要の実質成長率見通し（次年度） 資本金規模別","07","企業・家計・経済","01","企業活動","企業行動に関するアンケート調査","上場企業","１　景気・需要見通し","業界需要の実質成長率見通し（次年度）","資本金規模別","",""
"0003225684","企業行動に関するアンケート調査 上場企業","年度次","0","2023-03-01","0","該当なし","2232","2024-07-24","","00100402","企業行動に関するアンケート調査","00100","内閣府","1-11","１　景気・需要見通し 業界需要の実質成長率見通し（今後３年間） 産業別","07","企業・家計・経済","01","企業活動","企業行動に関するアンケート調査","上場企業","１　景気・需要見通し","業界需要の実質成長率見通し（今後３年間）","産業別","",""
"0003225685","企業行動に関するアンケート調査 上場企業","年度次","0","2022-12-01","0","該当なし","11344","2024-07-24","","00100402","企業行動に関するアンケート調査","00100","内閣府","1-11","１　景気・需要見通し 業界需要の実質成長率見通し（今後３年間） 業種別（平成15年度以降）","07","企業・家計・経済","01","企業活動","企業行動に関するアンケート調査","上場企業","１　景気・需要見通し","業界需要の実質成長率見通し（今後３年間）","業種別（平成15年度以降）","",""
"0003225686","企業行動に関するアンケート調査 上場企業","年度次","0","2018-10-31","0","該当なし","960","2023-03-27","","00100402","企業行動に関するアンケート調査","00100","内閣府","1-11","１　景気・需要見通し 業界需要の実質成長率見通し（今後３年間） 業種別（平成14年度、平成13年度）","07","企業・家計・経済","01","企業活動","企業行動に関するアンケート調査","上場企業","１　景気・需要見通し","業界需要の実質成長率見通し（今後３年間）","業種別（平成14年度、平成13年度）","",""
