"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE.@no","TITLE.$"
"0003281500","交通事故の発生状況","交通事故の発生状況 交通事故発生状況の推移","年次","0","2020-10-05","0","該当なし","497","2020-10-06","","00130002","道路の交通に関する統計","00130","警察庁","14","司法・安全・環境","04","事故","交通事故の発生状況","交通事故の発生状況","交通事故発生状況の推移","注１　算出に用いた人口は、各年の前年の人口であり、総務省統計資料「国勢調査」又は「人口推計」（各年10月１日現在人口（補間補正を行っていないもの。ただし、1948年及び1949年は補間補正人口））による。<br>　２　1971年以前は、沖縄県を含まない。<br>　３　1965年以前の件数は、物損事故を含む。<br>　４　1959年以前は、軽微な被害事故（８日未満の負傷、２万円以下の物的損害）は含まない。","",""
"0003281501","交通事故の発生状況","交通事故の発生状況 年齢層別人口10万人当たり負傷者数の推移","年次","0","2020-10-05","0","該当なし","294","2020-10-06","","00130002","道路の交通に関する統計","00130","警察庁","14","司法・安全・環境","04","事故","交通事故の発生状況","交通事故の発生状況","年齢層別人口10万人当たり負傷者数の推移","注　算出に用いた人口は、各年の前年の人口であり、総務省統計資料「国勢調査」又は「人口推計」（各年10月１日現在人口（補間補正を行っていないもの））による。","",""
"0003281502","交通事故の発生状況","交通事故の発生状況 年齢層別負傷者数の推移","年次","0","2020-10-05","0","該当なし","294","2020-10-06","","00130002","道路の交通に関する統計","00130","警察庁","14","司法・安全・環境","04","事故","交通事故の発生状況","交通事故の発生状況","年齢層別負傷者数の推移","","",""
"0003281503","交通事故の発生状況","交通事故の発生状況 状態別負傷者数の推移","年次","0","2020-10-05","0","該当なし","112","2020-10-06","","00130002","道路の交通に関する統計","00130","警察庁","14","司法・安全・環境","04","事故","交通事故の発生状況","交通事故の発生状況","状態別負傷者数の推移","","",""
"0003281505","交通事故の発生状況","交通事故の発生状況 年齢層別・状態別人口10万人当たり負傷者数の推移","年次","0","2020-10-05","0","該当なし","1939","2020-10-06","","00130002","道路の交通に関する統計","00130","警察庁","14","司法・安全・環境","04","事故","交通事故の発生状況","交通事故の発生状況","年齢層別・状態別人口10万人当たり負傷者数の推移","注　算出に用いた人口は、各年の前年の人口であり、総務省統計資料「国勢調査」又は「人口推計」（各年10月１日現在人口（補間補正を行っていないもの））による。","",""
"0003281506","交通事故の発生状況","交通事故の発生状況 年齢層別・状態別負傷者数の推移","年次","0","2020-10-05","0","該当なし","1939","2020-10-06","","00130002","道路の交通に関する統計","00130","警察庁","14","司法・安全・環境","04","事故","交通事故の発生状況","交通事故の発生状況","年齢層別・状態別負傷者数の推移","","",""
"0003281507","交通事故の発生状況","交通事故の発生状況 損傷部位別死傷者数の推移","年次","0","2020-10-05","0","該当なし","476","2020-10-06","","00130002","道路の交通に関する統計","00130","警察庁","14","司法・安全・環境","04","事故","交通事故の発生状況","交通事故の発生状況","損傷部位別死傷者数の推移","注１　損傷主部位とは、損傷程度が最も重い部位をいい、死者については致命傷の部位をいう。<br>　 ２　「全損」とは、損傷が多数あり、致命傷が複数ある場合をいう。","",""
"0003281508","交通事故の発生状況","交通事故の発生状況 損傷部位別・状態別死傷者数","年次","0","2020-10-05","0","該当なし","552","2020-10-06","","00130002","道路の交通に関する統計","00130","警察庁","14","司法・安全・環境","04","事故","交通事故の発生状況","交通事故の発生状況","損傷部位別・状態別死傷者数","注１　損傷主部位とは、損傷程度が最も重い部位をいい、死者については致命傷の部位をいう。<br>　 ２　「全損」とは、損傷が多数あり、致命傷が複数ある場合をいう。","",""
"0003281509","交通事故の発生状況","交通事故の発生状況 昼夜別・年齢層別・状態別人口10万人当たり死傷者数","年次","0","2020-10-05","0","該当なし","1064","2020-10-06","","00130002","道路の交通に関する統計","00130","警察庁","14","司法・安全・環境","04","事故","交通事故の発生状況","交通事故の発生状況","昼夜別・年齢層別・状態別人口10万人当たり死傷者数","注１　「昼」とは、日の出から日没までを、「夜」とは、日没から日の出までをいう。<br>　２　算出に用いた人口は、各年の前年の人口であり、総務省統計資料「国勢調査」又は「人口推計」（各年10月１日現在人口（補間補正を行っていないもの））による。","",""
"0003281510","交通事故の発生状況","交通事故の発生状況 昼夜別・年齢層別・状態別死傷者数","年次","0","2020-10-05","0","該当なし","1064","2020-10-06","","00130002","道路の交通に関する統計","00130","警察庁","14","司法・安全・環境","04","事故","交通事故の発生状況","交通事故の発生状況","昼夜別・年齢層別・状態別死傷者数","注　「昼」とは、日の出から日没までを、「夜」とは、日没から日の出までをいう。","",""
