"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE"
"0003172880","地方財政状況調査 市町村分 調査表","年度次","0","2017-03-24","0","該当なし","14684","2021-08-20","","00200251","地方財政状況調査","00200","総務省","00","表紙　条件コード表（普通会計における実質収支等） 市町村分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","表紙　条件コード表（普通会計における実質収支等）","市町村分","",""
"0003172881","地方財政状況調査 市町村分 調査表","年度次","0","2020-03-13","0","該当なし","123978","2021-10-12","","00200251","地方財政状況調査","00200","総務省","00","団体の概況 事務組合分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","団体の概況","事務組合分","",""
"0003172900","地方財政状況調査 市町村分 調査表","年度次","0","2017-03-24","0","該当なし","13440","2021-03-09","","00200251","地方財政状況調査","00200","総務省","00","表紙　条件コード表（普通会計における実質収支等） 事務組合分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","表紙　条件コード表（普通会計における実質収支等）","事務組合分","",""
"0003172920","地方財政状況調査 市町村分 調査表","年度次","0","2020-03-13","0","該当なし","144637","2021-10-12","","00200251","地方財政状況調査","00200","総務省","00","団体の概況 市町村分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","団体の概況","市町村分","",""
"0003172901","地方財政状況調査 市町村分 調査表","年度次","0","2021-03-15","0","該当なし","7002827","2021-10-18","","00200251","地方財政状況調査","00200","総務省","01","一部事務組合への加入等の状況 事務組合分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","一部事務組合への加入等の状況","事務組合分","",""
"0003172940","地方財政状況調査 市町村分 調査表","年度次","0","2021-03-15","0","該当なし","8467330","2021-10-18","","00200251","地方財政状況調査","00200","総務省","01","一部事務組合への加入等の状況 市町村分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","一部事務組合への加入等の状況","市町村分","",""
"0003172882","地方財政状況調査 市町村分 調査表","年度次","0","2021-03-15","0","該当なし","631630","2021-10-18","","00200251","地方財政状況調査","00200","総務省","02","決算収支の状況 事務組合分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","決算収支の状況","事務組合分","",""
"0003172921","地方財政状況調査 市町村分 調査表","年度次","0","2021-03-15","0","該当なし","792540","2021-10-18","","00200251","地方財政状況調査","00200","総務省","02","決算収支の状況 市町村分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","決算収支の状況","市町村分","",""
"0003172902","地方財政状況調査 市町村分 調査表","年度次","0","2021-03-15","0","該当なし","10293756","2021-08-20","","00200251","地方財政状況調査","00200","総務省","03","繰越額等の状況（復旧・復興事業経費、全国防災事業経費含む） 事務組合分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","繰越額等の状況（復旧・復興事業経費、全国防災事業経費含む）","事務組合分","",""
"0003172941","地方財政状況調査 市町村分 調査表","年度次","0","2021-03-15","0","該当なし","12788424","2021-08-20","","00200251","地方財政状況調査","00200","総務省","03","繰越額等の状況（復旧・復興事業経費、全国防災事業経費含む） 市町村分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","繰越額等の状況（復旧・復興事業経費、全国防災事業経費含む）","市町村分","",""
"0003173261","地方財政状況調査 市町村分 調査表","年度次","0","2021-03-15","0","該当なし","9684097","2021-09-08","","00200251","地方財政状況調査","00200","総務省","04","歳入内訳（復旧・復興事業経費、全国防災事業経費含む） 市町村分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","歳入内訳（復旧・復興事業経費、全国防災事業経費含む）","市町村分","",""
"0003173320","地方財政状況調査 市町村分 調査表","年度次","0","2021-03-15","0","該当なし","7824845","2021-09-08","","00200251","地方財政状況調査","00200","総務省","04","歳入内訳（復旧・復興事業経費、全国防災事業経費含む） 事務組合分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","歳入内訳（復旧・復興事業経費、全国防災事業経費含む）","事務組合分","",""
"0003173262","地方財政状況調査 市町村分 調査表","年度次","0","2019-10-16","0","該当なし","10648573","2021-03-09","","00200251","地方財政状況調査","00200","総務省","05","収入の状況 事務組合分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","収入の状況","事務組合分","",""
"0003173281","地方財政状況調査 市町村分 調査表","年度次","0","2021-03-15","0","該当なし","13439407","2021-12-24","","00200251","地方財政状況調査","00200","総務省","05","収入の状況 市町村分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","収入の状況","市町村分","",""
"0003172903","地方財政状況調査 市町村分 調査表","年度次","0","2021-03-15","0","該当なし","19917657","2021-10-14","","00200251","地方財政状況調査","00200","総務省","06","市町村税の徴収実績 事務組合分","13","行財政","02","財政","地方財政状況調査","市町村分","調査表","市町村税の徴収実績","事務組合分","",""
