"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","TITLE_SPEC.TABLE_CATEGORY"
"0000030001","昭和55年国勢調査 第1次基本集計 全国編","-","198010","2007-10-05","0","該当なし","3651","2026-05-29","","00200521","国勢調査","00200","総務省","00101","男女の別（性別）（３），年齢５歳階級（２３），人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","02","人口・世帯","01","人口","昭和55年国勢調査","第1次基本集計","全国編","男女の別（性別）（３），年齢５歳階級（２３），人口","全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","","","",""
"0000030002","昭和55年国勢調査 第1次基本集計 全国編","-","198010","2007-10-05","0","該当なし","16365","2026-05-29","","00200521","国勢調査","00200","総務省","00102","男女の別（性別）（３），年齢各歳階級（１０３），人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","02","人口・世帯","01","人口","昭和55年国勢調査","第1次基本集計","全国編","男女の別（性別）（３），年齢各歳階級（１０３），人口","全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","","","",""
"0000030003","昭和55年国勢調査 第1次基本集計 全国編","-","198010","2007-10-05","0","該当なし","123782","2026-05-29","","00200521","国勢調査","00200","総務省","002","総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（１２２），出生の月（５），人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","02","人口・世帯","01","人口","昭和55年国勢調査","第1次基本集計","全国編","総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（１２２），出生の月（５），人口","全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","","","",""
"0000030004","昭和55年国勢調査 第1次基本集計 全国編","-","198010","2007-10-05","0","該当なし","85848","2026-05-29","","00200521","国勢調査","00200","総務省","004","総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（８６），配偶関係（５），１５歳以上人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","02","人口・世帯","01","人口","昭和55年国勢調査","第1次基本集計","全国編","総人口・日本人（２），男女の別（性別）（２），年齢各歳階級（８６），配偶関係（５），１５歳以上人口","全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","","","",""
"0000030005","昭和55年国勢調査 第1次基本集計 全国編","-","198010","2007-10-05","0","該当なし","13082","2026-05-29","","00200521","国勢調査","00200","総務省","005","男女の別（性別）（３），年齢５歳階級（１９），国籍（５），外国人数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","02","人口・世帯","01","人口","昭和55年国勢調査","第1次基本集計","全国編","男女の別（性別）（３），年齢５歳階級（１９），国籍（５），外国人数","全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","","","",""
"0000030006","昭和55年国勢調査 第1次基本集計 全国編","-","198010","2007-10-05","0","該当なし","56180","2026-05-29","","00200521","国勢調査","00200","総務省","007","男女の別（性別）（３），入居時期・前住地（２１），年齢５歳階級（２０），人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","02","人口・世帯","01","人口","昭和55年国勢調査","第1次基本集計","全国編","男女の別（性別）（３），入居時期・前住地（２１），年齢５歳階級（２０），人口","全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","","","",""
"0000030007","昭和55年国勢調査 第1次基本集計 全国編","-","198010","2007-10-05","0","該当なし","15117","2026-05-29","","00200521","国勢調査","00200","総務省","009","男女の別（性別）（３），年齢５歳階級（１２），最終卒業学校の種類・在学か否か（９），１５歳以上人口 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","02","人口・世帯","01","人口","昭和55年国勢調査","第1次基本集計","全国編","男女の別（性別）（３），年齢５歳階級（１２），最終卒業学校の種類・在学か否か（９），１５歳以上人口","全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","","","",""
"0000030008","昭和55年国勢調査 第1次基本集計 全国編","-","198010","2007-10-05","0","該当なし","13580","2026-05-29","","00200521","国勢調査","00200","総務省","01001","男女の別（性別）（３），年齢各歳階級（３２），在学学校の種類（５），在学者数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","02","人口・世帯","01","人口","昭和55年国勢調査","第1次基本集計","全国編","男女の別（性別）（３），年齢各歳階級（３２），在学学校の種類（５），在学者数","全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","","","",""
"0000030009","昭和55年国勢調査 第1次基本集計 全国編","-","198010","2007-10-05","0","該当なし","12377","2026-05-29","","00200521","国勢調査","00200","総務省","01002","男女の別（性別）（３），年齢各歳階級（３２），未就学の種類（４），未就学者数 全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","02","人口・世帯","01","人口","昭和55年国勢調査","第1次基本集計","全国編","男女の別（性別）（３），年齢各歳階級（３２），未就学の種類（４），未就学者数","全国・市部・郡部・都道府県（４７），全域・人口集中地区の別","","","",""
"0000030010","昭和55年国勢調査 第1次基本集計 全国編","-","198010","2007-10-05","0","該当なし","12354","2026-05-29","","00200521","国勢調査","00200","総務省","012","男女の別（性別）（３），年齢各歳階級（８６），労働力状態（１２），１５歳以上人口 全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","02","人口・世帯","01","人口","昭和55年国勢調査","第1次基本集計","全国編","男女の別（性別）（３），年齢各歳階級（８６），労働力状態（１２），１５歳以上人口","全国・市部・郡部・ＤＩＤ（全国），全域・人口集中地区の別","","","",""
