"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3"
"0000150001","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","736","2023-06-08","","00200524","人口推計","00200","総務省","001","年齢各歳（９２），男女別人口数及び性比－総人口，日本人人口　　　　，全国","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","年齢各歳（９２），男女別人口数及び性比－総人口，日本人人口　　　　，全国","","",""
"0000150002","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","690","2023-06-08","","00200524","人口推計","00200","総務省","002","年齢５歳階級（４６），男女別（３），年（５），人口数及び割合－総人口（各年１０月１日現在），全国","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","年齢５歳階級（４６），男女別（３），年（５），人口数及び割合－総人口（各年１０月１日現在），全国","","",""
"0000150003","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","87","2023-06-08","","00200524","人口推計","00200","総務省","003","人口の増加要因（２９），男女別人口数－総人口，日本人人口，外国人人口，全国","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","人口の増加要因（２９），男女別人口数－総人口，日本人人口，外国人人口，全国","","",""
"0000150004","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","2511","2023-06-08","","00200524","人口推計","00200","総務省","004","年齢各歳（９３），男女別（３），人口・死亡者数・入国超過数及び国籍異動による純増－総人口，日本人人口，全国","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","年齢各歳（９３），男女別（３），人口・死亡者数・入国超過数及び国籍異動による純増－総人口，日本人人口，全国","","",""
"0000150005","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","150","2023-06-08","","00200524","人口推計","00200","総務省","005","年齢５歳階級（２５），男女別（３），死亡者数－日本人，外国人（平成２年１０月－３年９月），全国","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","年齢５歳階級（２５），男女別（３），死亡者数－日本人，外国人（平成２年１０月－３年９月），全国","","",""
"0000150006","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","252","2023-06-08","","00200524","人口推計","00200","総務省","006","年齢５歳階級（２１），日本人・外国人（２），男女別出入国者数，全国","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","年齢５歳階級（２１），日本人・外国人（２），男女別出入国者数，全国","","",""
"0000150007","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","384","2023-06-08","","00200524","人口推計","00200","総務省","007","男女別（３），人口数及び性比－総人口，日本人人口，全国・都道府県","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","男女別（３），人口数及び性比－総人口，日本人人口，全国・都道府県","","",""
"0000150008","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","720","2023-06-08","","00200524","人口推計","00200","総務省","008","男女別（３），年（５），人口数－総人口（各年１０月１日現在），全国・都道府県","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","男女別（３），年（５），人口数－総人口（各年１０月１日現在），全国・都道府県","","",""
"0000150009","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","240","2023-06-08","","00200524","人口推計","00200","総務省","009","年（５），人口の割合－総人口（各年１０月１日現在），全国・都道府県","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","年（５），人口の割合－総人口（各年１０月１日現在），全国・都道府県","","",""
"0000150010","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","720","2023-06-08","","00200524","人口推計","00200","総務省","01001","男女別（３），人口数・自然増加及び社会増加－総人口，全国・都道府県","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","男女別（３），人口数・自然増加及び社会増加－総人口，全国・都道府県","","",""
"0000150011","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","864","2023-06-08","","00200524","人口推計","00200","総務省","01002","男女別（３），人口数・自然増加及び社会増加－日本人人口，全国・都道府県","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","男女別（３），人口数・自然増加及び社会増加－日本人人口，全国・都道府県","","",""
"0000150012","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","864","2023-06-08","","00200524","人口推計","00200","総務省","011","男女別（３），出生児数及び死亡者数－日本人，全国・都道府県","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","男女別（３），出生児数及び死亡者数－日本人，全国・都道府県","","",""
"0000150013","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","864","2023-06-08","","00200524","人口推計","00200","総務省","012","男女別（３），都道府県間転出入者数－日本人，全国・都道府県","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","男女別（３），都道府県間転出入者数－日本人，全国・都道府県","","",""
"0000150014","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","576","2023-06-08","","00200524","人口推計","00200","総務省","013","年（２），男女別出入国者数－日本人，全国・都道府県","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","年（２），男女別出入国者数－日本人，全国・都道府県","","",""
"0000150015","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","720","2023-06-08","","00200524","人口推計","00200","総務省","014","年（５），人口増加率・自然増加率・社会増加率－総人口，全国・都道府県","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","年（５），人口増加率・自然増加率・社会増加率－総人口，全国・都道府県","","",""
"0000150017","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","2592","2023-06-08","","00200524","人口推計","00200","総務省","015","男女別（３），年齢５歳階級別人口数－総人口，全国・都道府県","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","男女別（３），年齢５歳階級別人口数－総人口，全国・都道府県","","",""
"0000150018","人口推計 平成3年10月1日現在推計人口","-","199110","2007-10-03","0","該当なし","576","2023-06-08","","00200524","人口推計","00200","総務省","016","男女別（３），年齢３区分別人口数－総人口，全国・都道府県","02","人口・世帯","01","人口","人口推計","平成3年10月1日現在推計人口","男女別（３），年齢３区分別人口数－総人口，全国・都道府県","","",""
