"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2"
"0000140001","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","3234","2023-07-22","","00200532","就業構造基本調査","00200","総務省","001","男女別（３），就業状態（１１），年齢（１４），一般・単身世帯・世帯主との続柄（７），１５歳以上人口，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","男女別（３），就業状態（１１），年齢（１４），一般・単身世帯・世帯主との続柄（７），１５歳以上人口，全国（１）","",""
"0000140002","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","1848","2023-07-22","","00200532","就業構造基本調査","00200","総務省","002","男女別（３），就業状態（１１），年齢（１４），配偶関係（４），１５歳以上人口，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","男女別（３），就業状態（１１），年齢（１４），配偶関係（４），１５歳以上人口，全国（１）","",""
"0000140003","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","4312","2023-07-22","","00200532","就業構造基本調査","00200","総務省","00301","男女別・配偶関係（４），就業状態（１１），年齢（１４），教育（７），１５歳以上人口，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","男女別・配偶関係（４），就業状態（１１），年齢（１４），教育（７），１５歳以上人口，全国（１）","",""
"0000140004","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","44","2023-07-22","","00200532","就業構造基本調査","00200","総務省","00302","男女別・配偶関係（４），就業状態（１１），平均年齢（１），平均年齢，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","男女別・配偶関係（４），就業状態（１１），平均年齢（１），平均年齢，全国（１）","",""
"0000140005","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-08-31","0","該当なし","1944","2023-07-22","","00200532","就業構造基本調査","00200","総務省","004","就業状態（３），従業上の地位・雇用形態（１８），男女別（３），年齢（１２），有業者数，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","就業状態（３），従業上の地位・雇用形態（１８），男女別（３），年齢（１２），有業者数，全国（１）","",""
"0000140006","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","7614","2023-07-22","","00200532","就業構造基本調査","00200","総務省","00501","就業状態（３），男女別（３），産業（４７），従業上の地位・雇用形態（１８），有業者数，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","就業状態（３），男女別（３），産業（４７），従業上の地位・雇用形態（１８），有業者数，全国（１）","",""
"0000140007","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","846","2023-07-22","","00200532","就業構造基本調査","00200","総務省","00502","就業状態（３），男女別（３），産業（４７），教育（２），雇用者数（アルバイト），全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","就業状態（３），男女別（３），産業（４７），教育（２），雇用者数（アルバイト），全国（１）","",""
"0000140008","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","234","2023-07-22","","00200532","就業構造基本調査","00200","総務省","00601","従業上の地位（２），男女別（３），産業（１３），就業状態（３），有業者数，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","従業上の地位（２），男女別（３），産業（１３），就業状態（３），有業者数，全国（１）","",""
"0000140009","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","1872","2023-07-22","","00200532","就業構造基本調査","00200","総務省","00602","従業上の地位（２），男女別（３），産業（１３），就業状態（２），従業者規模（１２），有業者数，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","従業上の地位（２），男女別（３），産業（１３），就業状態（２），従業者規模（１２），有業者数，全国（１）","",""
"0000140010","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","288","2023-07-22","","00200532","就業構造基本調査","00200","総務省","00701","従業上の地位（２），男女別（３），職業（１６），就業状態（３），有業者数，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","従業上の地位（２），男女別（３），職業（１６），就業状態（３），有業者数，全国（１）","",""
"0000140011","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","2304","2023-07-22","","00200532","就業構造基本調査","00200","総務省","00702","従業上の地位（２），男女別（３），職業（１６），就業状態（２），従業者規模（１２），有業者数，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","従業上の地位（２），男女別（３），職業（１６），就業状態（２），従業者規模（１２），有業者数，全国（１）","",""
"0000140012","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","1152","2023-07-22","","00200532","就業構造基本調査","00200","総務省","00801","男女別（３），職業（１６），就業状態（２），従業上の地位・雇用形態（１２），有業者数，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","男女別（３），職業（１６），就業状態（２），従業上の地位・雇用形態（１２），有業者数，全国（１）","",""
"0000140013","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","192","2023-07-22","","00200532","就業構造基本調査","00200","総務省","00802","男女別（３），職業（１６），就業状態（２），教育（２），雇用者数（アルバイト），全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","男女別（３），職業（１６），就業状態（２），教育（２），雇用者数（アルバイト），全国（１）","",""
"0000140014","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","9024","2023-07-22","","00200532","就業構造基本調査","00200","総務省","009","就業状態（２），男女別（３），産業（４７），従業上の地位（２），職業（１６），有業者数，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","就業状態（２），男女別（３），産業（４７），従業上の地位（２），職業（１６），有業者数，全国（１）","",""
"0000140015","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","1470","2023-07-22","","00200532","就業構造基本調査","00200","総務省","010","従業上の地位（２），産業（３５），男女別（３），教育（７），有業者数，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","従業上の地位（２），産業（３５），男女別（３），教育（７），有業者数，全国（１）","",""
"0000140016","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","2520","2023-07-22","","00200532","就業構造基本調査","00200","総務省","01101","従業上の地位（２），産業（３５），男女別（３），年齢（１２），有業者数，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","従業上の地位（２），産業（３５），男女別（３），年齢（１２），有業者数，全国（１）","",""
"0000140017","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","210","2023-07-22","","00200532","就業構造基本調査","00200","総務省","01102","従業上の地位（２），産業（３５），男女別（３），平均年齢（１），平均年齢（有業者），全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","従業上の地位（２），産業（３５），男女別（３），平均年齢（１），平均年齢（有業者），全国（１）","",""
"0000140018","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","756","2023-07-22","","00200532","就業構造基本調査","00200","総務省","012","従業上の地位・雇用形態（３），従業者規模（１２），男女別（３），教育（７），有業者数，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","従業上の地位・雇用形態（３），従業者規模（１２），男女別（３），教育（７），有業者数，全国（１）","",""
"0000140019","昭和62年就業構造基本調査 全国編（平成4年様式に組替）","-","198710","2007-09-07","0","該当なし","1296","2023-07-22","","00200532","就業構造基本調査","00200","総務省","01301","従業上の地位・雇用形態（３），従業者規模（１２），男女別（３），年齢（１２），有業者数，全国（１）","03","労働・賃金","01","労働力","昭和62年就業構造基本調査","全国編（平成4年様式に組替）","従業上の地位・雇用形態（３），従業者規模（１２），男女別（３），年齢（１２），有業者数，全国（１）","",""
