"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0000092550","平成13年社会生活基本調査 アンペイドワーク等に係る特別集計結果","-","200110","2007-10-05","0","該当なし","34200","2022-08-17","","00200533","社会生活基本調査","00200","総務省","0011","行動小分類（９５）、曜日（４A）、男女（３）、年齢（２）、ふだんの就業状態（３）、行動者数、標本数、総平均時間、行動者平均時間、行動者率、行動者数、標本数、総平均時間、行動者平均時間、行動者率","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果","行動小分類（９５）、曜日（４A）、男女（３）、年齢（２）、ふだんの就業状態（３）、行動者数、標本数、総平均時間、行動者平均時間、行動者率、行動者数、標本数、総平均時間、行動者平均時間、行動者率","","","",""
"0000092551","平成13年社会生活基本調査 アンペイドワーク等に係る特別集計結果","-","200110","2007-10-05","0","該当なし","34200","2022-08-17","","00200533","社会生活基本調査","00200","総務省","0012","行動小分類（９５）、曜日（４A）、男女（３）、年齢（２）、ふだんの就業状態（３）、行動者数、標本数、総平均時間、行動者平均時間、行動者率、行動者数、標本数、総平均時間、行動者平均時間、行動者率","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果","行動小分類（９５）、曜日（４A）、男女（３）、年齢（２）、ふだんの就業状態（３）、行動者数、標本数、総平均時間、行動者平均時間、行動者率、行動者数、標本数、総平均時間、行動者平均時間、行動者率","","","",""
"0000092552","平成13年社会生活基本調査 アンペイドワーク等に係る特別集計結果","-","200110","2007-10-05","0","該当なし","34200","2022-08-17","","00200533","社会生活基本調査","00200","総務省","0013","行動小分類（９５）、曜日（４A）、男女（３）、年齢（２）、ふだんの就業状態（３）、行動者数、標本数、総平均時間、行動者平均時間、行動者率、行動者数、標本数、総平均時間、行動者平均時間、行動者率","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果","行動小分類（９５）、曜日（４A）、男女（３）、年齢（２）、ふだんの就業状態（３）、行動者数、標本数、総平均時間、行動者平均時間、行動者率、行動者数、標本数、総平均時間、行動者平均時間、行動者率","","","",""
"0000092553","平成13年社会生活基本調査 アンペイドワーク等に係る特別集計結果","-","200110","2007-10-05","0","該当なし","52200","2022-08-17","","00200533","社会生活基本調査","00200","総務省","0021","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、年齢（１５）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、年齢（１５）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","","","",""
"0000092554","平成13年社会生活基本調査 アンペイドワーク等に係る特別集計結果","-","200110","2007-10-05","0","該当なし","97440","2022-08-17","","00200533","社会生活基本調査","00200","総務省","0022","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、ふだんの就業状態 （２）、年齢（１４）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、ふだんの就業状態 （２）、年齢（１４）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","","","",""
"0000092555","平成13年社会生活基本調査 アンペイドワーク等に係る特別集計結果","-","200110","2007-10-05","0","該当なし","52200","2022-08-17","","00200533","社会生活基本調査","00200","総務省","003","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、ふだんの就業状態（３）、教育（卒業者）（５）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、ふだんの就業状態（３）、教育（卒業者）（５）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","","","",""
"0000092556","平成13年社会生活基本調査 アンペイドワーク等に係る特別集計結果","-","200110","2007-10-05","0","該当なし","20880","2022-08-17","","00200533","社会生活基本調査","00200","総務省","004","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、教育（在学者）（６）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、教育（在学者）（６）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","","","",""
"0000092557","平成13年社会生活基本調査 アンペイドワーク等に係る特別集計結果","-","200110","2007-10-05","0","該当なし","34800","2022-08-17","","00200533","社会生活基本調査","00200","総務省","005","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、週間就業時間（１０）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、週間就業時間（１０）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","","","",""
"0000092558","平成13年社会生活基本調査 アンペイドワーク等に係る特別集計結果","-","200110","2007-10-05","0","該当なし","31320","2022-08-17","","00200533","社会生活基本調査","00200","総務省","006","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、職業（９）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、職業（９）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","","","",""
"0000092559","平成13年社会生活基本調査 アンペイドワーク等に係る特別集計結果","-","200110","2007-10-05","0","該当なし","10440","2022-08-17","","00200533","社会生活基本調査","00200","総務省","007","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、雇用形態（３）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","12","教育・文化・スポーツ・生活","03","文化・スポーツ・生活","平成13年社会生活基本調査","アンペイドワーク等に係る特別集計結果","行動区分（２）、行動中分類（２９）、曜日（４A）、男女（３）、雇用形態（３）、推定人口、標本数、総平均時間、行動者平均時間、行動者率、推定人口、標本数、総平均時間、行動者平均時間、行動者率","","","",""
