"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4"
"0003179100","サービス産業動向調査 2013年1月から 月次調査","-","0","2024-02-29","0","該当なし","8976","2024-03-29","","00200544","サービス産業動向調査","00200","総務省","00102","事業活動の産業（中分類）別売上高【2013年1月～2023年12月】※2022年12月までは調整値","06","商業・サービス業","02","需給流通","サービス産業動向調査","2013年1月から","月次調査","事業活動の産業（中分類）別売上高【2013年1月～2023年12月】※2022年12月までは調整値","",""
"0004012600","サービス産業動向調査 2013年1月から 月次調査","月次","0","2024-12-27","0","該当なし","6768","2024-12-27","","00200544","サービス産業動向調査","00200","総務省","00103","＜時系列＞事業活動の産業（中分類）別売上高（月次）【2013年1月～】※2022年12月までは調整値","06","商業・サービス業","02","需給流通","サービス産業動向調査","2013年1月から","月次調査","＜時系列＞事業活動の産業（中分類）別売上高（月次）【2013年1月～】※2022年12月までは調整値","",""
"0004012602","サービス産業動向調査 2013年1月から 月次調査","四半期","0","2024-11-29","0","該当なし","2256","2024-12-23","","00200544","サービス産業動向調査","00200","総務省","00104","＜時系列＞事業活動の産業（中分類）別売上高（四半期）【2013年1-3月期～】※2022年10-12月期までは調整値","06","商業・サービス業","02","需給流通","サービス産業動向調査","2013年1月から","月次調査","＜時系列＞事業活動の産業（中分類）別売上高（四半期）【2013年1-3月期～】※2022年10-12月期までは調整値","",""
"0004012604","サービス産業動向調査 2013年1月から 月次調査","年次","0","2024-05-31","0","該当なし","528","2024-12-23","","00200544","サービス産業動向調査","00200","総務省","00105","＜時系列＞事業活動の産業（中分類）別売上高（年次）【2013年～】※2022年までは調整値","06","商業・サービス業","02","需給流通","サービス産業動向調査","2013年1月から","月次調査","＜時系列＞事業活動の産業（中分類）別売上高（年次）【2013年～】※2022年までは調整値","",""
"0003179101","サービス産業動向調査 2013年1月から 月次調査","-","0","2024-02-29","0","該当なし","8976","2024-03-29","","00200544","サービス産業動向調査","00200","総務省","00202","事業所・企業等の産業（中分類）別事業従事者数【2013年1月～2023年12月】※2022年12月までは調整値","06","商業・サービス業","02","需給流通","サービス産業動向調査","2013年1月から","月次調査","事業所・企業等の産業（中分類）別事業従事者数【2013年1月～2023年12月】※2022年12月までは調整値","",""
"0004012601","サービス産業動向調査 2013年1月から 月次調査","月次","0","2024-12-27","0","該当なし","6768","2024-12-27","","00200544","サービス産業動向調査","00200","総務省","00203","＜時系列＞事業所・企業等の産業（中分類）別事業従事者数（月次）【2013年1月～】※2022年12月までは調整値","06","商業・サービス業","02","需給流通","サービス産業動向調査","2013年1月から","月次調査","＜時系列＞事業所・企業等の産業（中分類）別事業従事者数（月次）【2013年1月～】※2022年12月までは調整値","",""
"0004012603","サービス産業動向調査 2013年1月から 月次調査","四半期","0","2024-11-29","0","該当なし","2256","2024-12-23","","00200544","サービス産業動向調査","00200","総務省","00204","＜時系列＞事業所・企業等の産業（中分類）別事業従事者数（四半期）【2013年1-3月期～】※2022年10-12月期までは調整値","06","商業・サービス業","02","需給流通","サービス産業動向調査","2013年1月から","月次調査","＜時系列＞事業所・企業等の産業（中分類）別事業従事者数（四半期）【2013年1-3月期～】※2022年10-12月期までは調整値","",""
"0004012605","サービス産業動向調査 2013年1月から 月次調査","年次","0","2024-05-31","0","該当なし","528","2024-12-23","","00200544","サービス産業動向調査","00200","総務省","00205","＜時系列＞事業所・企業等の産業（中分類）別事業従事者数（年次）【2013年～】※2022年までは調整値","06","商業・サービス業","02","需給流通","サービス産業動向調査","2013年1月から","月次調査","＜時系列＞事業所・企業等の産業（中分類）別事業従事者数（年次）【2013年～】※2022年までは調整値","",""
"0003085562","サービス産業動向調査 2013年1月から 月次調査","月次","0","2024-12-27","0","該当なし","47376","2024-12-27","","00200544","サービス産業動向調査","00200","総務省","00401","事業所・企業等の産業（中分類）別売上高、従業上の地位別事業従事者数（月次）【2013年1月～】","06","商業・サービス業","02","需給流通","サービス産業動向調査","2013年1月から","月次調査","事業所・企業等の産業（中分類）別売上高、従業上の地位別事業従事者数（月次）【2013年1月～】","",""
"0003085612","サービス産業動向調査 2013年1月から 月次調査","四半期","0","2024-11-29","0","該当なし","15456","2024-11-29","","00200544","サービス産業動向調査","00200","総務省","00402","事業所・企業等の産業（中分類）別売上高、従業上の地位別事業従事者数（四半期）【2013年1-3月期～】","06","商業・サービス業","02","需給流通","サービス産業動向調査","2013年1月から","月次調査","事業所・企業等の産業（中分類）別売上高、従業上の地位別事業従事者数（四半期）【2013年1-3月期～】","",""
