"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY4"
"0003032532","平成21年経済センサス-基礎調査 事業所に関する集計","-","200907","2011-06-03","0","該当なし","37962","2025-05-30","","00200552","経済センサス‐基礎調査","00200","総務省","00100","経営組織（２区分）別全事業所数，男女別従業者数及び1平方km当たり事業所数及び従業者数－全国，都道府県，市区町村，14大都市圏","07","企業・家計・経済","01","企業活動","平成21年経済センサス-基礎調査","事業所に関する集計","経営組織（２区分）別全事業所数，男女別従業者数及び1平方km当たり事業所数及び従業者数－全国，都道府県，市区町村，14大都市圏","","","","",""
"0003032533","平成21年経済センサス-基礎調査 事業所に関する集計","-","200907","2011-06-03","0","該当なし","667105","2025-05-30","","00200552","経済センサス‐基礎調査","00200","総務省","00201","産業（小分類），経営組織（５区分）別全事業所数及び男女別従業者数－全国，都道府県","07","企業・家計・経済","01","企業活動","平成21年経済センサス-基礎調査","事業所に関する集計","産業（小分類），経営組織（５区分）別全事業所数及び男女別従業者数－全国，都道府県","","","","",""
"0003032534","平成21年経済センサス-基礎調査 事業所に関する集計","-","200907","2011-06-03","0","該当なし","99137","2025-05-30","","00200552","経済センサス‐基礎調査","00200","総務省","00202","産業（小分類）別全事業所数，従業者数及び１事業所当たり従業者数－全国，都道府県","07","企業・家計・経済","01","企業活動","平成21年経済センサス-基礎調査","事業所に関する集計","産業（小分類）別全事業所数，従業者数及び１事業所当たり従業者数－全国，都道府県","","","","",""
"0003032536","平成21年経済センサス-基礎調査 事業所に関する集計","-","200907","2011-06-03","0","該当なし","1749","2025-05-30","","00200552","経済センサス‐基礎調査","00200","総務省","00401","産業（小分類），経営組織（２区分）別全事業所数－全国","07","企業・家計・経済","01","企業活動","平成21年経済センサス-基礎調査","事業所に関する集計","産業（小分類），経営組織（２区分）別全事業所数－全国","","","","",""
"0003032537","平成21年経済センサス-基礎調査 事業所に関する集計","-","200907","2011-06-03","0","該当なし","33297","2025-05-30","","00200552","経済センサス‐基礎調査","00200","総務省","00402","産業（小分類），経営組織（２区分）※，従業上の地位（６区分），男女別従業者数－全国 ※総数，民営事業所","07","企業・家計・経済","01","企業活動","平成21年経済センサス-基礎調査","事業所に関する集計","産業（小分類），経営組織（２区分）※，従業上の地位（６区分），男女別従業者数－全国","※総数，民営事業所","","","",""
"0003032538","平成21年経済センサス-基礎調査 事業所に関する集計","-","200907","2011-06-03","0","該当なし","2918","2025-05-30","","00200552","経済センサス‐基礎調査","00200","総務省","00403","産業（小分類），経営組織（２区分）※，従業上の地位（６区分），男女別従業者数－全国 ※国・地方公共団体","07","企業・家計・経済","01","企業活動","平成21年経済センサス-基礎調査","事業所に関する集計","産業（小分類），経営組織（２区分）※，従業上の地位（６区分），男女別従業者数－全国","※国・地方公共団体","","","",""
"0003032539","平成21年経済センサス-基礎調査 事業所に関する集計","-","200907","2011-06-03","0","該当なし","77864","2025-05-30","","00200552","経済センサス‐基礎調査","00200","総務省","00501","産業（中分類），経営組織（12区分）別全事業所数－全国，都道府県，19大都市","07","企業・家計・経済","01","企業活動","平成21年経済センサス-基礎調査","事業所に関する集計","産業（中分類），経営組織（12区分）別全事業所数－全国，都道府県，19大都市","","","","",""
"0003032540","平成21年経済センサス-基礎調査 事業所に関する集計","-","200907","2011-06-03","0","該当なし","1005871","2025-05-30","","00200552","経済センサス‐基礎調査","00200","総務省","00502","産業（中分類），経営組織（12区分）※，従業上の地位（６区分），男女別従業者数－全国，都道府県，19大都市 ※総数，民営事業所","07","企業・家計・経済","01","企業活動","平成21年経済センサス-基礎調査","事業所に関する集計","産業（中分類），経営組織（12区分）※，従業上の地位（６区分），男女別従業者数－全国，都道府県，19大都市","※総数，民営事業所","","","",""
"0003032541","平成21年経済センサス-基礎調査 事業所に関する集計","-","200907","2011-06-03","0","該当なし","137231","2025-05-30","","00200552","経済センサス‐基礎調査","00200","総務省","00503","産業（中分類），経営組織（12区分）※，従業上の地位（６区分），男女別従業者数－全国，都道府県，19大都市 ※国・地方公共団体","07","企業・家計・経済","01","企業活動","平成21年経済センサス-基礎調査","事業所に関する集計","産業（中分類），経営組織（12区分）※，従業上の地位（６区分），男女別従業者数－全国，都道府県，19大都市","※国・地方公共団体","","","",""
"0003032542","平成21年経済センサス-基礎調査 事業所に関する集計","-","200907","2011-06-03","0","該当なし","82139","2025-05-30","","00200552","経済センサス‐基礎調査","00200","総務省","00601","経営組織（６区分）別全事業所数及び男女別従業者数－全国，都道府県，市区町村，14大都市圏","07","企業・家計・経済","01","企業活動","平成21年経済センサス-基礎調査","事業所に関する集計","経営組織（６区分）別全事業所数及び男女別従業者数－全国，都道府県，市区町村，14大都市圏","","","","",""
