"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","DESCRIPTION.TABULATION_SUB_CATEGORY_EXPLANATION2","DESCRIPTION.TABULATION_SUB_CATEGORY_EXPLANATION1"
"0000110001","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","99864","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","00111","二人以上の普通世帯 全世帯，年間収入階級（１９），収支項目（２１９）・Ａ１全，全国，３大都市圏平均，都市階級，地方・４大都市圏","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","全世帯，年間収入階級（１９），収支項目（２１９）・Ａ１全，全国，３大都市圏平均，都市階級，地方・４大都市圏","","","","",""
"0000110002","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","127224","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","00112","二人以上の普通世帯 勤労者世帯，年間収入階級（１９），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均，都市階級，地方・４大都市圏","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","勤労者世帯，年間収入階級（１９），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均，都市階級，地方・４大都市圏","","","","",""
"0000110003","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","8322","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","00201","二人以上の普通世帯 全世帯，世帯主の年間収入階級（１９），収支項目（２１９）・Ａ１全，全国，３大都市圏平均","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","全世帯，世帯主の年間収入階級（１９），収支項目（２１９）・Ａ１全，全国，３大都市圏平均","","","","",""
"0000110004","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","10602","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","00202","二人以上の普通世帯 勤労者世帯，世帯主の年間収入階級（１９），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","勤労者世帯，世帯主の年間収入階級（１９），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均","","","","",""
"0000110005","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","4818","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","00301","二人以上の普通世帯 全世帯，年間収入十分位階級（１１），収支項目（２１９）・Ａ１全，全国，３大都市圏平均","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","全世帯，年間収入十分位階級（１１），収支項目（２１９）・Ａ１全，全国，３大都市圏平均","","","","",""
"0000110006","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","6138","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","00302","二人以上の普通世帯 勤労者世帯，年間収入十分位階級（１１），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","勤労者世帯，年間収入十分位階級（１１），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均","","","","",""
"0000110007","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","4818","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","00401","二人以上の普通世帯 全世帯，世帯主の年間収入十分位階級（１１ｂ），収支項目（２１９）・Ａ１全，全国，３大都市圏平均","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","全世帯，世帯主の年間収入十分位階級（１１ｂ），収支項目（２１９）・Ａ１全，全国，３大都市圏平均","","","","",""
"0000110008","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","6138","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","00402","二人以上の普通世帯 勤労者世帯，世帯主の年間収入十分位階級（１１ｂ），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","勤労者世帯，世帯主の年間収入十分位階級（１１ｂ），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均","","","","",""
"0000110009","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","2660","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","005","二人以上の普通世帯 勤労者世帯，現金実収入階級（１９），収支項目（７０）・Ｂ１勤，全国，３大都市圏平均","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","勤労者世帯，現金実収入階級（１９），収支項目（７０）・Ｂ１勤，全国，３大都市圏平均","","","","",""
"0000110010","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","1540","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","006","二人以上の普通世帯 勤労者世帯，現金実収入十分位階級（１１ｃ），収支項目（７０）・Ｂ１勤，全国，３大都市圏平均","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","勤労者世帯，現金実収入十分位階級（１１ｃ），収支項目（７０）・Ｂ１勤，全国，３大都市圏平均","","","","",""
"0000110011","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","1330","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","007","二人以上の普通世帯 勤労者世帯，世帯主の定期収入階級（１９），収支項目（７０）・Ｂ１勤，全国","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","勤労者世帯，世帯主の定期収入階級（１９），収支項目（７０）・Ｂ１勤，全国","","","","",""
"0000110012","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","770","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","008","二人以上の普通世帯 勤労者世帯，世帯主の定期収入十分位階級（１１ｄ），収支項目（７０）・Ｂ１勤，全国","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","勤労者世帯，世帯主の定期収入十分位階級（１１ｄ），収支項目（７０）・Ｂ１勤，全国","","","","",""
"0000110013","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","68328","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","00901","二人以上の普通世帯 全世帯，世帯主の年齢５歳階級（１３），収支項目（２１９）・Ａ１全，全国，３大都市圏平均，都市階級，地方・４大都市圏","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","全世帯，世帯主の年齢５歳階級（１３），収支項目（２１９）・Ａ１全，全国，３大都市圏平均，都市階級，地方・４大都市圏","","","","",""
"0000110014","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","87048","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","00902","二人以上の普通世帯 勤労者世帯，世帯主の年齢５歳階級（１３），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均，都市階級，地方・４大都市圏","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","勤労者世帯，世帯主の年齢５歳階級（１３），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均，都市階級，地方・４大都市圏","","","","",""
"0000110015","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","42048","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","01301","二人以上の普通世帯 全世帯，世帯人員（８），収支項目（２１９）・Ａ１全，全国，３大都市圏平均，都市階級，地方・４大都市圏","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","全世帯，世帯人員（８），収支項目（２１９）・Ａ１全，全国，３大都市圏平均，都市階級，地方・４大都市圏","","","","",""
"0000110016","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","53568","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","01302","二人以上の普通世帯 勤労者世帯，世帯人員（８），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均，都市階級，地方・４大都市圏","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","勤労者世帯，世帯人員（８），収支項目（２７９）・Ａ１勤，全国，３大都市圏平均，都市階級，地方・４大都市圏","","","","",""
"0000110017","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","4180","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","02001","二人以上の普通世帯 全世帯，世帯類型（３８），収支項目（５５）・Ｂ１全，全国，３大都市圏平均","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","全世帯，世帯類型（３８），収支項目（５５）・Ｂ１全，全国，３大都市圏平均","","","","",""
"0000110018","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","5320","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","02002","二人以上の普通世帯 勤労者世帯，世帯類型（３８），収支項目（７０）・Ｂ１勤，全国，３大都市圏平均","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","勤労者世帯，世帯類型（３８），収支項目（７０）・Ｂ１勤，全国，３大都市圏平均","","","","",""
"0000110019","昭和59年全国消費実態調査 全国 家計収支編","-","198401-198412","2007-09-07","0","該当なし","4180","2025-12-19","","00200564","全国家計構造調査（旧全国消費実態調査）","00200","総務省","02003","二人以上の普通世帯 個人営業世帯，世帯類型（３８），収支項目（５５）・Ｂ１全，全国，３大都市圏平均","07","企業・家計・経済","04","家計","昭和59年全国消費実態調査","全国","家計収支編","二人以上の普通世帯","個人営業世帯，世帯類型（３８），収支項目（５５）・Ｂ１全，全国，３大都市圏平均","","","","",""
