"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE.@no","TITLE.$","TITLE_SPEC.TABLE_CATEGORY"
"0003420453","小売物価統計調査（動向編）","調査品目の年平均価格－都道府県庁所在市及び人口15万以上の市（2000年～）","年次","0","2025-04-18","0","該当なし","1120609","2025-04-18","","00200571","小売物価統計調査","00200","総務省","07","企業・家計・経済","03","物価","小売物価統計調査（動向編）","調査品目の年平均価格－都道府県庁所在市及び人口15万以上の市（2000年～）","","",""
"0003421913","小売物価統計調査（動向編）","主要品目の都市別小売価格－都道府県庁所在市及び人口15万以上の市(2000年1月～)","月次","0","2026-01-23","0","該当なし","14529420","2026-01-30","","00200571","小売物価統計調査","00200","総務省","07","企業・家計・経済","03","物価","小売物価統計調査（動向編）","主要品目の都市別小売価格－都道府県庁所在市及び人口15万以上の市(2000年1月～)","","",""
"0003449368","小売物価統計調査（動向編）","全国統一価格品目の年平均価格－全国(2000年～)","年次","0","2025-04-18","0","全国","3542","2026-01-30","","00200571","小売物価統計調査","00200","総務省","07","企業・家計・経済","03","物価","小売物価統計調査（動向編）","全国統一価格品目の年平均価格－全国(2000年～)","","",""
"0003449369","小売物価統計調査（動向編）","全国統一価格品目の月別価格－全国(2000年2月～)","月次","0","2026-01-30","0","全国","45054","2026-01-30","","00200571","小売物価統計調査","00200","総務省","07","企業・家計・経済","03","物価","小売物価統計調査（動向編）","全国統一価格品目の月別価格－全国(2000年2月～)","","",""
"0003441258","小売物価統計調査（構造編）","","年次","0","2025-06-27","0","該当なし","13884","2025-06-27","","00200571","小売物価統計調査","00200","総務省","07","企業・家計・経済","03","物価","小売物価統計調査（構造編）","10大費目別消費者物価地域差指数 （全国平均＝100）－全国，地方，都道府県，都道府県庁所在市及び政令指定都市（2013年～）","a0010","地域別価格差 10大費目別消費者物価地域差指数 （全国平均＝100）－全国，地方，都道府県，都道府県庁所在市及び政令指定都市（2013年～）","地域別価格差"
"0003441558","小売物価統計調査（構造編）","","年次","0","2021-09-17","0","該当なし","47096","2024-04-20","","00200571","小売物価統計調査","00200","総務省","07","企業・家計・経済","03","物価","小売物価統計調査（構造編）","調査品目の地域差指数算出用年平均価格－全国，地方，都道府県（2013年～2019年）","a0020","地域別価格差 調査品目の地域差指数算出用年平均価格－全国，地方，都道府県（2013年～2019年）","地域別価格差"
"0003441253","小売物価統計調査（構造編）","","年次","0","2021-09-17","0","該当なし","35728","2024-04-20","","00200571","小売物価統計調査","00200","総務省","07","企業・家計・経済","03","物価","小売物価統計調査（構造編）","調査品目の年平均価格－構造編88調査市（2013年～2019年）","a0030","地域別価格差 調査品目の年平均価格－構造編88調査市（2013年～2019年）","地域別価格差"
"0003441254","小売物価統計調査（構造編）","","年次","0","2025-06-27","0","該当なし","13884","2025-06-27","","00200571","小売物価統計調査","00200","総務省","07","企業・家計・経済","03","物価","小売物価統計調査（構造編）","10大費目別ウエイト－全国，地方，都道府県，都道府県庁所在市及び政令指定都市（2013年～）","a0190","（参考表） 10大費目別ウエイト－全国，地方，都道府県，都道府県庁所在市及び政令指定都市（2013年～）","（参考表）"
"0003441260","小売物価統計調査（構造編）","","年次","0","2022-06-10","0","該当なし","54432","2024-04-20","","00200571","小売物価統計調査","00200","総務省","07","企業・家計・経済","03","物価","小売物価統計調査（構造編）","調査品目の月別価格及び年平均価格－都道府県庁所在市（2013年～2021年）","a0200","店舗形態別価格（2021年をもって調査を中止） 調査品目の月別価格及び年平均価格－都道府県庁所在市（2013年～2021年）","店舗形態別価格（2021年をもって調査を中止）"
"0003441255","小売物価統計調査（構造編）","","年次","0","2022-06-10","0","該当なし","567","2024-04-20","","00200571","小売物価統計調査","00200","総務省","07","企業・家計・経済","03","物価","小売物価統計調査（構造編）","調査品目の月別価格及び年平均価格－東京都区部（2013年～2021年）","a0300","銘柄別価格（2021年をもって調査を中止） 調査品目の月別価格及び年平均価格－東京都区部（2013年～2021年）","銘柄別価格（2021年をもって調査を中止）"
