"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE.@no","TITLE.$"
"0003120758","平成7年（1995年）産業連関表（確報）","取引基本表 生産者価格評価表 32部門表","-","199501-199512","2015-12-25","0","該当なし","2013","2016-08-03","","00200603","産業連関表","00200","総務省","07","企業・家計・経済","05","国民経済計算","平成7年（1995年）産業連関表（確報）","取引基本表","生産者価格評価表","32部門表","","",""
"0003120759","平成7年（1995年）産業連関表（確報）","取引基本表 購入者価格評価表 32部門表","-","199501-199512","2015-12-25","0","該当なし","1980","2016-08-03","","00200603","産業連関表","00200","総務省","07","企業・家計・経済","05","国民経済計算","平成7年（1995年）産業連関表（確報）","取引基本表","購入者価格評価表","32部門表","","",""
"0003120797","平成7年（1995年）産業連関表（確報）","取引基本表 生産者価格評価表 13部門表","-","199501-199512","2015-12-25","0","該当なし","574","2016-08-03","","00200603","産業連関表","00200","総務省","07","企業・家計・経済","05","国民経済計算","平成7年（1995年）産業連関表（確報）","取引基本表","生産者価格評価表","13部門表","","",""
"0003120798","平成7年（1995年）産業連関表（確報）","投入係数表 投入係数表 32部門表","-","199501-199512","2015-12-25","0","該当なし","1584","2016-08-03","","00200603","産業連関表","00200","総務省","07","企業・家計・経済","05","国民経済計算","平成7年（1995年）産業連関表（確報）","投入係数表","投入係数表","32部門表","","",""
"0003120799","平成7年（1995年）産業連関表（確報）","逆行列係数表 逆行列係数表 94部門表","-","199501-199512","2015-12-25","0","該当なし","9021","2016-08-03","","00200603","産業連関表","00200","総務省","07","企業・家計・経済","05","国民経済計算","平成7年（1995年）産業連関表（確報）","逆行列係数表","逆行列係数表","94部門表","","",""
"0003120800","平成7年（1995年）産業連関表（確報）","その他の係数表最終需要項目別生産誘発額等諸表 最終需要項目別生産誘発係数表 32部門表","-","199501-199512","2015-12-25","0","該当なし","264","2016-08-03","","00200603","産業連関表","00200","総務省","07","企業・家計・経済","05","国民経済計算","平成7年（1995年）産業連関表（確報）","その他の係数表最終需要項目別生産誘発額等諸表","最終需要項目別生産誘発係数表","32部門表","","",""
"0003120801","平成7年（1995年）産業連関表（確報）","その他の係数表最終需要項目別粗付加価値誘発額等諸表 最終需要項目別粗付加価値誘発額表 32部門表","-","199501-199512","2015-12-25","0","該当なし","264","2016-08-03","","00200603","産業連関表","00200","総務省","07","企業・家計・経済","05","国民経済計算","平成7年（1995年）産業連関表（確報）","その他の係数表最終需要項目別粗付加価値誘発額等諸表","最終需要項目別粗付加価値誘発額表","32部門表","","",""
"0003120802","平成7年（1995年）産業連関表（確報）","その他の係数表最終需要項目別粗付加価値誘発額等諸表 最終需要項目別粗付加価値誘発依存度表 32部門表","-","199501-199512","2015-12-25","0","該当なし","264","2016-08-03","","00200603","産業連関表","00200","総務省","07","企業・家計・経済","05","国民経済計算","平成7年（1995年）産業連関表（確報）","その他の係数表最終需要項目別粗付加価値誘発額等諸表","最終需要項目別粗付加価値誘発依存度表","32部門表","","",""
"0003120803","平成7年（1995年）産業連関表（確報）","その他の係数表最終需要項目別輸入誘発額等諸表 最終需要項目別輸入誘発係数表 32部門表","-","199501-199512","2015-12-25","0","該当なし","264","2016-08-03","","00200603","産業連関表","00200","総務省","07","企業・家計・経済","05","国民経済計算","平成7年（1995年）産業連関表（確報）","その他の係数表最終需要項目別輸入誘発額等諸表","最終需要項目別輸入誘発係数表","32部門表","","",""
"0003120808","平成7年（1995年）産業連関表（確報）","取引基本表 生産者価格評価表 94部門表","-","199501-199512","2015-12-25","0","該当なし","11562","2016-08-03","","00200603","産業連関表","00200","総務省","07","企業・家計・経済","05","国民経済計算","平成7年（1995年）産業連関表（確報）","取引基本表","生産者価格評価表","94部門表","","",""
"0003120809","平成7年（1995年）産業連関表（確報）","取引基本表 購入者価格評価表 94部門表","-","199501-199512","2015-12-25","0","該当なし","11468","2016-08-03","","00200603","産業連関表","00200","総務省","07","企業・家計・経済","05","国民経済計算","平成7年（1995年）産業連関表（確報）","取引基本表","購入者価格評価表","94部門表","","",""
