"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003271964","少年矯正統計 少年鑑別所","新収容者の非行名別　年齢","年次","202101-202112","2023-07-31","0","該当なし","20274","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年鑑別所","新収容者の非行名別　年齢","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271965","少年矯正統計 少年鑑別所","新収容者の非行名別　入所回数","年次","202101-202112","2023-07-31","0","該当なし","11518","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年鑑別所","新収容者の非行名別　入所回数","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271966","少年矯正統計 少年鑑別所","新収容者の非行名別　非行時の身上","年次","202101-202112","2023-07-31","0","該当なし","17050","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年鑑別所","新収容者の非行名別　非行時の身上","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271967","少年矯正統計 少年鑑別所","新収容者の非行名別　保護処分歴","年次","202101-202112","2023-07-31","0","該当なし","17268","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年鑑別所","新収容者の非行名別　保護処分歴","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271968","少年矯正統計 少年鑑別所","新収容者の非行名別　国籍","年次","202101-202112","2023-07-31","0","該当なし","18606","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年鑑別所","新収容者の非行名別　国籍","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271969","少年矯正統計 少年鑑別所","新収容者の非行名別　居住地（都道府県別等）","年次","202101-202112","2023-07-31","0","該当なし","53476","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年鑑別所","新収容者の非行名別　居住地（都道府県別等）","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271970","少年矯正統計 少年鑑別所","新収容者の非行名別　居住状況","年次","202101-202112","2023-07-31","0","該当なし","12908","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年鑑別所","新収容者の非行名別　居住状況","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271971","少年矯正統計 少年鑑別所","新収容者の非行名別　職業及び家庭の生活程度　職業","年次","202101-202112","2023-07-31","0","該当なし","14102","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年鑑別所","新収容者の非行名別　職業及び家庭の生活程度　職業","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271972","少年矯正統計 少年鑑別所","新収容者の非行名別　職業及び家庭の生活程度　家庭の生活程度","年次","202101-202112","2023-07-31","0","該当なし","4610","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年鑑別所","新収容者の非行名別　職業及び家庭の生活程度　家庭の生活程度","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
"0003271973","少年矯正統計 少年鑑別所","新収容者の非行名別　教育程度","年次","202101-202112","2023-07-31","0","該当なし","29938","2023-11-09","","00250006","少年矯正統計調査","00250","法務省","14","司法・安全・環境","01","司法","少年矯正統計","少年鑑別所","新収容者の非行名別　教育程度","『各統計表の詳細については、「政府統計ＵＲＬ（https://www.moj.go.jp/housei/toukei/toukei_index2.html）」「用語の解説」等を参照』"
