"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_CATEGORY","TITLE"
"0003273392","保護統計 地方更生保護委員会","年次","201501-201512","2019-03-29","0","該当なし","19600","2024-09-04","","00250007","保護統計調査","00250","法務省","15-00-08","委員会別　仮釈放審理の罪名及び審理の終結事由別人員 (2008年～2015年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放審理の罪名及び審理の終結事由別人員 (2008年～2015年)","（注）「文書偽造等」とは「文書偽造・有価証券偽造・支払用カード電磁的記録関係・印章偽造・不正指令電磁的記録関係」のことである。","",""
"0003273646","保護統計 地方更生保護委員会","年次","201501-201512","2019-03-29","0","該当なし","13500","2024-09-04","","00250007","保護統計調査","00250","法務省","15-00-10","施設別　仮釈放審理の終結事由別人員 (2008年～2015年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","施設別　仮釈放審理の終結事由別人員 (2008年～2015年)","（注）１　禁錮刑及び無期刑は，「初犯」として計上している。<br>　２　少年院計は，少年院収容受刑者の仮釈放審理の人員を示している。","",""
"0003273395","保護統計 地方更生保護委員会","年次","201501-201512","2019-03-29","0","該当なし","16128","2024-09-04","","00250007","保護統計調査","00250","法務省","15-00-11","仮釈放審理の入所度数・終結事由別　年齢別人員 (2008年～2015年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放審理の入所度数・終結事由別　年齢別人員 (2008年～2015年)","","",""
"0003273397","保護統計 地方更生保護委員会","年次","201501-201512","2019-03-29","0","該当なし","6912","2024-09-04","","00250007","保護統計調査","00250","法務省","15-00-12","委員会・刑の態様別　定期刑，不定期刑，無期刑の仮釈放審理の終結事由別人員 (2008年～2015年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会・刑の態様別　定期刑，不定期刑，無期刑の仮釈放審理の終結事由別人員 (2008年～2015年)","","",""
"0003322660","保護統計 地方更生保護委員会","年次","201501-201512","2019-03-29","0","該当なし","29268","2024-09-04","","00250007","保護統計調査","00250","法務省","15-00-15","委員会・刑期別　定期刑仮釈放許可人員の刑の執行率 (2006年～2015年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会・刑期別　定期刑仮釈放許可人員の刑の執行率 (2006年～2015年)","（注）１　この表は，定期刑仮釈放者の執行すべき刑期に対する執行した期間の割合（％）の調査である。<br>　２　「執行すべき刑期」とは，刑期に算入すべき未決勾留又は留置の日数がある場合は，その日数を控除した期間であり，仮釈放取消しによる残刑の執行の場合は，その残刑期間であり，刑が2以上ある場合はそれぞれの刑の執行すべき期間を合算した期間である。<br>　なお，2016年以降の統計表の一部猶予者については実刑部分の期間を算入している。<br>　３　禁錮刑は，「初犯」として計上している。","",""
"0003322622","保護統計 地方更生保護委員会","年次","201501-201512","2019-03-29","0","全国","10336","2024-09-04","","00250007","保護統計調査","00250","法務省","15-00-28","委員会別　保護観察を仮解除された者の経過期間 (2006年～2015年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　保護観察を仮解除された者の経過期間 (2006年～2015年)","（注）経過期間とは，保護観察に付された日から仮解除する旨の決定のあった日までの期間をいう。","",""
"0003322622","保護統計 地方更生保護委員会","年次","201501-201512","2019-03-29","0","都道府県","10336","2024-09-04","","00250007","保護統計調査","00250","法務省","15-00-28","委員会別　保護観察を仮解除された者の経過期間 (2006年～2015年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　保護観察を仮解除された者の経過期間 (2006年～2015年)","（注）経過期間とは，保護観察に付された日から仮解除する旨の決定のあった日までの期間をいう。","",""
"0003322440","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","96","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-01","仮釈放等審理事件の受理及び処理人員　累年比較２","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放等審理事件の受理及び処理人員　累年比較２","","",""
"0003322441","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","該当なし","364","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-02","仮釈放等審理事件等の受理及び処理人員　(2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","仮釈放等審理事件等の受理及び処理人員　(2006年～2007年)","","",""
"0003323503","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","全国","234","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-03","委員会別　仮釈放事件の受理及び処理人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放事件の受理及び処理人員 (2006年～2007年)","","",""
"0003323503","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","都道府県","234","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-03","委員会別　仮釈放事件の受理及び処理人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮釈放事件の受理及び処理人員 (2006年～2007年)","","",""
"0003322443","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","全国","234","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-04","委員会別　仮出場事件の受理及び処理人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮出場事件の受理及び処理人員 (2006年～2007年)","","",""
"0003322443","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","都道府県","234","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-04","委員会別　仮出場事件の受理及び処理人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　仮出場事件の受理及び処理人員 (2006年～2007年)","","",""
"0003322457","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","全国","650","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-05","委員会別　少年院仮退院事件の受理及び処理人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　少年院仮退院事件の受理及び処理人員 (2006年～2007年)","","",""
"0003322457","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","都道府県","650","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-05","委員会別　少年院仮退院事件の受理及び処理人員 (2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会別　少年院仮退院事件の受理及び処理人員 (2006年～2007年)","","",""
"0003324240","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","全国","910","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-06","委員会・既済事由別　仮釈放事件の処理期間別人員（総数）(2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会・既済事由別　仮釈放事件の処理期間別人員（総数）(2006年～2007年)","（注）処理期間は,審理の開始日から終結日までの期間である。","",""
"0003324240","保護統計 地方更生保護委員会","年次","200701-200712","2019-03-29","0","都道府県","910","2024-09-04","","00250007","保護統計調査","00250","法務省","19-00-06","委員会・既済事由別　仮釈放事件の処理期間別人員（総数）(2006年～2007年)","14","司法・安全・環境","01","司法","保護統計","地方更生保護委員会","委員会・既済事由別　仮釈放事件の処理期間別人員（総数）(2006年～2007年)","（注）処理期間は,審理の開始日から終結日までの期間である。","",""
