"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2"
"0003449063","出入国管理統計 出入（帰）国者数","月次","202504","2025-06-25","0","該当なし","84933","2025-06-25","","00250011","出入国管理統計","00250","法務省","01","総括 港別　出入国者","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","総括","港別　出入国者","（注）「協定該当者」とは，「日本国における合衆国軍隊の地位に関する協定」（昭和35年条約第7号）及び「日本国における国際連合の軍隊の<br>　　　地位に関する協定」（昭和29年条約第12号）による軍人，軍属及びその家族で，軍艦又は軍用機によらないで日本に入出国した者である。","",""
"0003449064","出入国管理統計 出入（帰）国者数","月次","202504","2025-06-25","0","該当なし","1962896","2025-06-25","","00250011","出入国管理統計","00250","法務省","01-2","総括 港別　入国外国人の国籍・地域","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","総括","港別　入国外国人の国籍・地域","","",""
"0003449065","出入国管理統計 出入（帰）国者数","月次","202504","2025-06-25","0","該当なし","1962896","2025-06-25","","00250011","出入国管理統計","00250","法務省","01-3","総括 港別　出国外国人の国籍・地域","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","総括","港別　出国外国人の国籍・地域","","",""
"0003449066","出入国管理統計 出入（帰）国者数","月次","202504","2025-06-25","0","該当なし","454104","2025-06-25","","00250011","出入国管理統計","00250","法務省","02","外国人 国籍・地域別　入国外国人の在留資格","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","外国人","国籍・地域別　入国外国人の在留資格","","",""
"0003449067","出入国管理統計 出入（帰）国者数","月次","202504","2025-06-25","0","該当なし","429936","2025-06-25","","00250011","出入国管理統計","00250","法務省","02-2","外国人 国籍・地域別　新規入国外国人の在留資格","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","外国人","国籍・地域別　新規入国外国人の在留資格","","",""
"0003449068","出入国管理統計 出入（帰）国者数","月次","202504","2025-06-25","0","該当なし","465181","2025-06-25","","00250011","出入国管理統計","00250","法務省","03","外国人 国籍・地域別　出国外国人の在留資格","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","外国人","国籍・地域別　出国外国人の在留資格","","",""
"0003287527","出入国管理統計 出入（帰）国者数","月次","201801","2019-03-29","0","該当なし","212517","2025-07-10","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","港別　出入国者　（月次）","（注）「協定該当者」とは，「日本国における合衆国軍隊の地位に関する協定」（昭和35年条約第7号）及び「日本国における国際連合の軍隊の<br>　　　地位に関する協定」（昭和29年条約第12号）による軍人，軍属及びその家族で，軍艦又は軍用機によらないで日本に入出国した者である。","港別　出入国者　（月次）",""
"0003287583","出入国管理統計 出入（帰）国者数","月次","201801","2019-03-29","0","該当なし","2204530","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","港別　入国外国人の国籍・地域　（月次）","","港別　入国外国人の国籍・地域　（月次）",""
"0003287584","出入国管理統計 出入（帰）国者数","月次","201801","2019-03-29","0","該当なし","577069","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　入国外国人の在留資格　（月次）","","国籍・地域別　入国外国人の在留資格　（月次）",""
"0003287585","出入国管理統計 出入（帰）国者数","月次","201801","2019-03-29","0","該当なし","2204886","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","港別　出国外国人の国籍・地域　（月次）","","港別　出国外国人の国籍・地域　（月次）",""
"0003287586","出入国管理統計 出入（帰）国者数","月次","201801","2019-03-29","0","該当なし","594047","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　出国外国人の在留資格　（月次）","","国籍・地域別　出国外国人の在留資格　（月次）",""
"0003288041","出入国管理統計 出入（帰）国者数","年次","202401-202412","2025-07-18","0","該当なし","31500","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","港別　出入国者　","","港別　出入国者　",""
"0003288044","出入国管理統計 出入（帰）国者数","年次","202401-202412","2025-07-18","0","該当なし","359226","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　港別　入国外国人　","","国籍・地域別　港別　入国外国人　",""
"0003288045","出入国管理統計 出入（帰）国者数","年次","202401-202412","2025-07-18","0","該当なし","456081","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　港別　出国外国人　","","国籍・地域別　港別　出国外国人　",""
"0003288048","出入国管理統計 出入（帰）国者数","年次","202401-202412","2025-07-18","0","該当なし","148926","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　在留資格別　入国外国人","","国籍・地域別　在留資格別　入国外国人",""
"0003288049","出入国管理統計 出入（帰）国者数","年次","202401-202412","2025-07-18","0","該当なし","139919","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　在留資格別　新規入国外国人","","国籍・地域別　在留資格別　新規入国外国人",""
"0003288050","出入国管理統計 出入（帰）国者数","年次","202401-202412","2025-07-18","0","該当なし","152129","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　在留資格別　出国外国人","","国籍・地域別　在留資格別　出国外国人",""
"0003288051","出入国管理統計 出入（帰）国者数","年次","202101-202112","2022-08-25","0","該当なし","110725","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　再入国の許可を得ている入国外国人の在留資格","","国籍・地域別　再入国の許可を得ている入国外国人の在留資格",""
"0003288052","出入国管理統計 出入（帰）国者数","年次","202101-202112","2022-08-25","0","該当なし","111212","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　再入国の許可を得ている出国外国人の在留資格","","国籍・地域別　再入国の許可を得ている出国外国人の在留資格",""
"0003288053","出入国管理統計 出入（帰）国者数","年次","202401-202412","2025-07-18","0","該当なし","94887","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　入国目的別　新規入国外国人（短期滞在・特定活動等）","","国籍・地域別　入国目的別　新規入国外国人（短期滞在・特定活動等）",""
"0003288054","出入国管理統計 出入（帰）国者数","年次","202101-202112","2022-08-25","0","該当なし","71616","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　入国外国人の年齢及び男女別","","国籍・地域別　入国外国人の年齢及び男女別",""
"0003288055","出入国管理統計 出入（帰）国者数","年次","202101-202112","2022-08-25","0","該当なし","71616","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　出国外国人の年齢及び男女別","","国籍・地域別　出国外国人の年齢及び男女別",""
"0003288056","出入国管理統計 出入（帰）国者数","年次","202101-202112","2022-08-25","0","該当なし","52960","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　出国外国人の滞在期間（全出国者）","(注)　この表は，再入国の許可を得て出国した者を含まない。","国籍・地域別　出国外国人の滞在期間（全出国者）",""
"0003288057","出入国管理統計 出入（帰）国者数","年次","202101-202112","2022-08-25","0","該当なし","52832","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","国籍・地域別　出国外国人の滞在期間（短期滞在者）","(注)　この表は，再入国の許可を得て出国した者を含まない。","国籍・地域別　出国外国人の滞在期間（短期滞在者）",""
"0003288060","出入国管理統計 出入（帰）国者数","年次","202401-202412","2025-07-18","0","該当なし","29900","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","住所地別　年齢（５歳階級）・性別　出国日本人","","住所地別　年齢（５歳階級）・性別　出国日本人",""
"0003288061","出入国管理統計 出入（帰）国者数","年次","202401-202412","2025-07-18","0","該当なし","9728","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","滞在期間別　年齢（５歳階級）・性別　帰国日本人","","滞在期間別　年齢（５歳階級）・性別　帰国日本人",""
"0003290049","出入国管理統計 出入（帰）国者数","年次","202401-202412","2025-07-18","0","該当なし","6253","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","主要港別　月別　出国日本人","","主要港別　月別　出国日本人",""
"0003290050","出入国管理統計 出入（帰）国者数","年次","202401-202412","2025-07-18","0","該当なし","6253","2025-07-18","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","主要港別　月別　帰国日本人","","主要港別　月別　帰国日本人",""
"0003290385","出入国管理統計 出入（帰）国者数","年次","202101-202112","2022-08-25","0","該当なし","5525","2025-07-10","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","月別　主要港の入国外国人","","月別　主要港の入国外国人",""
"0003290386","出入国管理統計 出入（帰）国者数","年次","202101-202112","2022-08-25","0","該当なし","5525","2025-07-10","","00250011","出入国管理統計","00250","法務省","","","02","人口・世帯","04","人口移動","出入国管理統計","出入（帰）国者数","","月別　主要港の出国外国人","","月別　主要港の出国外国人",""
"0003449069","出入国管理統計 入国審査・在留資格審査・退去強制手続等","月次","202504","2025-06-25","0","該当なし","145880","2025-07-04","","00250011","出入国管理統計","00250","法務省","04","入国審査手続 港別　特例上陸許可及び不許可人員","02","人口・世帯","04","人口移動","出入国管理統計","入国審査・在留資格審査・退去強制手続等","入国審査手続","港別　特例上陸許可及び不許可人員","","",""
