"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003200132","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","16200","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","1-1","BSI項目 貴社・国内の景況判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","貴社・国内の景況判断ＢＳＩ：総括表(構成比・BSI)"
"0003200145","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","16848","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","1-1","計数項目 当年度売上高・経常利益：総括表(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","当年度売上高・経常利益：総括表(金額・前年同期比)"
"0003326000","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","22140","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","1-1","BSI項目 貴社・国内の景況判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","貴社・国内の景況判断ＢＳＩ：総括表(構成比・BSI)"
"0003326042","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","20808","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","1-1","計数項目 当年度売上高・経常利益：総括表(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","当年度売上高・経常利益：総括表(金額・前年同期比)"
"0003200105","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","4212","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","1-1-2","計数項目 翌年度売上高・経常利益：総括表(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","翌年度売上高・経常利益：総括表(金額・前年同期比)"
"0003326160","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","5112","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","1-1-2","計数項目 翌年度売上高・経常利益：総括表(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","翌年度売上高・経常利益：総括表(金額・前年同期比)"
"0003200165","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","42444","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","1-2","計数項目 当年度売上高・経常利益：業種別(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","当年度売上高・経常利益：業種別(金額・前年同期比)"
"0003200180","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","42480","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","1-2","BSI項目 貴社・国内の景況判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","貴社・国内の景況判断ＢＳＩ：業種別(BSI)"
"0003325983","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","58452","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","1-2","BSI項目 貴社・国内の景況判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","貴社・国内の景況判断ＢＳＩ：業種別(BSI)"
"0003326060","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","47790","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","1-2","計数項目 当年度売上高・経常利益：業種別(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","当年度売上高・経常利益：業種別(金額・前年同期比)"
"0003200150","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","10611","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","1-2-2","計数項目 翌年度売上高・経常利益：業種別(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","翌年度売上高・経常利益：業種別(金額・前年同期比)"
"0003326161","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","11826","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","1-2-2","計数項目 翌年度売上高・経常利益：業種別(金額・前年同期比)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","計数項目","翌年度売上高・経常利益：業種別(金額・前年同期比)"
"0003200200","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","32400","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","1-3","BSI項目 貴社の景況判断ＢＳＩ：貴社の景況判断の決定要因(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","貴社の景況判断ＢＳＩ：貴社の景況判断の決定要因(構成比・BSI)"
"0003325984","法人企業景気予測調査 結果の概要及び統計資料編","四半期","202407-202409","2024-09-12","0","該当なし","44280","2024-12-09","","00350610","法人企業景気予測調査","00350","財務省","1-3","BSI項目 貴社の景況判断ＢＳＩ：貴社の景況判断の決定要因(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","貴社の景況判断ＢＳＩ：貴社の景況判断の決定要因(構成比・BSI)"
"0003200183","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","8100","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","11-1","BSI項目 資金繰り判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","資金繰り判断ＢＳＩ：総括表(構成比・BSI)"
"0003200203","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","20880","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","11-2","BSI項目 資金繰り判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","資金繰り判断ＢＳＩ：業種別(BSI)"
"0003200115","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","8100","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","12-1","BSI項目 金融機関の融資態度判断ＢＳＩ：総括表(構成比・BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","金融機関の融資態度判断ＢＳＩ：総括表(構成比・BSI)"
"0003200223","法人企業景気予測調査 結果の概要及び統計資料編","四半期","201901-201903","2019-03-12","0","該当なし","20880","2023-09-13","","00350610","法人企業景気予測調査","00350","財務省","12-2","BSI項目 金融機関の融資態度判断ＢＳＩ：業種別(BSI)","07","企業・家計・経済","01","企業活動","法人企業景気予測調査","結果の概要及び統計資料編","BSI項目","金融機関の融資態度判断ＢＳＩ：業種別(BSI)"
