"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003045904","民間給与実態統計 結果表","年次","0","2015-11-19","0","該当なし","576","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","00101","全国計表　第1表　給与所得者数・給与額・税額 事業所規模別 （2007年～2014年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第1表　給与所得者数・給与額・税額","事業所規模別","（2007年～2014年）"
"0003281040","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","567","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00101","全国計表　第1表　給与所得者数・給与額・税額　事業所規模別　（2015年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第1表　給与所得者数・給与額・税額　事業所規模別　（2015年～）","",""
"0003045905","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","1080","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00102","全国計表　第1表　給与所得者数・給与額・税額　企業規模別　（2007年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第1表　給与所得者数・給与額・税額　企業規模別　（2007年～）","",""
"0003045906","民間給与実態統計 結果表","年次","0","2012-02-28","0","該当なし","135","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","00103","全国計表　第1表　給与所得者数・給与額・税額 業種別 （2007年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第1表　給与所得者数・給与額・税額","業種別","（2007年）"
"0003045942","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","1890","2024-09-25","","00351000","民間給与実態統計調査","00351","国税庁","00103","全国計表　第1表　給与所得者数・給与額・税額　業種別　（2008年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第1表　給与所得者数・給与額・税額　業種別　（2008年～）","",""
"0003045907","民間給与実態統計 結果表","年次","0","2015-11-19","0","該当なし","2048","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","00201","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数 企業規模別・事業所規模別 （2007年～2014年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数","企業規模別・事業所規模別","（2007年～2014年）"
"0003281041","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","2016","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00201","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数　企業規模別・事業所規模別　（2015年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数　企業規模別・事業所規模別　（2015年～）","",""
"0003045908","民間給与実態統計 結果表","年次","0","2012-02-28","0","該当なし","480","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","00202","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数 業種別・事業所規模別 （2007年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数","業種別・事業所規模別","（2007年）"
"0003045943","民間給与実態統計 結果表","年次","0","2015-11-19","0","該当なし","3360","2024-09-25","","00351000","民間給与実態統計調査","00351","国税庁","00202","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数 業種別・事業所規模別 （2008年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数","業種別・事業所規模別","（2008年～）"
"0003281023","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","3780","2024-09-25","","00351000","民間給与実態統計調査","00351","国税庁","00202","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数　業種別・事業所規模別　（2015年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数　業種別・事業所規模別　（2015年～）","",""
"0003045909","民間給与実態統計 結果表","年次","0","2012-02-28","0","該当なし","480","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","00203","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数 業種別・企業規模別 （2007年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数","業種別・企業規模別","（2007年）"
"0003045944","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","6720","2024-09-25","","00351000","民間給与実態統計調査","00351","国税庁","00203","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数　業種別・企業規模別　（2008年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第2表　給与所得者数・給与額・源泉徴収義務者数　業種別・企業規模別　（2008年～）","",""
"0003067277","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","13770","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00301","全国計表　第3表　給与階級別の総括表　１年を通じて勤務した給与所得者・１年未満勤続者　（2007年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第3表　給与階級別の総括表　１年を通じて勤務した給与所得者・１年未満勤続者　（2007年～）","",""
"0003045911","民間給与実態統計 結果表","年次","0","2015-11-19","0","該当なし","11520","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","00401","全国計表　第4表　事業所規模別及び給与階級別の総括表 （2007年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第4表　事業所規模別及び給与階級別の総括表","","（2007年～）"
"0003281100","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","14580","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00401","全国計表　第4表　事業所規模別及び給与階級別の総括表　（2015年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第4表　事業所規模別及び給与階級別の総括表　（2015年～）","",""
"0003045912","民間給与実態統計 結果表","年次","0","2015-11-19","0","該当なし","29160","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","00501","全国計表　第5表　事業所規模別及び給与階級別の給与所得者数・給与額 （1年を通じて勤務した給与所得者） （2007年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第5表　事業所規模別及び給与階級別の給与所得者数・給与額","（1年を通じて勤務した給与所得者）","（2007年～）"
"0003281101","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","31185","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00501","全国計表　第5表　事業所規模別及び給与階級別の給与所得者数・給与額　（1年を通じて勤務した給与所得者）　（2015年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第5表　事業所規模別及び給与階級別の給与所得者数・給与額　（1年を通じて勤務した給与所得者）　（2015年～）","",""
"0003045913","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","24480","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00601","全国計表　第6表　企業規模別及び給与階級別の総括表　合計　（2007年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第6表　企業規模別及び給与階級別の総括表　合計　（2007年～）","",""
"0003091185","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","16740","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00602","全国計表　第6表　企業規模別及び給与階級別の総括表　役員　（2012年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第6表　企業規模別及び給与階級別の総括表　役員　（2012年～）","",""
"0003091186","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","17280","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00603","全国計表　第6表　企業規模別及び給与階級別の総括表　正規　（2012年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第6表　企業規模別及び給与階級別の総括表　正規　（2012年～）","",""
"0003091187","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","17280","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00604","全国計表　第6表　企業規模別及び給与階級別の総括表　非正規　（2012年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第6表　企業規模別及び給与階級別の総括表　非正規　（2012年～）","",""
"0003045914","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","54675","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00701","全国計表　第7表　企業規模別及び給与階級別の給与所得者数・給与額　合計（1年を通じて勤務した給与所得者）　（2007年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第7表　企業規模別及び給与階級別の給与所得者数・給与額　合計（1年を通じて勤務した給与所得者）　（2007年～）","",""
"0003091188","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","32400","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00702","全国計表　第7表　企業規模別及び給与階級別の給与所得者数・給与額　役員(１年を通じて勤務した給与所得者)　（2012年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第7表　企業規模別及び給与階級別の給与所得者数・給与額　役員(１年を通じて勤務した給与所得者)　（2012年～）","",""
"0003091189","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","36450","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00703","全国計表　第7表　企業規模別及び給与階級別の給与所得者数・給与額　正規（１年を通じて勤務した給与所得者）　（2012年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第7表　企業規模別及び給与階級別の給与所得者数・給与額　正規（１年を通じて勤務した給与所得者）　（2012年～）","",""
"0003091190","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","36450","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","00704","全国計表　第7表　企業規模別及び給与階級別の給与所得者数・給与額　非正規（１年を通じて勤務した給与所得者）　（2012年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第7表　企業規模別及び給与階級別の給与所得者数・給与額　非正規（１年を通じて勤務した給与所得者）　（2012年～）","",""
"0003045915","民間給与実態統計 結果表","年次","0","2014-01-31","0","該当なし","1575","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","00801","全国計表　第8表　企業規模別及び給与階級別役員の給与所得者数・給与額 総括表（1年を通じて勤務した給与所得者） （2007年～2011年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第8表　企業規模別及び給与階級別役員の給与所得者数・給与額","総括表（1年を通じて勤務した給与所得者）","（2007年～2011年）"
"0003045916","民間給与実態統計 結果表","年次","0","2014-01-31","0","該当なし","4725","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","00802","全国計表　第8表　企業規模別及び給与階級別役員の給与所得者数・給与額 企業規模別（1年を通じて勤務した給与所得者） （2007年～2011年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第8表　企業規模別及び給与階級別役員の給与所得者数・給与額","企業規模別（1年を通じて勤務した給与所得者）","（2007年～2011年）"
"0003090531","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","24300","2024-09-25","","00351000","民間給与実態統計調査","00351","国税庁","00803","全国計表　第8表　業種別及び給与階級別の給与所得者数・給与額　総括表（１年を通じて勤務した給与所得者）　（2012年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第8表　業種別及び給与階級別の給与所得者数・給与額　総括表（１年を通じて勤務した給与所得者）　（2012年～）","",""
"0003090532","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","2250","2024-09-25","","00351000","民間給与実態統計調査","00351","国税庁","00804","全国計表　第8表　業種別及び給与階級別の給与所得者数　　１年未満勤続の給与所得者数　（2012年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第8表　業種別及び給与階級別の給与所得者数　　１年未満勤続の給与所得者数　（2012年～）","",""
"0003446838","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","450","2024-09-25","","00351000","民間給与実態統計調査","00351","国税庁","00805","全国計表　第8表　業種別及び給与階級別の給与所得者数　　１年未満勤続の給与所得者数（乙欄適用者を除く）　（2020年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第8表　業種別及び給与階級別の給与所得者数　　１年未満勤続の給与所得者数（乙欄適用者を除く）　（2020年～）","",""
"0003045917","民間給与実態統計 結果表","年次","0","2012-02-28","0","該当なし","2025","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","00901","全国計表　第9表　業種別及び給与階級別の給与所得者数・給与額 総括表（1年を通じて勤務した給与所得者） （2007年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第9表　業種別及び給与階級別の給与所得者数・給与額","総括表（1年を通じて勤務した給与所得者）","（2007年）"
"0003045945","民間給与実態統計 結果表","年次","0","2014-01-31","0","該当なし","8100","2024-09-25","","00351000","民間給与実態統計調査","00351","国税庁","00901","全国計表　第9表　業種別及び給与階級別の給与所得者数・給与額 総括表（1年を通じて勤務した給与所得者） （2008年～2011年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第9表　業種別及び給与階級別の給与所得者数・給与額","総括表（1年を通じて勤務した給与所得者）","（2008年～2011年）"
"0003045918","民間給与実態統計 結果表","年次","0","2012-02-28","0","該当なし","6075","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","00902","全国計表　第9表　業種別及び給与階級別の給与所得者数・給与額 業種別（1年を通じて勤務した給与所得者） （2007年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第9表　業種別及び給与階級別の給与所得者数・給与額","業種別（1年を通じて勤務した給与所得者）","（2007年）"
"0003045946","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","85050","2024-09-25","","00351000","民間給与実態統計調査","00351","国税庁","00902","全国計表　第9表　業種別及び給与階級別の給与所得者数・給与額　業種別（1年を通じて勤務した給与所得者）　（2008年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第9表　業種別及び給与階級別の給与所得者数・給与額　業種別（1年を通じて勤務した給与所得者）　（2008年～）","",""
"0003045919","民間給与実態統計 結果表","年次","0","2012-02-28","0","該当なし","225","2021-01-18","","00351000","民間給与実態統計調査","00351","国税庁","00903","全国計表　第9表　業種別及び給与階級別の給与所得者数・給与額 1年未満勤続の給与所得者数 （2007年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第9表　業種別及び給与階級別の給与所得者数・給与額","1年未満勤続の給与所得者数","（2007年）"
"0003045947","民間給与実態統計 結果表","年次","0","2014-01-31","0","該当なし","900","2024-09-25","","00351000","民間給与実態統計調査","00351","国税庁","00903","全国計表　第9表　業種別及び給与階級別の給与所得者数・給与額 1年未満勤続の給与所得者数 （2008年～2011年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第9表　業種別及び給与階級別の給与所得者数・給与額","1年未満勤続の給与所得者数","（2008年～2011年）"
"0003045920","民間給与実態統計 結果表","年次","0","2015-11-19","0","該当なし","7488","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","01001","全国計表　第10表　事業所規模別及び年齢階層別の給与所得者数・給与額 （1年を通じて勤務した給与所得者） （2007年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第10表　事業所規模別及び年齢階層別の給与所得者数・給与額","（1年を通じて勤務した給与所得者）","（2007年～）"
"0003281201","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","9477","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","01001","全国計表　第10表　事業所規模別及び年齢階層別の給与所得者数・給与額　（1年を通じて勤務した給与所得者）　（2015年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第10表　事業所規模別及び年齢階層別の給与所得者数・給与額　（1年を通じて勤務した給与所得者）　（2015年～）","",""
"0003045921","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","15912","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","01101","全国計表　第11表　企業規模別及び年齢階層別の給与所得者数・給与額　（1年を通じて勤務した給与所得者）　（2007年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第11表　企業規模別及び年齢階層別の給与所得者数・給与額　（1年を通じて勤務した給与所得者）　（2007年～）","",""
"0003045922","民間給与実態統計 結果表","年次","0","2012-02-28","0","該当なし","585","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","01201","全国計表　第12表　業種別及び年齢階層別の給与所得者数・給与額 （1年を通じて勤務した給与所得者） （2007年）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第12表　業種別及び年齢階層別の給与所得者数・給与額","（1年を通じて勤務した給与所得者）","（2007年）"
"0003045948","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","8190","2024-09-25","","00351000","民間給与実態統計調査","00351","国税庁","01201","全国計表　第12表　業種別及び年齢階層別の給与所得者数・給与額　（1年を通じて勤務した給与所得者）　（2008年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第12表　業種別及び年齢階層別の給与所得者数・給与額　（1年を通じて勤務した給与所得者）　（2008年～）","",""
"0003446818","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","1170","2024-09-25","","00351000","民間給与実態統計調査","00351","国税庁","01202","全国計表　第12表　業種別及び年齢階層別の給与所得者数・給与額　（1年を通じて勤務した給与所得者（乙欄適用者を除く））（2020年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第12表　業種別及び年齢階層別の給与所得者数・給与額　（1年を通じて勤務した給与所得者（乙欄適用者を除く））（2020年～）","",""
"0003045923","民間給与実態統計 結果表","年次","0","2015-11-19","0","該当なし","5184","2022-02-01","","00351000","民間給与実態統計調査","00351","国税庁","01301","全国計表　第13表　事業所規模別及び勤続年数別の給与所得者数・給与額 （1年を通じて勤務した給与所得者） （2007年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第13表　事業所規模別及び勤続年数別の給与所得者数・給与額","（1年を通じて勤務した給与所得者）","（2007年～）"
"0003281202","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","6561","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","01301","全国計表　第13表　事業所規模別及び勤続年数別の給与所得者数・給与額　（1年を通じて勤務した給与所得者）　（2015年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第13表　事業所規模別及び勤続年数別の給与所得者数・給与額　（1年を通じて勤務した給与所得者）　（2015年～）","",""
"0003045924","民間給与実態統計 結果表","年次","201601-201612","2022-11-24","0","該当なし","11016","2022-11-25","","00351000","民間給与実態統計調査","00351","国税庁","01401","全国計表　第14表　企業規模別及び勤続年数別の給与所得者数・給与額　（1年を通じて勤務した給与所得者）　（2007年～）","03","労働・賃金","02","賃金・労働条件","民間給与実態統計","結果表","全国計表　第14表　企業規模別及び勤続年数別の給与所得者数・給与額　（1年を通じて勤務した給与所得者）　（2007年～）","",""
