"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3","TITLE","TITLE_SPEC.TABLE_EXPLANATION"
"0003037791","学校保健統計調査 平成１８年度 全国表","年度次","200604-200703","2007-11-30","0","該当なし","1800","2021-03-26","","00400002","学校保健統計調査","00400","文部科学省","1","年齢別　都市階級別　設置者別　身長・体重・座高の平均値及び標準偏差","15","社会保障・衛生","04","保健衛生","学校保健統計調査","平成１８年度","全国表","年齢別　都市階級別　設置者別　身長・体重・座高の平均値及び標準偏差","","","","",""
"0003037792","学校保健統計調査 平成１８年度 全国表","年度次","200604-200703","2007-11-30","0","該当なし","2912","2021-03-26","","00400002","学校保健統計調査","00400","文部科学省","2","身長の年齢別分布(‰)","15","社会保障・衛生","04","保健衛生","学校保健統計調査","平成１８年度","全国表","身長の年齢別分布(‰)","","","","",""
"0003037793","学校保健統計調査 平成１８年度 全国表","年度次","200604-200703","2007-11-30","0","該当なし","3016","2021-03-26","","00400002","学校保健統計調査","00400","文部科学省","3","体重の年齢別分布(‰)","15","社会保障・衛生","04","保健衛生","学校保健統計調査","平成１８年度","全国表","体重の年齢別分布(‰)","","","","",""
"0003037794","学校保健統計調査 平成１８年度 全国表","年度次","200604-200703","2007-11-30","0","該当なし","806","2021-03-26","","00400002","学校保健統計調査","00400","文部科学省","4","座高の年齢別分布-男（‰）","15","社会保障・衛生","04","保健衛生","学校保健統計調査","平成１８年度","全国表","座高の年齢別分布-男（‰）","","","","",""
"0003037795","学校保健統計調査 平成１８年度 全国表","年度次","200604-200703","2007-11-30","0","該当なし","741","2021-03-26","","00400002","学校保健統計調査","00400","文部科学省","4","座高の年齢別分布-女（‰）","15","社会保障・衛生","04","保健衛生","学校保健統計調査","平成１８年度","全国表","座高の年齢別分布-女（‰）","","","","",""
"0003039851","学校保健統計調査 平成１８年度 全国表","年度次","200604-200703","2011-03-25","0","該当なし","18315","2021-03-26","","00400002","学校保健統計調査","00400","文部科学省","5","年齢別　都市階級別　設置者別　疾病・異常被患率等（％）","15","社会保障・衛生","04","保健衛生","学校保健統計調査","平成１８年度","全国表","年齢別　都市階級別　設置者別　疾病・異常被患率等（％）","","","","",""
"0003039852","学校保健統計調査 平成１８年度 全国表","年度次","200604-200703","2011-03-25","0","該当なし","2775","2021-03-26","","00400002","学校保健統計調査","00400","文部科学省","5","年齢別　都市階級別　設置者別　疾病・異常被患等（むし歯）","15","社会保障・衛生","04","保健衛生","学校保健統計調査","平成１８年度","全国表","年齢別　都市階級別　設置者別　疾病・異常被患等（むし歯）","","","","",""
"0003037929","学校保健統計調査 平成１８年度 都道府県表","年度次","200604-200703","2007-11-30","0","該当なし","1152","2021-03-26","","00400002","学校保健統計調査","00400","文部科学省","10","相談員・スクールカウンセラーの配置状況（％）","15","社会保障・衛生","04","保健衛生","学校保健統計調査","平成１８年度","都道府県表","相談員・スクールカウンセラーの配置状況（％）","","","","",""
"0003037798","学校保健統計調査 平成１８年度 都道府県表","年度次","200604-200703","2007-11-30","0","該当なし","7488","2021-03-26","","00400002","学校保健統計調査","00400","文部科学省","6","都道府県別　身長・体重・座高の平均値及び標準偏差","15","社会保障・衛生","04","保健衛生","学校保健統計調査","平成１８年度","都道府県表","都道府県別　身長・体重・座高の平均値及び標準偏差","","","","",""
"0003037799","学校保健統計調査 平成１８年度 都道府県表","年度次","200604-200703","2007-11-30","0","該当なし","7488","2021-03-26","","00400002","学校保健統計調査","00400","文部科学省","7","都道府県別　肥満傾向児の出現率（％）","15","社会保障・衛生","04","保健衛生","学校保健統計調査","平成１８年度","都道府県表","都道府県別　肥満傾向児の出現率（％）","","","","",""
