"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_EXPLANATION"
"0003101230","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","1224","2019-11-12","","00400004","社会教育調査","00400","文部科学省","1","教育委員会数・教育委員会事務局の社会教育関係職員数（全国）","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会数・教育委員会事務局の社会教育関係職員数（全国）","","","",""
"0003101195","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","864","2019-11-12","","00400004","社会教育調査","00400","文部科学省","10","教育委員会における民間社会教育事業者との連携・協力状況　１．営利社会教育事業者　（２） 諸集会　教育委員会数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における民間社会教育事業者との連携・協力状況　１．営利社会教育事業者　（２） 諸集会　教育委員会数","","","",""
"0003101196","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","864","2019-11-12","","00400004","社会教育調査","00400","文部科学省","10","教育委員会における民間社会教育事業者との連携・協力状況　２．非営利社会教育事業者　（１）学級・講座　教育委員会数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における民間社会教育事業者との連携・協力状況　２．非営利社会教育事業者　（１）学級・講座　教育委員会数","","","",""
"0003101197","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","864","2019-11-12","","00400004","社会教育調査","00400","文部科学省","10","教育委員会における民間社会教育事業者との連携・協力状況　２．非営利社会教育事業者　（２） 諸集会　教育委員会数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における民間社会教育事業者との連携・協力状況　２．非営利社会教育事業者　（２） 諸集会　教育委員会数","","","",""
"0003101209","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","864","2019-11-12","","00400004","社会教育調査","00400","文部科学省","10","教育委員会における民間社会教育事業者との連携・協力状況　１．営利社会教育事業者　（１） 学級・講座　件数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における民間社会教育事業者との連携・協力状況　１．営利社会教育事業者　（１） 学級・講座　件数","","","",""
"0003101210","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","864","2019-11-12","","00400004","社会教育調査","00400","文部科学省","10","教育委員会における民間社会教育事業者との連携・協力状況　１．営利社会教育事業者　（２） 諸集会　件数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における民間社会教育事業者との連携・協力状況　１．営利社会教育事業者　（２） 諸集会　件数","","","",""
"0003101211","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","864","2019-11-12","","00400004","社会教育調査","00400","文部科学省","10","教育委員会における民間社会教育事業者との連携・協力状況　２．非営利社会教育事業者　（１） 学級・講座　件数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における民間社会教育事業者との連携・協力状況　２．非営利社会教育事業者　（１） 学級・講座　件数","","","",""
"0003101212","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","864","2019-11-12","","00400004","社会教育調査","00400","文部科学省","10","教育委員会における民間社会教育事業者との連携・協力状況　２．非営利社会教育事業者　（２） 諸集会　件数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における民間社会教育事業者との連携・協力状況　２．非営利社会教育事業者　（２） 諸集会　件数","","","",""
"0003101227","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","864","2019-11-12","","00400004","社会教育調査","00400","文部科学省","10","教育委員会における民間社会教育事業者との連携・協力状況　１．営利社会教育事業者　（１）学級・講座　教育委員会数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における民間社会教育事業者との連携・協力状況　１．営利社会教育事業者　（１）学級・講座　教育委員会数","","","",""
"0003101213","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","960","2019-11-12","","00400004","社会教育調査","00400","文部科学省","11","設置目的別 関係法人数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","設置目的別 関係法人数","","","",""
"0003101179","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","1536","2019-11-12","","00400004","社会教育調査","00400","文部科学省","12","都道府県知事部局・市町村長部局における学級・講座の開設状況　１.　学級・講座数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","都道府県知事部局・市町村長部局における学級・講座の開設状況　１.　学級・講座数","","","",""
"0003101229","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","1152","2019-11-12","","00400004","社会教育調査","00400","文部科学省","12","都道府県知事部局・市町村長部局における学級・講座の開設状況　２.　学級生・受講者数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","都道府県知事部局・市町村長部局における学級・講座の開設状況　２.　学級生・受講者数","","","",""
"0003101245","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","576","2019-11-12","","00400004","社会教育調査","00400","文部科学省","13","都道府県知事部局・市町村長部局における学級・講座を実施した関連施設数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","都道府県知事部局・市町村長部局における学級・講座を実施した関連施設数","","","",""
"0003101177","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","384","2019-11-12","","00400004","社会教育調査","00400","文部科学省","14","都道府県知事部局・市町村長部局における諸集会の実施状況","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","都道府県知事部局・市町村長部局における諸集会の実施状況","","","",""
"0003101214","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","192","2019-11-12","","00400004","社会教育調査","00400","文部科学省","15","都道府県知事部局・市町村長部局における指導者研修事業の実施状況","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","都道府県知事部局・市町村長部局における指導者研修事業の実施状況","","","",""
"0003101215","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","672","2019-11-12","","00400004","社会教育調査","00400","文部科学省","16","都道府県知事部局・市町村長部局における情報提供方法","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","都道府県知事部局・市町村長部局における情報提供方法","","","",""
"0003101178","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","912","2019-11-12","","00400004","社会教育調査","00400","文部科学省","2","教育委員会数・教育委員会事務局の社会教育関係職員数（都道府県別） 1.教育委員会数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会数・教育委員会事務局の社会教育関係職員数（都道府県別）","1.教育委員会数","","",""
"0003101246","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","1632","2019-11-12","","00400004","社会教育調査","00400","文部科学省","2","教育委員会数・教育委員会事務局の社会教育関係職員数（都道府県別） 2 社会教育関係職員数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会数・教育委員会事務局の社会教育関係職員数（都道府県別）","2 社会教育関係職員数","","",""
"0003101166","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","864","2019-11-12","","00400004","社会教育調査","00400","文部科学省","3","社会体育担当職員を設置する教育委員会数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","社会体育担当職員を設置する教育委員会数","","","",""
"0003101142","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","0","2006-10-31","0","該当なし","551","2019-11-12","","00400004","社会教育調査","00400","文部科学省","4","社会教育主事・社会教育主事補の設置状況","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","社会教育主事・社会教育主事補の設置状況","","","",""
"0003101186","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","306","2019-11-12","","00400004","社会教育調査","00400","文部科学省","5","社会教育委員・社会教育関係指導員の設置状況","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","社会教育委員・社会教育関係指導員の設置状況","","","",""
"0003101216","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","72","2019-11-12","","00400004","社会教育調査","00400","文部科学省","6","教育委員会における社会教育事業の実施状況","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における社会教育事業の実施状況","","","",""
"0003101231","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","564","2019-11-12","","00400004","社会教育調査","00400","文部科学省","6","教育委員会における社会教育事業の実施状況　(都道府県別)","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における社会教育事業の実施状況　(都道府県別)","","","",""
"0003101101","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","330","2019-11-12","","00400004","社会教育調査","00400","文部科学省","7","教育委員会における社会教育学級・講座の開設状況（全国）　１． 学級・講座数　 （３） 計のうち知事（首長）部局との共催，17時以降実施，土・日実施及び託児サービスを実施 －学習内容別－","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における社会教育学級・講座の開設状況（全国）　１． 学級・講座数　 （３） 計のうち知事（首長）部局との共催，17時以降実施，土・日実施及び託児サービスを実施 －学習内容別－","","","",""
"0003101102","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","216","2019-11-12","","00400004","社会教育調査","00400","文部科学省","7","教育委員会における社会教育学級・講座の開設状況（全国）　２． 学級生・受講者数","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における社会教育学級・講座の開設状況（全国）　２． 学級生・受講者数","","","",""
"0003101169","社会教育調査 平成１７年度 統計表 社会教育行政調査","-","200504-200603","2006-10-31","0","該当なし","473","2019-11-12","","00400004","社会教育調査","00400","文部科学省","7","教育委員会における社会教育学級・講座の開設状況（全国）　１． 学級・講座数　 （２） 計 －対象別・学習内容別－","12","教育・文化・スポーツ・生活","02","社会教育","社会教育調査","平成１７年度","統計表","社会教育行政調査","教育委員会における社会教育学級・講座の開設状況（全国）　１． 学級・講座数　 （２） 計 －対象別・学習内容別－","","","",""
