"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003368814","子供の学習費調査","1　学校種別の学習費","年度次","201604-201703","2019-11-27","0","該当なし","864","2019-11-28","","00400201","子供の学習費調査","00400","文部科学省","12","教育・文化・スポーツ・生活","01","学校教育","子供の学習費調査","1　学校種別の学習費",""
"0003368815","子供の学習費調査","2　学年（年齢）別，所在市町村の人口規模（学科）別の学習費 幼稚園","年度次","201604-201703","2019-11-27","0","該当なし","2160","2019-11-28","","00400201","子供の学習費調査","00400","文部科学省","12","教育・文化・スポーツ・生活","01","学校教育","子供の学習費調査","2　学年（年齢）別，所在市町村の人口規模（学科）別の学習費 幼稚園","■標準誤差率について<br>【2016年度】　a) 「3～5歳児」、b) 「人口規模別」 を表す<br>＜学習費総額＞　公立幼稚園： a) 1.79～ 4.62%、　b) 2.73～ 6.85%　／　私立幼稚園： a) 3.01～ 3.83%、　b) 3.18～ 7.32%<br>＜学校教育費＞　公立幼稚園： a) 1.97～ 4.66%、　b) 2.67～10.61%　／　私立幼稚園： a) 3.40～ 4.48%、　b) 3.92～ 7.90%<br>＜学校給食費＞　公立幼稚園： a) 4.67～ 7.55%、　b) 5.49～79.03%　／　私立幼稚園： a) 6.48～ 7.00%、　b) 8.48～19.09%<br>＜学校外活動費＞公立幼稚園： a) 3.93～14.92%、　b) 4.43～10.79%　／　私立幼稚園： a) 3.99～ 6.11%、　b) 5.39～10.19%<br><br>【2014年度】　a) 「3～5歳児」、b) 「人口規模別」 を表す<br>＜学習費総額＞　公立幼稚園： a) 2.13～ 3.06%、　b) 2.41～ 5.05%　／　私立幼稚園： a) 2.16～ 3.97%、　b) 3.33～ 7.29%<br>＜学校教育費＞　公立幼稚園： a) 2.79～ 3.38%、　b) 4.26～ 7.11%　／　私立幼稚園： a) 1.82～ 5.42%、　b) 4.46～ 8.05%<br>＜学校給食費＞　公立幼稚園： a) 6.21～ 8.19%、　b) 8.22～48.62%　／　私立幼稚園： a) 3.97～ 4.14%、　b) 4.70～16.35%<br>＜学校外活動費＞公立幼稚園： a) 3.68～ 9.97%、　b) 4.85～ 8.88%　／　私立幼稚園： a) 5.23～ 7.91%、　b) 5.34～ 8.73%<br><br>【2012年度】　a) 「3～5歳児」、b) 「人口規模別」 を表す<br>＜学習費総額＞　公立幼稚園： a) 1.47～ 2.47%、　b) 2.23～ 3.50%　／　私立幼稚園： a) 1.67～ 2.05%、　b) 3.11～ 9.06%<br>＜学校教育費＞　公立幼稚園： a) 1.59～ 2.78%、　b) 2.59～ 4.79%　／　私立幼稚園： a) 1.64～ 1.95%、　b) 2.77～ 8.01%<br>＜学校給食費＞　公立幼稚園： a) 6.65～ 7.27%、　b) 5.40～94.27%　／　私立幼稚園： a) 5.44～ 6.01%、　b)10.25～17.11%<br>＜学校外活動費＞公立幼稚園： a) 3.04～ 5.50%、　b) 3.36～ 7.36%　／　私立幼稚園： a) 3.48～ 5.07%、　b) 5.60～13.48%<br>"
"0003368816","子供の学習費調査","2　学年（年齢）別，所在市町村の人口規模（学科）別の学習費 小学校","年度次","201604-201703","2019-11-27","0","該当なし","2376","2019-11-28","","00400201","子供の学習費調査","00400","文部科学省","12","教育・文化・スポーツ・生活","01","学校教育","子供の学習費調査","2　学年（年齢）別，所在市町村の人口規模（学科）別の学習費 小学校","■標準誤差率について<br>【2016年度】　a) 「各学年」　、b) 「人口規模別」 を表す<br>＜学習費総額＞　公立小学校： a) 2.58～ 6.43%、　b) 2.61～10.84%　／　私立小学校：a) 1.48～ 1.65%<br>＜学校教育費＞　公立小学校： a) 1.79～ 4.44%、　b) 2.87～ 4.17%　／　私立小学校：a) 1.43～ 1.58%<br>＜学校給食費＞　公立小学校： a) 0.9 ～ 2.73%、　b) 1.59～ 5.07%　／　私立小学校：a) 4.57～ 4.72%<br>＜学校外活動費＞公立小学校： a) 4.16～ 8.5%、 　b) 4.64～13.82%  ／　私立小学校：a) 2.64～ 3.03%<br><br>【2014年度】　a) 「各学年」　、b) 「人口規模別」 を表す<br>＜学習費総額＞　公立小学校： a) 2.51～12.13%、　b) 1.84～12.02%　／　私立小学校：a) 1.50～ 1.99% <br>＜学校教育費＞　公立小学校： a) 1.78～ 3.05%、　b) 2.37～ 4.15%　／　私立小学校：a) 1.28～ 1.53%<br>＜学校給食費＞　公立小学校： a) 0.84～ 1.22%、　b) 1.34～ 4.28%　／　私立小学校：a) 4.52～ 4.82% <br>＜学校外活動費＞公立小学校： a) 3.52～17.55%、　b) 2.98～15.56%　／　私立小学校：a) 2.65～ 3.64%<br><br>【2012年度】　a) 「各学年」　、b) 「人口規模別」 を表す<br>＜学習費総額＞　公立小学校： a) 2.02～ 4.08%、　b) 1.98～ 3.65%　／　私立小学校：a) 1.71～ 2.09%<br>＜学校教育費＞　公立小学校： a) 1.99～ 2.74%、　b) 3.19～ 5.06%　／　私立小学校：a) 1.50～ 2.17%<br>＜学校給食費＞　公立小学校： a) 1.33～ 1.93%、　b) 1.07～ 4.76%　／　私立小学校：a) 5.80～ 6.28% <br>＜学校外活動費＞公立小学校： a) 3.14～ 5.63%、　b) 3.09～ 6.79%　／　私立小学校：a) 2.99～ 3.92%"
"0003368817","子供の学習費調査","2　学年（年齢）別，所在市町村の人口規模（学科）別の学習費 中学校","年度次","201604-201703","2019-11-27","0","該当なし","1728","2019-11-28","","00400201","子供の学習費調査","00400","文部科学省","12","教育・文化・スポーツ・生活","01","学校教育","子供の学習費調査","2　学年（年齢）別，所在市町村の人口規模（学科）別の学習費 中学校","■標準誤差率について<br>【2016年度】　a) 「各学年」、b) 「人口規模別」 を表す<br>＜学習費総額＞　公立中学校： a) 1.64%～ 2.45%、　b) 2.73%～ 3.84% ／　私立中学校： a) 2.13%～ 3.13%<br>＜学校教育費＞　公立中学校： a) 1.9% ～ 3.58%、　b) 3.01%～ 4.88% ／　私立中学校： a) 2.1% ～ 3.24%<br>＜学校給食費＞　公立中学校： a) 2.22%～ 2.91%、　b) 2.34%～10.49% ／　私立中学校： a)36.06%～40.58%<br>＜学校外活動費＞公立中学校： a) 2.2% ～ 4.55%、　b) 4.17%～ 6.9%　／　私立中学校： a) 6.89%～ 7.17%<br><br>【2014年度】　a) 「各学年」、b) 「人口規模別」 を表す<br>＜学習費総額＞　公立中学校： a) 1.92～ 2.63%、　b) 2.77～ 4.28%　／　私立中学校： a) 2.41～ 2.67%<br>＜学校教育費＞　公立中学校： a) 1.93～ 3.14%、　b) 2.41～ 6.07%　／　私立中学校： a) 2.20～ 2.72%<br>＜学校給食費＞　公立中学校： a) 3.45～ 3.72%、　b) 3.39～13.69%　／　私立中学校： a)53.10～53.71%<br>＜学校外活動費＞公立中学校： a) 2.48～ 4.74%、　b) 3.73～ 7.43%　／　私立中学校： a) 6.22～ 7.13%<br><br>【2012年度】　a) 「各学年」、b) 「人口規模別」 を表す<br>＜学習費総額＞　公立中学校： a) 1.57～ 2.44%、　b) 2.15～ 3.29%　／　私立中学校： a)  2.31～ 2.84%<br>＜学校教育費＞　公立中学校： a) 1.72～ 2.49%、　b) 2.59～ 3.63%　／　私立中学校： a)  2.32～ 2.59%<br>＜学校給食費＞　公立中学校： a) 2.35～ 2.95%、　b) 1.78～13.12%　／　私立中学校： a) 59.86～61.10%<br>＜学校外活動費＞公立中学校： a) 2.75～ 3.46%、　b) 3.07～ 5.94%　／　私立中学校： a)  5.64～ 7.50%<br>"
"0003368818","子供の学習費調査","2　学年（年齢）別，所在市町村の人口規模（学科）別の学習費 高等学校（全日制）　","年度次","201604-201703","2019-11-27","0","該当なし","1728","2019-11-28","","00400201","子供の学習費調査","00400","文部科学省","12","教育・文化・スポーツ・生活","01","学校教育","子供の学習費調査","2　学年（年齢）別，所在市町村の人口規模（学科）別の学習費 高等学校（全日制）　","学科別の「その他」は、専門学科及び総合学科である。<br><br>■標準誤差率について<br>【2016年度】　a) 「各学年」、b) 「普通科」、c)「その他」を表す<br>＜学習費総額＞<br>　公立高等学校（全日制）： a) 2.76%～ 4.05%、　b) 3.72%、　c) 4.62%<br>　私立高等学校（全日制）： a) 4.27%～ 4.47%、　b) 3.15%、　c) 6.27%<br>＜学校教育費＞<br>　公立高等学校（全日制）： a) 1.98%～ 2.43%、　b) 2.32%、　c) 3.22%<br>　私立高等学校（全日制）： a) 2.69%～ 5.06%、　b) 3.31%、　c) 4.32%<br>＜学校外活動費＞<br>　公立高等学校（全日制）： a) 6.27%～ 7.24%、　b) 6.21%、　c)14.06%<br>　私立高等学校（全日制）： a) 6.97%～10.13%、　b) 6.41%、　c)24.76%<br><br>【2014年度】　a) 「各学年」、b) 「普通科」、c)「その他」を表す<br>＜学習費総額＞<br>　公立高等学校（全日制）： a) 1.90～ 4.87%、　b) 2.89%、　c) 3.10%<br>　私立高等学校（全日制）： a) 2.59～ 4.44%、　b) 3.59%、　c)12.64%<br>＜学校教育費＞<br>　公立高等学校（全日制）： a) 1.62～ 2.38%、　b) 1.62%、　c) 2.25%<br>　私立高等学校（全日制）： a) 1.99～ 3.72%、　b) 2.05%、　c) 7.94%<br>＜学校外活動費＞<br>　公立高等学校（全日制）： a) 5.19～ 7.57%、　b) 5.69%、　c)11.92%<br>　私立高等学校（全日制）： a) 7.68～13.23%、　b)10.42%、　c)34.05%<br><br>【2012年度】　a) 「各学年」、b) 「普通科」、c)「その他」を表す<br>＜学習費総額＞<br>　公立高等学校（全日制）： a) 2.17～ 4.62%、　b) 3.13%、　c) 3.08%<br>　私立高等学校（全日制）： a) 3.11～ 5.39%、　b) 2.84%、　c) 6.73%<br>＜学校教育費＞<br>　公立高等学校（全日制）： a) 1.78～ 2.21%、　b) 1.65%、　c) 3.07%<br>　私立高等学校（全日制）： a) 2.53～ 3.35%、　b) 2.91%、　c) 5.40%<br>＜学校外活動費＞<br>　公立高等学校（全日制）： a) 5.55～ 7.02%、　b) 5.94%、　c) 8.28%<br>　私立高等学校（全日制）： a) 8.79～12.71%、　b) 5.14%、　c)22.55%<br>"
"0003368819","子供の学習費調査","3　学年（年齢）別，所在市町村の人口規模（学科）別の学習費支出状況 幼稚園","年度次","201604-201703","2019-11-27","0","該当なし","4320","2019-11-28","","00400201","子供の学習費調査","00400","文部科学省","12","教育・文化・スポーツ・生活","01","学校教育","子供の学習費調査","3　学年（年齢）別，所在市町村の人口規模（学科）別の学習費支出状況 幼稚園","1．「支出率」とは各経費を支出した者の比率（％）、「支出者平均額」とは各経費を支出した者の平均額（千円）である。<br>2．「0」又は「0.0」は計数が単位未満の場合を示す。<br>"
"0003368820","子供の学習費調査","3　学年（年齢）別，所在市町村の人口規模（学科）別の学習費支出状況 小学校","年度次","201604-201703","2019-11-27","0","該当なし","4752","2019-11-28","","00400201","子供の学習費調査","00400","文部科学省","12","教育・文化・スポーツ・生活","01","学校教育","子供の学習費調査","3　学年（年齢）別，所在市町村の人口規模（学科）別の学習費支出状況 小学校","1．「支出率」とは各経費を支出した者の比率（％）、「支出者平均額」とは各経費を支出した者の平均額（千円）である。<br>2．「0」又は「0.0」は計数が単位未満の場合を示す。<br>"
"0003368821","子供の学習費調査","3　学年（年齢）別，所在市町村の人口規模（学科）別の学習費支出状況 中学校","年度次","201604-201703","2019-11-27","0","該当なし","3456","2019-11-28","","00400201","子供の学習費調査","00400","文部科学省","12","教育・文化・スポーツ・生活","01","学校教育","子供の学習費調査","3　学年（年齢）別，所在市町村の人口規模（学科）別の学習費支出状況 中学校","1．「支出率」とは各経費を支出した者の比率（％）、「支出者平均額」とは各経費を支出した者の平均額（千円）である。<br>2．「0」又は「0.0」は計数が単位未満の場合を示す。<br>"
"0003368822","子供の学習費調査","3　学年（年齢）別，所在市町村の人口規模（学科）別の学習費支出状況 高等学校（全日制）","年度次","201604-201703","2019-11-27","0","該当なし","3456","2019-11-28","","00400201","子供の学習費調査","00400","文部科学省","12","教育・文化・スポーツ・生活","01","学校教育","子供の学習費調査","3　学年（年齢）別，所在市町村の人口規模（学科）別の学習費支出状況 高等学校（全日制）","1．「支出率」とは各経費を支出した者の比率（％）、「支出者平均額」とは各経費を支出した者の平均額（千円）である。<br>2．「0」又は「0.0」は計数が単位未満の場合を示す。<br>"
"0003368823","子供の学習費調査","4　項目別経費の金額段階別幼児・児童・生徒の構成比","年度次","201604-201703","2019-11-27","0","該当なし","7728","2019-11-28","","00400201","子供の学習費調査","00400","文部科学省","12","教育・文化・スポーツ・生活","01","学校教育","子供の学習費調査","4　項目別経費の金額段階別幼児・児童・生徒の構成比","1．「支出者平均額」とは、各経費を支出した者の平均額（千円）である。<br>2．「0.0」は計数が単位未満の場合を示す。<br>"
