"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003240560","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１０月１日現在の就職内定状況調査の推移 就職希望率・就職内定率","年次","0","2024-11-15","0","全国","2324","2025-11-14","","00400402","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","00400","文部科学省","03","労働・賃金","03","雇用","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１０月１日現在の就職内定状況調査の推移","就職希望率・就職内定率",""
"0003240561","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１０月１日現在の就職内定状況調査の推移 大学　文理別就職内定率","年次","0","2024-11-15","0","全国","522","2025-11-14","","00400402","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","00400","文部科学省","03","労働・賃金","03","雇用","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１０月１日現在の就職内定状況調査の推移","大学　文理別就職内定率",""
"0003240562","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１０月１日現在の就職内定状況調査の推移 大学　地域別就職内定状況","年次","0","2024-11-15","0","全国","406","2025-11-14","","00400402","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","00400","文部科学省","03","労働・賃金","03","雇用","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１０月１日現在の就職内定状況調査の推移","大学　地域別就職内定状況",""
"0003240562","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１０月１日現在の就職内定状況調査の推移 大学　地域別就職内定状況","年次","0","2024-11-15","0","都道府県","406","2025-11-14","","00400402","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","00400","文部科学省","03","労働・賃金","03","雇用","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１０月１日現在の就職内定状況調査の推移","大学　地域別就職内定状況",""
"0003240563","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１２月１日現在の就職内定状況調査の推移 就職希望率・就職内定率","年次","0","2023-01-20","0","全国","2148","2024-01-11","","00400402","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","00400","文部科学省","03","労働・賃金","03","雇用","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１２月１日現在の就職内定状況調査の推移","就職希望率・就職内定率",""
"0003240564","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１２月１日現在の就職内定状況調査の推移 大学　文理別就職内定率","年次","0","2023-01-20","0","全国","486","2024-01-11","","00400402","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","00400","文部科学省","03","労働・賃金","03","雇用","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１２月１日現在の就職内定状況調査の推移","大学　文理別就職内定率",""
"0003240565","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１２月１日現在の就職内定状況調査の推移 大学　地域別就職内定状況","年次","0","2023-01-20","0","全国","378","2024-01-11","","00400402","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","00400","文部科学省","03","労働・賃金","03","雇用","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１２月１日現在の就職内定状況調査の推移","大学　地域別就職内定状況",""
"0003240565","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１２月１日現在の就職内定状況調査の推移 大学　地域別就職内定状況","年次","0","2023-01-20","0","都道府県","378","2024-01-11","","00400402","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","00400","文部科学省","03","労働・賃金","03","雇用","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の１２月１日現在の就職内定状況調査の推移","大学　地域別就職内定状況",""
"0003240566","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の２月１日現在の就職内定状況調査の推移 就職希望率・就職内定率","年次","0","2025-03-14","0","全国","2324","2025-03-31","","00400402","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","00400","文部科学省","03","労働・賃金","03","雇用","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の２月１日現在の就職内定状況調査の推移","就職希望率・就職内定率","１．1997年～1999年までの３箇年は、調査時期が3月1日現在です。<BR>２．2000年以降は、調査時期が2月1日現在となります。<BR>３．2000年は調査時期が変更になったため、前年度増減率は&quot;－&quot;となります。<BR>"
"0003240567","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の２月１日現在の就職内定状況調査の推移 大学　文理別就職内定率","年次","0","2025-03-14","0","全国","522","2025-03-31","","00400402","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","00400","文部科学省","03","労働・賃金","03","雇用","大学・短期大学・高等専門学校及び専修学校卒業予定者の就職内定状況等調査","大学、短期大学及び高等専門学校卒業予定者の２月１日現在の就職内定状況調査の推移","大学　文理別就職内定率","１．1997年～1999年までの３箇年は、調査時期が3月1日現在です。<BR>２．2000年以降は、調査時期が2月1日現在となります。<BR>３．2000年は調査時期が変更になったため、前年度増減率は&quot;－&quot;となります。<BR>"
