"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME"
"0003302020","民間企業の研究活動に関する調査報告","年度次","201404-201503","2019-03-20","0","該当なし","176","2019-03-29","","00400501","民間企業の研究活動に関する調査","00400","文部科学省","6","先端研究施設・設備の活用が必要な研究開発の実施有無 業種別","11","情報通信・科学技術","02","科学技術","民間企業の研究活動に関する調査報告","先端研究施設・設備の活用が必要な研究開発の実施有無 業種別"
"0003302021","民間企業の研究活動に関する調査報告","年度次","201404-201503","2019-03-20","0","該当なし","12","2019-03-29","","00400501","民間企業の研究活動に関する調査","00400","文部科学省","6","先端研究施設・設備の活用が必要な研究開発の実施有無 資本金階級別","11","情報通信・科学技術","02","科学技術","民間企業の研究活動に関する調査報告","先端研究施設・設備の活用が必要な研究開発の実施有無 資本金階級別"
"0003287832","民間企業の研究活動に関する調査報告","年度次","201604-201703","2019-03-20","0","該当なし","1584","2019-03-29","","00400501","民間企業の研究活動に関する調査","00400","文部科学省","Q1-1","主要業種の売上高､営業利益 業種別","11","情報通信・科学技術","02","科学技術","民間企業の研究活動に関する調査報告","主要業種の売上高､営業利益 業種別"
"0003287833","民間企業の研究活動に関する調査報告","年度次","201604-201703","2019-03-20","0","該当なし","108","2019-03-29","","00400501","民間企業の研究活動に関する調査","00400","文部科学省","Q1-1","主要業種の売上高､営業利益 資本金階級別","11","情報通信・科学技術","02","科学技術","民間企業の研究活動に関する調査報告","主要業種の売上高､営業利益 資本金階級別"
"0003287834","民間企業の研究活動に関する調査報告","年度次","201604-201703","2019-03-20","0","該当なし","1584","2019-03-29","","00400501","民間企業の研究活動に関する調査","00400","文部科学省","Q1-2","全社の正社員数､非正社員数 業種別","11","情報通信・科学技術","02","科学技術","民間企業の研究活動に関する調査報告","全社の正社員数､非正社員数 業種別"
"0003287835","民間企業の研究活動に関する調査報告","年度次","201604-201703","2019-03-20","0","該当なし","108","2019-03-29","","00400501","民間企業の研究活動に関する調査","00400","文部科学省","Q1-2","全社の正社員数､非正社員数 資本金階級別","11","情報通信・科学技術","02","科学技術","民間企業の研究活動に関する調査報告","全社の正社員数､非正社員数 資本金階級別"
"0003302024","民間企業の研究活動に関する調査報告","年度次","201404-201503","2019-03-20","0","該当なし","264","2019-03-29","","00400501","民間企業の研究活動に関する調査","00400","文部科学省","Q1-3","持株会社の状況 業種別","11","情報通信・科学技術","02","科学技術","民間企業の研究活動に関する調査報告","持株会社の状況 業種別"
"0003302025","民間企業の研究活動に関する調査報告","年度次","201404-201503","2019-03-20","0","該当なし","18","2019-03-29","","00400501","民間企業の研究活動に関する調査","00400","文部科学省","Q1-3","持株会社の状況 資本金階級別","11","情報通信・科学技術","02","科学技術","民間企業の研究活動に関する調査報告","持株会社の状況 資本金階級別"
"0003302026","民間企業の研究活動に関する調査報告","年度次","201604-201703","2019-03-20","0","該当なし","1320","2019-03-29","","00400501","民間企業の研究活動に関する調査","00400","文部科学省","Q1-3","研究開発活動の実施状況 業種別","11","情報通信・科学技術","02","科学技術","民間企業の研究活動に関する調査報告","研究開発活動の実施状況 業種別"
"0003302027","民間企業の研究活動に関する調査報告","年度次","201604-201703","2019-03-20","0","該当なし","90","2019-03-29","","00400501","民間企業の研究活動に関する調査","00400","文部科学省","Q1-3","研究開発活動の実施状況 資本金階級別","11","情報通信・科学技術","02","科学技術","民間企業の研究活動に関する調査報告","研究開発活動の実施状況 資本金階級別"
