"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE"
"0003280296","学術情報基盤実態調査 大学図書館編","-","201704-201803","2019-06-28","0","該当なし","3960","2020-12-04","","00400601","学術情報基盤実態調査","00400","文部科学省","1","個別事項 図書館・室の職員　職務内容別内訳（調査年度5月1日時点）","11","情報通信・科学技術","02","科学技術","学術情報基盤実態調査","大学図書館編","個別事項","図書館・室の職員　職務内容別内訳（調査年度5月1日時点）","",""
"0003280363","学術情報基盤実態調査 大学図書館編","-","201704-201803","2019-06-28","0","該当なし","1080","2020-12-04","","00400601","学術情報基盤実態調査","00400","文部科学省","1","個別事項 図書館・室の職員　資格別内訳（調査年度5月1日時点）","11","情報通信・科学技術","02","科学技術","学術情報基盤実態調査","大学図書館編","個別事項","図書館・室の職員　資格別内訳（調査年度5月1日時点）","",""
"0003280379","学術情報基盤実態調査 大学図書館編","-","201704-201803","2019-06-28","0","該当なし","1216","2020-12-04","","00400601","学術情報基盤実態調査","00400","文部科学省","10","個別事項 電子図書館的機能　電子的サービス（調査前年度実績）","11","情報通信・科学技術","02","科学技術","学術情報基盤実態調査","大学図書館編","個別事項","電子図書館的機能　電子的サービス（調査前年度実績）","※　調査年4月以降サービスを開始している大学においては、調査年4月現在の状況を回答しています。",""
"0003280664","学術情報基盤実態調査 大学図書館編","-","201704-201803","2019-06-28","0","該当なし","1248","2020-12-04","","00400601","学術情報基盤実態調査","00400","文部科学省","10","個別事項 電子図書館的機能　資料のデジタル化（調査前年度実績）","11","情報通信・科学技術","02","科学技術","学術情報基盤実態調査","大学図書館編","個別事項","電子図書館的機能　資料のデジタル化（調査前年度実績）","※　調査年4月以降サービスを開始している大学においては、調査年4月現在の状況を回答しています。",""
"0003280380","学術情報基盤実態調査 大学図書館編","-","201704-201803","2019-06-28","0","該当なし","949","2020-12-04","","00400601","学術情報基盤実態調査","00400","文部科学省","11","個別事項 機関リポジトリ　構築状況（調査前年度末時点）","11","情報通信・科学技術","02","科学技術","学術情報基盤実態調査","大学図書館編","個別事項","機関リポジトリ　構築状況（調査前年度末時点）","※　大学としての取組の構成比は、機関リポジトリ構築（公開）大学数を基に算定しています。",""
"0003280665","学術情報基盤実態調査 大学図書館編","-","201704-201803","2019-06-28","0","該当なし","480","2020-12-04","","00400601","学術情報基盤実態調査","00400","文部科学省","11","個別事項 機関リポジトリ　コンテンツ登録の義務化（調査前年度末時点）","11","情報通信・科学技術","02","科学技術","学術情報基盤実態調査","大学図書館編","個別事項","機関リポジトリ　コンテンツ登録の義務化（調査前年度末時点）","※　大学としての取組の構成比は、機関リポジトリ構築（公開）大学数を基に算定しています。",""
"0003280666","学術情報基盤実態調査 大学図書館編","-","201704-201803","2019-06-28","0","該当なし","4800","2020-12-04","","00400601","学術情報基盤実態調査","00400","文部科学省","11","個別事項 機関リポジトリ　登録義務化の対象コンテンツ、コンテンツ数（調査前年度末時点）","11","情報通信・科学技術","02","科学技術","学術情報基盤実態調査","大学図書館編","個別事項","機関リポジトリ　登録義務化の対象コンテンツ、コンテンツ数（調査前年度末時点）","※　登録義務化の対象コンテンツの構成比は、機関リポジトリにコンテンツの登録を義務化していると回答した大学数を基に算定しています。",""
"0003280667","学術情報基盤実態調査 大学図書館編","-","201704-201803","2019-06-28","0","該当なし","1912","2020-12-04","","00400601","学術情報基盤実態調査","00400","文部科学省","11","個別事項 機関リポジトリ　コンテンツ重点収集方針、利用状況、コンテンツ収集における工夫（調査前年度末時点）","11","情報通信・科学技術","02","科学技術","学術情報基盤実態調査","大学図書館編","個別事項","機関リポジトリ　コンテンツ重点収集方針、利用状況、コンテンツ収集における工夫（調査前年度末時点）","※　コンテンツ重点収集方針の構成比は、重点収集方針があると回答した大学数を基に算定しています。※　コンテンツ収集における工夫の構成比は、機関リポジトリ構築（公開）大学数を基に算定しています。※　アクセス数、ダウンロード数は集計年度実績です。",""
"0003280381","学術情報基盤実態調査 大学図書館編","-","201704-201803","2019-06-28","0","該当なし","730","2020-12-04","","00400601","学術情報基盤実態調査","00400","文部科学省","12","個別事項 アクティブ・ラーニング・スペース　設置状況（調査年度5月1日時点）","11","情報通信・科学技術","02","科学技術","学術情報基盤実態調査","大学図書館編","個別事項","アクティブ・ラーニング・スペース　設置状況（調査年度5月1日時点）","※　調査年度が平成29年度のデータについて、設置大学数の構成比は、調査対象の国立大学86、公立大学89、私立大学608、合計783大学で算定しています。※　調査年度が平成28年度のデータについて、設置大学数の構成比は、調査対象の国立大学86、公立大学88、私立大学601、合計775大学で算定しています。※　調査年度が平成27年度のデータについて、設置大学数の構成比は、調査対象の国立大学86、公立大学86、私立大学607、合計779大学で算定しています。※　1館平均、総平均は、アクティブ・ラーニング・スペース設置館における平均値です。",""
"0003280703","学術情報基盤実態調査 大学図書館編","-","201704-201803","2019-06-28","0","該当なし","1120","2020-12-04","","00400601","学術情報基盤実態調査","00400","文部科学省","12","個別事項 アクティブ・ラーニング・スペース　用途、提供するサービス（調査年度5月1日時点）","11","情報通信・科学技術","02","科学技術","学術情報基盤実態調査","大学図書館編","個別事項","アクティブ・ラーニング・スペース　用途、提供するサービス（調査年度5月1日時点）","※　調査年度が平成29年度のデータについて、設置大学数の構成比は、調査対象の国立大学86、公立大学89、私立大学608、合計783大学で算定しています。※　調査年度が平成28年度のデータについて、設置大学数の構成比は、調査対象の国立大学86、公立大学88、私立大学601、合計775大学で算定しています。※　調査年度が平成27年度のデータについて、設置大学数の構成比は、調査対象の国立大学86、公立大学86、私立大学607、合計779大学で算定しています。※　用途、提供するサービスの構成比は、アクティブ・ラーニング・スペース設置館数を基に算定しています。",""
