"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003348333","学校給食実施状況等調査 平成２７年度 学校給食実施状況調査","年度次","201504-201603","2019-11-13","0","該当なし","48","2019-11-13","","00400802","学校給食実施状況等調査","00400","文部科学省","10","栄養教諭・学校栄養職員配置状況の推移","12","教育・文化・スポーツ・生活","01","学校教育","学校給食実施状況等調査","平成２７年度","学校給食実施状況調査","栄養教諭・学校栄養職員配置状況の推移","※中学校には中等教育学校前期課程を含む。"
"0003348338","学校給食実施状況等調査 平成２７年度 学校給食実施状況調査","年度次","201504-201603","2019-11-13","0","該当なし","45","2019-11-13","","00400802","学校給食実施状況等調査","00400","文部科学省","13","学校給食調理員配置状況（公立）の推移（平成２５年～平成２７年）","12","教育・文化・スポーツ・生活","01","学校教育","学校給食実施状況等調査","平成２７年度","学校給食実施状況調査","学校給食調理員配置状況（公立）の推移（平成２５年～平成２７年）","※中学校には中等教育学校前期課程を含む。"
"0003348327","学校給食実施状況等調査 平成２７年度 学校給食実施状況調査","年度次","201504-201603","2019-11-13","0","該当なし","60","2019-11-13","","00400802","学校給食実施状況等調査","00400","文部科学省","7","小・中学校学校給食実施状況の推移（平成２５年～平成２７年）","12","教育・文化・スポーツ・生活","01","学校教育","学校給食実施状況等調査","平成２７年度","学校給食実施状況調査","小・中学校学校給食実施状況の推移（平成２５年～平成２７年）","※中学校には中等教育学校前期課程を含む。"
"0003348329","学校給食実施状況等調査 平成２７年度 学校給食実施状況調査","年度次","201504-201603","2019-11-13","0","該当なし","64","2019-11-13","","00400802","学校給食実施状況等調査","00400","文部科学省","8","栄養教諭・学校栄養職員配置状況","12","教育・文化・スポーツ・生活","01","学校教育","学校給食実施状況等調査","平成２７年度","学校給食実施状況調査","栄養教諭・学校栄養職員配置状況","※中学校には中等教育学校前期課程を含む。"
"0003348331","学校給食実施状況等調査 平成２７年度 学校給食実施状況調査","年度次","201504-201603","2019-11-13","0","全国","864","2019-11-13","","00400802","学校給食実施状況等調査","00400","文部科学省","9","都道府県別栄養教諭・学校栄養職員配置状況","12","教育・文化・スポーツ・生活","01","学校教育","学校給食実施状況等調査","平成２７年度","学校給食実施状況調査","都道府県別栄養教諭・学校栄養職員配置状況",""
"0003348331","学校給食実施状況等調査 平成２７年度 学校給食実施状況調査","年度次","201504-201603","2019-11-13","0","都道府県","864","2019-11-13","","00400802","学校給食実施状況等調査","00400","文部科学省","9","都道府県別栄養教諭・学校栄養職員配置状況","12","教育・文化・スポーツ・生活","01","学校教育","学校給食実施状況等調査","平成２７年度","学校給食実施状況調査","都道府県別栄養教諭・学校栄養職員配置状況",""
"0003348320","学校給食実施状況等調査 平成３０年度 学校給食実施状況調査","年度次","201804-201903","2019-11-13","0","該当なし","200","2019-11-13","","00400802","学校給食実施状況等調査","00400","文部科学省","1","学校給食実施状況","12","教育・文化・スポーツ・生活","01","学校教育","学校給食実施状況等調査","平成３０年度","学校給食実施状況調査","学校給食実施状況","※2015年度の中学校は中等教育学校前期課程を含む。"
"0003348332","学校給食実施状況等調査 平成３０年度 学校給食実施状況調査","年度次","201804-201903","2019-11-13","0","該当なし","154","2019-11-13","","00400802","学校給食実施状況等調査","00400","文部科学省","10","学校給食調理員配置状況（公立）","12","教育・文化・スポーツ・生活","01","学校教育","学校給食実施状況等調査","平成３０年度","学校給食実施状況調査","学校給食調理員配置状況（公立）","※2015年度の中学校は中等教育学校前期課程を含む。"
"0003348334","学校給食実施状況等調査 平成３０年度 学校給食実施状況調査","年度次","201804-201903","2019-11-13","0","全国","1104","2019-11-13","","00400802","学校給食実施状況等調査","00400","文部科学省","11","都道府県別学校給食調理員配置状況（公立・常勤）","12","教育・文化・スポーツ・生活","01","学校教育","学校給食実施状況等調査","平成３０年度","学校給食実施状況調査","都道府県別学校給食調理員配置状況（公立・常勤）",""
"0003348334","学校給食実施状況等調査 平成３０年度 学校給食実施状況調査","年度次","201804-201903","2019-11-13","0","都道府県","1104","2019-11-13","","00400802","学校給食実施状況等調査","00400","文部科学省","11","都道府県別学校給食調理員配置状況（公立・常勤）","12","教育・文化・スポーツ・生活","01","学校教育","学校給食実施状況等調査","平成３０年度","学校給食実施状況調査","都道府県別学校給食調理員配置状況（公立・常勤）",""
