"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","TITLE_SPEC.TABLE_NAME"
"0004019960","病院報告 令和３年病院報告 全国編 総覧","年次","202101-202112","2024-09-05","0","全国","108","2026-02-20","","00450023","病院報告","00450","厚生労働省","J1-1","総括表（病院の種類）","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","総覧","総括表（病院の種類）"
"0004019973","病院報告 令和３年病院報告 全国編 総覧","年次","202101-202112","2024-09-05","0","全国","84","2026-02-20","","00450023","病院報告","00450","厚生労働省","J1-2","総括表（病床の種類）","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","総覧","総括表（病床の種類）"
"0004019986","病院報告 令和３年病院報告 全国編 年次推移","年次","202101-202112","2024-09-05","0","全国","504","2026-02-20","","00450023","病院報告","00450","厚生労働省","J2","在院患者延数・新入院患者数・退院患者数，病床－病院の種類・年次別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","年次推移","在院患者延数・新入院患者数・退院患者数，病床－病院の種類・年次別"
"0004019999","病院報告 令和３年病院報告 全国編 年次推移","年次","202101-202112","2024-09-05","0","全国","56","2026-02-20","","00450023","病院報告","00450","厚生労働省","J5","外来患者延数，病院の種類・年次別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","年次推移","外来患者延数，病院の種類・年次別"
"0004020000","病院報告 令和３年病院報告 全国編 年次推移","年次","202101-202112","2024-09-05","0","全国","98","2026-02-20","","00450023","病院報告","00450","厚生労働省","J6-1","１日平均在院患者数，病床の種類・年次別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","年次推移","１日平均在院患者数，病床の種類・年次別"
"0004020001","病院報告 令和３年病院報告 全国編 年次推移","年次","202101-202112","2024-09-05","0","全国","28","2026-02-20","","00450023","病院報告","00450","厚生労働省","J6-2","１日平均外来患者数，年次別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","年次推移","１日平均外来患者数，年次別"
"0004020002","病院報告 令和３年病院報告 全国編 年次推移","年次","202101-202112","2024-09-05","0","全国","350","2026-02-20","","00450023","病院報告","00450","厚生労働省","J7","病床利用率，平均在院日数，病床－病院の種類・年次別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","年次推移","病床利用率，平均在院日数，病床－病院の種類・年次別"
"0004019963","病院報告 令和３年病院報告 全国編 月別推移","年次","202101-202112","2024-09-05","0","全国","39","2026-02-20","","00450023","病院報告","00450","厚生労働省","J13","外来患者延数，月・病院の種類別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","月別推移","外来患者延数，月・病院の種類別"
"0004019964","病院報告 令和３年病院報告 全国編 月別推移","年次","202101-202112","2024-09-05","0","全国","78","2026-02-20","","00450023","病院報告","00450","厚生労働省","J14","地域医療支援病院，月・患者数・月末病床利用率・平均在院日数別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","月別推移","地域医療支援病院，月・患者数・月末病床利用率・平均在院日数別"
"0004019961","病院報告 令和３年病院報告 全国編 月別推移","年次","202101-202112","2024-09-05","0","全国","858","2026-02-20","","00450023","病院報告","00450","厚生労働省","J9-1","在院患者延数・月末在院患者数・新入院患者数・退院患者数・月末病床利用率・病床数，月・病院ー病床の種類別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","月別推移","在院患者延数・月末在院患者数・新入院患者数・退院患者数・月末病床利用率・病床数，月・病院ー病床の種類別"
"0004019962","病院報告 令和３年病院報告 全国編 月別推移","年次","202101-202112","2024-09-05","0","全国","559","2026-02-20","","00450023","病院報告","00450","厚生労働省","J9-2","在院患者延数・月末在院患者数・新入院患者数・退院患者数・平均在院日数・月末病床利用率・病床数，月・病床の種類別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","月別推移","在院患者延数・月末在院患者数・新入院患者数・退院患者数・平均在院日数・月末病床利用率・病床数，月・病床の種類別"
"0004019965","病院報告 令和３年病院報告 全国編 開設者","年次","202101-202112","2024-09-05","0","全国","2232","2026-02-20","","00450023","病院報告","00450","厚生労働省","J18","在院患者延数・新入院患者数・退院患者数・病床利用率・病床数（６月末現在）・平均在院日数，病院－病床の種類・開設者（小分類）別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","開設者","在院患者延数・新入院患者数・退院患者数・病床利用率・病床数（６月末現在）・平均在院日数，病院－病床の種類・開設者（小分類）別"
"0004019966","病院報告 令和３年病院報告 全国編 開設者","年次","202101-202112","2024-09-05","0","全国","124","2026-02-20","","00450023","病院報告","00450","厚生労働省","J21","外来患者延数，病院の種類・開設者（小分類）別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","開設者","外来患者延数，病院の種類・開設者（小分類）別"
"0004019967","病院報告 令和３年病院報告 全国編 開設者","年次","202101-202112","2024-09-05","0","全国","310","2026-02-20","","00450023","病院報告","00450","厚生労働省","J22","病院数（６月末現在），病院の種類・開設者（小分類）別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","開設者","病院数（６月末現在），病院の種類・開設者（小分類）別"
"0004019968","病院報告 令和３年病院報告 全国編 開設者","年次","202101-202112","2024-09-05","0","全国","1302","2026-02-20","","00450023","病院報告","00450","厚生労働省","J26","在院患者延数・新入院患者数・退院患者数・病床利用率・病床数（６月末現在）・平均在院日数，病床の種類・開設者（小分類）別","15","社会保障・衛生","05","医療","病院報告","令和３年病院報告","全国編","開設者","在院患者延数・新入院患者数・退院患者数・病床利用率・病床数（６月末現在）・平均在院日数，病床の種類・開設者（小分類）別"
