"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2"
"0003000628","毎月勤労統計調査　特別調査","-","0","2009-02-20","0","該当なし","11808","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","01","産業、性、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額","","","","","",""
"0003000648","毎月勤労統計調査　特別調査","-","0","2009-02-20","0","該当なし","5184","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","02","産業、性、家族・家族以外、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、家族・家族以外、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額","","","","","",""
"0003000649","毎月勤労統計調査　特別調査","-","0","2009-02-20","0","該当なし","3564","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","03","産業、性、通常日１日の実労働時間階級別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、１時間当たりきまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、通常日１日の実労働時間階級別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、１時間当たりきまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額","","","","","",""
"0003000650","毎月勤労統計調査　特別調査","-","0","2009-02-20","0","該当なし","2808","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","04","産業、性、年齢階級、通勤・住込別月間きまって支給する現金給与額及び常用労働者数","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、年齢階級、通勤・住込別月間きまって支給する現金給与額及び常用労働者数","","","","","",""
"0003000667","毎月勤労統計調査　特別調査","-","0","2009-02-20","0","該当なし","2160","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","05","産業、性、勤続年数階級、通勤・住込別月間きまって支給する現金給与額及び常用労働者数","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、勤続年数階級、通勤・住込別月間きまって支給する現金給与額及び常用労働者数","","","","","",""
"0003000688","毎月勤労統計調査　特別調査","-","0","2009-02-20","0","該当なし","9360","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","06","産業、性、年齢階級、勤続年数階級別月間きまって支給する現金給与額及び常用労働者数","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、年齢階級、勤続年数階級別月間きまって支給する現金給与額及び常用労働者数","","","","","",""
"0003000708","毎月勤労統計調査　特別調査","-","0","2009-02-20","0","該当なし","2916","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","07-1","産業、性、通勤・住込、月間きまって支給する現金給与額階級別常用労働者数","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、通勤・住込、月間きまって支給する現金給与額階級別常用労働者数","","","","","",""
"0003000709","毎月勤労統計調査　特別調査","-","0","2009-02-20","0","該当なし","2916","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","07-2","産業、性、通勤・住込、月間きまって支給する現金給与額階級別常用労働者数","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、通勤・住込、月間きまって支給する現金給与額階級別常用労働者数","","","","","",""
"0003000627","毎月勤労統計調査　特別調査","-","0","2009-02-20","0","該当なし","1485","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","08-1","産業、性、通常日１日の実労働時間階級別常用労働者数","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、通常日１日の実労働時間階級別常用労働者数","","","","","",""
"0003000710","毎月勤労統計調査　特別調査","-","0","2009-02-20","0","該当なし","1485","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","08-2","産業、性、通常日１日の実労働時間階級別常用労働者数","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、通常日１日の実労働時間階級別常用労働者数","","","","","",""
"0003000711","毎月勤労統計調査　特別調査","-","0","2009-02-20","0","該当なし","38070","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","09","都道府県、産業、性別常用労働者数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額及び過去１年間特別に支払われた現金給与額","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","都道府県、産業、性別常用労働者数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額及び過去１年間特別に支払われた現金給与額","","","","","",""
"0003129817","毎月勤労統計調査　特別調査","年次","0","2016-03-31","0","該当なし","3024","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","1","産業、性、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額 （企業規模１～４人） 2002～2003年","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額 （企業規模１～４人）","2002～2003年","","","","",""
"0003129857","毎月勤労統計調査　特別調査","年次","0","2016-03-31","0","該当なし","3024","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","1","産業、性、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額 （事業所規模１～４人） 2002～2003年","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額 （事業所規模１～４人）","2002～2003年","","","","",""
"0003138096","毎月勤労統計調査　特別調査","年次","201601-201612","2018-12-20","0","該当なし","20304","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","1","産業、性、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額 （事業所規模１～４人） 2009年～","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額 （事業所規模１～４人）","2009年～","","","","",""
"0003138167","毎月勤労統計調査　特別調査","年次","0","2016-03-31","0","該当なし","9840","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","1","産業、性、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額 （事業所規模１～４人） 2004～2008年","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額 （事業所規模１～４人）","2004～2008年","","","","",""
"0003138213","毎月勤労統計調査　特別調査","年次","0","2016-03-31","0","該当なし","9840","2021-10-12","","00450071","毎月勤労統計調査","00450","厚生労働省","1","産業、性、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額 （企業規模１～４人） 2004～2008年","03","労働・賃金","02","賃金・労働条件","毎月勤労統計調査　特別調査","産業、性、通勤・住込別年齢、勤続年数、月間出勤日数、通常日１日の実労働時間数、月間きまって支給する現金給与額、常用労働者数及び過去１年間特別に支払われた現金給与額 （企業規模１～４人）","2004～2008年","","","","",""
