"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003355967","賃金引上げ等の実態に関する調査","年次","0","2022-02-25","0","該当なし","12804","2022-02-25","","00450098","賃金引上げ等の実態に関する調査","00450","厚生労働省","1","産業、企業規模、１人平均賃金の改定額及び改定額階級別労働者割合－加重平均","03","労働・賃金","02","賃金・労働条件","賃金引上げ等の実態に関する調査","産業、企業規模、１人平均賃金の改定額及び改定額階級別労働者割合－加重平均","１）１人平均賃金の改定額は、賃金の改定を実施し又は予定していて額も決定している企業及び賃金の改定を実施しない企業の常用労働者数による１人平均所定内賃金の加重平均である。２）「０円」は、１人平均賃金の改定額が０円又は、賃金の改定を実施しない企業の常用労働者数割合である。"
"0003356190","賃金引上げ等の実態に関する調査","年次","0","2022-02-25","0","該当なし","2376","2022-02-25","","00450098","賃金引上げ等の実態に関する調査","00450","厚生労働省","10","産業、ベースアップ等の実施状況別企業割合（定期昇給制度がある企業）","03","労働・賃金","02","賃金・労働条件","賃金引上げ等の実態に関する調査","産業、ベースアップ等の実施状況別企業割合（定期昇給制度がある企業）","１）賃金の改定を実施し又は予定している企業及び賃金の改定を実施しない企業のうち、ベア等と定昇を区別している企業についての数値である。２）集計対象企業割合は、賃金の改定を実施し又は予定している企業及び賃金の改定を実施しない企業に占める定昇制度がある企業の割合である。"
"0003356191","賃金引上げ等の実態に関する調査","年次","0","2022-02-25","0","該当なし","432","2022-02-25","","00450098","賃金引上げ等の実態に関する調査","00450","厚生労働省","10","企業規模、ベースアップ等の実施状況別企業割合（定期昇給制度がある企業）","03","労働・賃金","02","賃金・労働条件","賃金引上げ等の実態に関する調査","企業規模、ベースアップ等の実施状況別企業割合（定期昇給制度がある企業）","１）賃金の改定を実施し又は予定している企業及び賃金の改定を実施しない企業のうち、ベア等と定昇を区別している企業についての数値である。２）集計対象企業割合は、賃金の改定を実施し又は予定している企業及び賃金の改定を実施しない企業に占める定昇制度がある企業の割合である。"
"0003356192","賃金引上げ等の実態に関する調査","年次","0","2022-02-25","0","該当なし","2178","2022-02-25","","00450098","賃金引上げ等の実態に関する調査","00450","厚生労働省","11","産業、賃金の改定の適用時期別企業割合","03","労働・賃金","02","賃金・労働条件","賃金引上げ等の実態に関する調査","産業、賃金の改定の適用時期別企業割合","１）賃金の改定を実施し又は予定していて額も決定している企業についての数値である。２）適用時期は、改定後の賃金の改定額が給与計算に適用された時期による。"
"0003356193","賃金引上げ等の実態に関する調査","年次","0","2022-02-25","0","該当なし","396","2022-02-25","","00450098","賃金引上げ等の実態に関する調査","00450","厚生労働省","11","企業規模、賃金の改定の適用時期別企業割合","03","労働・賃金","02","賃金・労働条件","賃金引上げ等の実態に関する調査","企業規模、賃金の改定の適用時期別企業割合","１）賃金の改定を実施し又は予定していて額も決定している企業についての数値である。２）適用時期は、改定後の賃金の改定額が給与計算に適用された時期による。"
"0003356194","賃金引上げ等の実態に関する調査","年次","0","2022-02-25","0","該当なし","3366","2022-02-25","","00450098","賃金引上げ等の実態に関する調査","00450","厚生労働省","12","産業、賃金の改定の決定時期別企業割合","03","労働・賃金","02","賃金・労働条件","賃金引上げ等の実態に関する調査","産業、賃金の改定の決定時期別企業割合","１）賃金の改定を実施し又は予定していて額も決定している企業についての数値である。２）決定時期は、賃金の改定の妥結、決定した時期による。３）計の中には、複数年協定等を結んでいること等により、賃金の改定について話し合いを行わなかった企業等も含まれる。"
"0003356195","賃金引上げ等の実態に関する調査","年次","0","2022-02-25","0","該当なし","612","2022-02-25","","00450098","賃金引上げ等の実態に関する調査","00450","厚生労働省","12","企業規模、賃金の改定の決定時期別企業割合","03","労働・賃金","02","賃金・労働条件","賃金引上げ等の実態に関する調査","企業規模、賃金の改定の決定時期別企業割合","１）賃金の改定を実施し又は予定していて額も決定している企業についての数値である。２）決定時期は、賃金の改定の妥結、決定した時期による。３）計の中には、複数年協定等を結んでいること等により、賃金の改定について話し合いを行わなかった企業等も含まれる。"
"0003356196","賃金引上げ等の実態に関する調査","年次","0","2022-02-25","0","該当なし","2376","2022-02-25","","00450098","賃金引上げ等の実態に関する調査","00450","厚生労働省","13","産業、改定後の賃金の初回支給時期別企業割合","03","労働・賃金","02","賃金・労働条件","賃金引上げ等の実態に関する調査","産業、改定後の賃金の初回支給時期別企業割合","１）賃金の改定を実施し又は予定していて額も決定している企業についての数値である。２）初回支給時期とは、賃金の改定を行った企業が改定後の賃金を初めて支給した時期をいい、初回支給時期が９月以降についての数値は調査時点での金額が決定している企業のみについての数値である。"
"0003356197","賃金引上げ等の実態に関する調査","年次","0","2022-02-25","0","該当なし","432","2022-02-25","","00450098","賃金引上げ等の実態に関する調査","00450","厚生労働省","13","企業規模、改定後の賃金の初回支給時期別企業割合","03","労働・賃金","02","賃金・労働条件","賃金引上げ等の実態に関する調査","企業規模、改定後の賃金の初回支給時期別企業割合","１）賃金の改定を実施し又は予定していて額も決定している企業についての数値である。２）初回支給時期とは、賃金の改定を行った企業が改定後の賃金を初めて支給した時期をいい、初回支給時期が９月以降についての数値は調査時点での金額が決定している企業のみについての数値である。"
"0003356198","賃金引上げ等の実態に関する調査","年次","0","2022-02-25","0","該当なし","3168","2022-02-25","","00450098","賃金引上げ等の実態に関する調査","00450","厚生労働省","14","産業、賃金カットを実施した企業の対象者別企業割合","03","労働・賃金","02","賃金・労働条件","賃金引上げ等の実態に関する調査","産業、賃金カットを実施した企業の対象者別企業割合","１）集計対象企業割合は、賃金の改定を実施し又は予定していて額も決定している企業に占める賃金カットを実施し又は予定している企業の割合である。２）賃金カットを実施し又は予定している企業には、１人平均賃金を引き上げた企業（予定を含む）と引き下げた企業（予定を含む）を含んでいる。"
