"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE.@no","TITLE.$","TITLE_SPEC.TABLE_CATEGORY"
"0004029342","労働災害動向調査 時系列表","労働災害率の推移（事業所規模100人以上、総合工事業）","年次","0","2025-11-25","0","全国","292","2025-11-25","","00450100","労働災害動向調査","00450","厚生労働省","03","労働・賃金","05","労働災害","労働災害動向調査","時系列表","労働災害率の推移（事業所規模100人以上、総合工事業）","・昭和29（1954）年より、調査対象産業にサービス業のうち機械修理業、屑鉄処理業を追加。・昭和33（1958）年より、調査対象産業にサービス業のうち清掃業を追加。・昭和42（1967）年以前の総合工事業は、職別・設備工事業を含む建設業全体である。また、調査産業計には、建設業を含めている。昭和43年以降との比較の際は注意を要する。・昭和43（1968）年より、調査対象産業からサービス業のうち屑鉄処理業を除外、運輸通信業のうち放送業を除外。・昭和55（1980）年より、調査対象産業にサービス業のうち洗濯業、建物サービス業を追加。・平成４（1992）年より、調査対象産業に卸売・小売業，飲食店（飲食店を除く。）とサービス業のうち旅館、ゴルフ場を追加。・平成20（2008）年より、調査対象産業に医療，福祉を追加。・平成23（2011）年より、調査対象産業に農業,林業のうち農業も追加。・平成30（2018）年より、調査対象産業に漁業を追加。","","",""
"0003385932","労働災害動向調査 （統計表）一般産業","","年次","0","2025-11-25","0","全国","105480","2025-11-25","","00450100","労働災害動向調査","00450","厚生労働省","03","労働・賃金","05","労働災害","労働災害動向調査","（統計表）一般産業","産業（大・中分類）、事業所規模別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者1人平均労働損失日数（事業所規模30人以上）","＜注＞・データベースの内容は、「0」と「0.0」や「0.00」が区別して扱われないため、EXCEL統計表の結果とは完全に一致しません。ご利用に当たっては十分にご留意いただき、EXCEL統計表の方もご確認の上、ご利用ください。","1","産業（大・中分類）別 産業（大・中分類）、事業所規模別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者1人平均労働損失日数（事業所規模30人以上）","産業（大・中分類）別"
"0003385950","労働災害動向調査 （統計表）一般産業","","年次","0","2025-11-25","0","全国","15300","2025-11-25","","00450100","労働災害動向調査","00450","厚生労働省","03","労働・賃金","05","労働災害","労働災害動向調査","（統計表）一般産業","産業（計・製造業・その他）、事業所規模別、事業所平均月間実労働時間階級、度数率階級別事業所数の割合（事業所規模30人以上）","＜注＞・データベースの内容は、「0」と「0.0」や「0.00」が区別して扱われないため、EXCEL統計表の結果とは完全に一致しません。ご利用に当たっては十分にご留意いただき、EXCEL統計表の方もご確認の上、ご利用ください。","10","事業所平均月間実労働時間階級別 産業（計・製造業・その他）、事業所規模別、事業所平均月間実労働時間階級、度数率階級別事業所数の割合（事業所規模30人以上）","事業所平均月間実労働時間階級別"
"0003385951","労働災害動向調査 （統計表）一般産業","","年次","0","2025-11-25","0","全国","1530","2025-11-25","","00450100","労働災害動向調査","00450","厚生労働省","03","労働・賃金","05","労働災害","労働災害動向調査","（統計表）一般産業","産業（製造業特定産業）、度数率階級別事業所数の割合（事業所規模10～29人）","＜注＞・データベースの内容は、「0」と「0.0」や「0.00」が区別して扱われないため、EXCEL統計表の結果とは完全に一致しません。ご利用に当たっては十分にご留意いただき、EXCEL統計表の方もご確認の上、ご利用ください。","11","産業（製造業特定産業）別 産業（製造業特定産業）、度数率階級別事業所数の割合（事業所規模10～29人）","産業（製造業特定産業）別"
"0003385942","労働災害動向調査 （統計表）一般産業","","年次","0","2025-11-25","0","全国","69720","2025-11-25","","00450100","労働災害動向調査","00450","厚生労働省","03","労働・賃金","05","労働災害","労働災害動向調査","（統計表）一般産業","産業（大・中分類）、企業規模別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者1人平均労働損失日数（事業所規模30人以上）","＜注＞・データベースの内容は、「0」と「0.0」や「0.00」が区別して扱われないため、EXCEL統計表の結果とは完全に一致しません。ご利用に当たっては十分にご留意いただき、EXCEL統計表の方もご確認の上、ご利用ください。","2","産業（大・中分類）別 産業（大・中分類）、企業規模別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者1人平均労働損失日数（事業所規模30人以上）","産業（大・中分類）別"
"0003385936","労働災害動向調査 （統計表）一般産業","","年次","0","2025-11-25","0","全国","1800","2025-11-25","","00450100","労働災害動向調査","00450","厚生労働省","03","労働・賃金","05","労働災害","労働災害動向調査","（統計表）一般産業","産業（製造業特定産業）別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数（事業所規模10～29人）","＜注＞・データベースの内容は、「0」と「0.0」や「0.00」が区別して扱われないため、EXCEL統計表の結果とは完全に一致しません。ご利用に当たっては十分にご留意いただき、EXCEL統計表の方もご確認の上、ご利用ください。","3","産業（製造業特定産業）別 産業（製造業特定産業）別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数（事業所規模10～29人）","産業（製造業特定産業）別"
"0003385937","労働災害動向調査 （統計表）一般産業","","年次","0","2025-11-25","0","全国","29631","2025-11-25","","00450100","労働災害動向調査","00450","厚生労働省","03","労働・賃金","05","労働災害","労働災害動向調査","（統計表）一般産業","産業（大・中分類）、事業所規模、度数率階級別事業所数の割合（事業所規模30人以上）","＜注＞・データベースの内容は、「0」と「0.0」や「0.00」が区別して扱われないため、EXCEL統計表の結果とは完全に一致しません。ご利用に当たっては十分にご留意いただき、EXCEL統計表の方もご確認の上、ご利用ください。","4","産業（大・中分類）別 産業（大・中分類）、事業所規模、度数率階級別事業所数の割合（事業所規模30人以上）","産業（大・中分類）別"
"0003385943","労働災害動向調査 （統計表）一般産業","","年次","0","2025-11-25","0","全国","68520","2025-11-25","","00450100","労働災害動向調査","00450","厚生労働省","03","労働・賃金","05","労働災害","労働災害動向調査","（統計表）一般産業","特掲産業（小分類）、事業場規模別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数（事業所規模30人以上）","＜注＞・データベースの内容は、「0」と「0.0」や「0.00」が区別して扱われないため、EXCEL統計表の結果とは完全に一致しません。ご利用に当たっては十分にご留意いただき、EXCEL統計表の方もご確認の上、ご利用ください。","7","特掲産業（小分類）別 特掲産業（小分類）、事業場規模別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数（事業所規模30人以上）","特掲産業（小分類）別"
"0003385946","労働災害動向調査 （統計表）一般産業","","年次","0","2025-11-25","0","全国","131520","2025-11-25","","00450100","労働災害動向調査","00450","厚生労働省","03","労働・賃金","05","労働災害","労働災害動向調査","（統計表）一般産業","産業（大分類）、都道府県別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数（事業所規模100人以上）","＜注＞・本表で直接都道府県間の比較をすることは、産業構成の相違等もある事から注意を要します。・データベースの内容は、「0」と「0.0」や「0.00」が区別して扱われないため、EXCEL統計表の結果とは完全に一致しません。ご利用に当たっては十分にご留意いただき、EXCEL統計表の方もご確認の上、ご利用ください。","8","都道府県別 産業（大分類）、都道府県別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数（事業所規模100人以上）","都道府県別"
"0003385946","労働災害動向調査 （統計表）一般産業","","年次","0","2025-11-25","0","都道府県","131520","2025-11-25","","00450100","労働災害動向調査","00450","厚生労働省","03","労働・賃金","05","労働災害","労働災害動向調査","（統計表）一般産業","産業（大分類）、都道府県別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数（事業所規模100人以上）","＜注＞・本表で直接都道府県間の比較をすることは、産業構成の相違等もある事から注意を要します。・データベースの内容は、「0」と「0.0」や「0.00」が区別して扱われないため、EXCEL統計表の結果とは完全に一致しません。ご利用に当たっては十分にご留意いただき、EXCEL統計表の方もご確認の上、ご利用ください。","8","都道府県別 産業（大分類）、都道府県別全度数率、不休災害度数率、労働不能程度別労働災害率及び死傷者１人平均労働損失日数（事業所規模100人以上）","都道府県別"
