"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003245028","月報　薬事工業生産動態統計調査 概要","月次","201712","2019-02-20","0","該当なし","28080","2019-02-21","","00450151","薬事工業生産動態統計調査","00450","厚生労働省","1","第1表　医薬品薬効分類別生産・輸入金額","05","鉱工業","02","製造業","月報　薬事工業生産動態統計調査","概要","第1表　医薬品薬効分類別生産・輸入金額","","",""
"0003245029","月報　薬事工業生産動態統計調査 概要","月次","201712","2019-02-20","0","該当なし","5040","2019-02-21","","00450151","薬事工業生産動態統計調査","00450","厚生労働省","2","第2表　衛生材料生産・輸入金額","05","鉱工業","02","製造業","月報　薬事工業生産動態統計調査","概要","第2表　衛生材料生産・輸入金額","","",""
"0003245030","月報　薬事工業生産動態統計調査 概要","月次","201712","2019-02-20","0","該当なし","10800","2019-02-21","","00450151","薬事工業生産動態統計調査","00450","厚生労働省","3","第3表　医療機器分類別生産・輸入金額","05","鉱工業","02","製造業","月報　薬事工業生産動態統計調査","概要","第3表　医療機器分類別生産・輸入金額","","",""
"0003245031","月報　薬事工業生産動態統計調査 概要","月次","201712","2019-02-20","0","該当なし","28800","2019-02-21","","00450151","薬事工業生産動態統計調査","00450","厚生労働省","4","第4表　医薬部外品薬効分類別生産・輸入金額","05","鉱工業","02","製造業","月報　薬事工業生産動態統計調査","概要","第4表　医薬部外品薬効分類別生産・輸入金額","","",""
"0003245523","月報　薬事工業生産動態統計調査 統計表","月次","201712","2019-02-20","0","全国","19008","2019-02-20","","00450151","薬事工業生産動態統計調査","00450","厚生労働省","1","都道府県別医薬品生産・輸入金額","05","鉱工業","02","製造業","月報　薬事工業生産動態統計調査","統計表","都道府県別医薬品生産・輸入金額","","",""
"0003245523","月報　薬事工業生産動態統計調査 統計表","月次","201712","2019-02-20","0","都道府県","19008","2019-02-20","","00450151","薬事工業生産動態統計調査","00450","厚生労働省","1","都道府県別医薬品生産・輸入金額","05","鉱工業","02","製造業","月報　薬事工業生産動態統計調査","統計表","都道府県別医薬品生産・輸入金額","","",""
"0003245532","月報　薬事工業生産動態統計調査 統計表","月次","201712","2019-02-20","0","該当なし","2016","2019-02-20","","00450151","薬事工業生産動態統計調査","00450","厚生労働省","10","衛生材料生産・輸入・出荷・月末在庫金額数量　数量","05","鉱工業","02","製造業","月報　薬事工業生産動態統計調査","統計表","衛生材料生産・輸入・出荷・月末在庫金額数量　数量","","",""
"0003245533","月報　薬事工業生産動態統計調査 統計表","月次","201712","2019-02-20","0","該当なし","288","2019-02-20","","00450151","薬事工業生産動態統計調査","00450","厚生労働省","11","衛生材料地域別製造所数","05","鉱工業","02","製造業","月報　薬事工業生産動態統計調査","統計表","衛生材料地域別製造所数","","",""
"0003245534","月報　薬事工業生産動態統計調査 統計表","月次","201712","2019-02-20","0","該当なし","2592","2019-02-20","","00450151","薬事工業生産動態統計調査","00450","厚生労働省","12","衛生材料地域別生産・輸入・出荷・月末在庫金額","05","鉱工業","02","製造業","月報　薬事工業生産動態統計調査","統計表","衛生材料地域別生産・輸入・出荷・月末在庫金額","","",""
"0003245535","月報　薬事工業生産動態統計調査 統計表","月次","201712","2019-02-20","0","全国","1728","2019-02-20","","00450151","薬事工業生産動態統計調査","00450","厚生労働省","13","医療機器都道府県別製造所数","05","鉱工業","02","製造業","月報　薬事工業生産動態統計調査","統計表","医療機器都道府県別製造所数","","",""
"0003245535","月報　薬事工業生産動態統計調査 統計表","月次","201712","2019-02-20","0","都道府県","1728","2019-02-20","","00450151","薬事工業生産動態統計調査","00450","厚生労働省","13","医療機器都道府県別製造所数","05","鉱工業","02","製造業","月報　薬事工業生産動態統計調査","統計表","医療機器都道府県別製造所数","","",""
