"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0004025340","第２３回医療経済実態調査（医療機関等調査） 報告","医業・介護収益に占める介護収益の割合が２％未満の医療機関等の集計【損益状況】（１施設当たり損益）","-","202101-202112","2025-05-09","0","全国","0","2025-05-09","","00450381","医療経済実態調査（医療機関等調査）","00450","厚生労働省","15","社会保障・衛生","02","社会保険","第２３回医療経済実態調査（医療機関等調査）","報告","医業・介護収益に占める介護収益の割合が２％未満の医療機関等の集計【損益状況】（１施設当たり損益）","（注）１．構成比率は「医業収益」または「収益」と「介護収益」を合算した金額に対する各収益科目、又は費用科目の割合である。<BR>　　　　　ここでの「医業収益」または「収益」は以下の項目を示す。<BR>　　　　　　病院　　　：医業収益<BR>　　　　　　一般診療所：（参考）「新型コロナウイルス感染症関連の補助金（従業員向け慰労金を除く）」を除いた医業収益<BR>　　　　　　歯科診療所：（参考）「新型コロナウイルス感染症関連の補助金（従業員向け慰労金を除く）」を除いた医業収益<BR>　　　　　　保険薬局　：（参考）「新型コロナウイルス感染症関連の補助金（従業員向け慰労金を除く）」を除いた収益<BR>　　　２．個人立の病院の総損益差額からは、開設者の報酬となる部分以外に、建物、設備について現存物の価値以上の改善を行うための内部資金に充てられることが考えられる。<BR>　　　３．個人立の病院は税金について調査していないので、個人立の病院が含まれる集計区分では税金の集計はしていない。<BR>　　　４．「国立」とは、国、独立行政法人国立病院機構、国立大学法人、独立行政法人労働者健康安全機構、国立高度専門医療研究センター、独立行政法人地域医療機能推進機構である。<BR>　　　５．「公立」とは、都道府県立、市町村立、地方独立行政法人立病院である。<BR>　　　６．「公的」とは、日赤、済生会、北海道社会事業協会、厚生連、国民健康保険団体連合会である。<BR>　　　７．「社会保険関係法人」とは、健康保険組合及びその連合会、共済組合及びその連合会、国民健康保険組合である。<BR>　　　８．「その他」とは、公益法人、学校法人、社会福祉法人、医療生協、会社、社会医療法人、その他の法人などである。<BR>　　　９．「全体」とは、個人、医療法人のほか、市町村立などを含めて単純集計したもの。<BR>　　　　　個人立の病院の「損益差額」とそれ以外の病院の「損益差額」では性質に異なる部分もあるものの、便宜上、これらを足し合わせて機械的に算出したものであることに留意。<BR>　　１０．「国公立」とは、国、独立行政法人国立病院機構、国立大学法人、独立行政法人労働者健康安全機構、国立高度専門医療研究センター、独立行政法人地域医療機能推進機構と、都道府県立、市町村立、地方独立行政法人立病院の「公立」の総称である。<BR>"
"0004025341","第２３回医療経済実態調査（医療機関等調査） 報告","入院基本料別の損益状況（施設数等）","-","202101-202112","2025-05-09","0","全国","0","2025-05-09","","00450381","医療経済実態調査（医療機関等調査）","00450","厚生労働省","15","社会保障・衛生","02","社会保険","第２３回医療経済実態調査（医療機関等調査）","報告","入院基本料別の損益状況（施設数等）",""
"0004025342","第２３回医療経済実態調査（医療機関等調査） 報告","在宅療養支援歯科診療所の損益状況（施設数等）","-","202101-202112","2025-05-09","0","全国","0","2025-05-09","","00450381","医療経済実態調査（医療機関等調査）","00450","厚生労働省","15","社会保障・衛生","02","社会保険","第２３回医療経済実態調査（医療機関等調査）","報告","在宅療養支援歯科診療所の損益状況（施設数等）",""
"0004025343","第２３回医療経済実態調査（医療機関等調査） 報告","保険薬局　後発医薬品割合別の損益状況（１施設当たり損益）","-","202101-202112","2025-05-09","0","全国","0","2025-05-09","","00450381","医療経済実態調査（医療機関等調査）","00450","厚生労働省","15","社会保障・衛生","02","社会保険","第２３回医療経済実態調査（医療機関等調査）","報告","保険薬局　後発医薬品割合別の損益状況（１施設当たり損益）","（注）１．構成比率は「収益」と「介護収益」を合算した金額に対する各収益科目、又は費用科目の割合である。<BR>　　　２．「後発医薬品調剤割合」とは、当年5月31日現在に調剤した後発医薬品のある先発医薬品及び後発医薬品の数量（薬価基準の規格単位ベース）のうち後発医薬品の割合である。<BR>　　　３．「後発医薬品備蓄割合」とは、全調剤用備蓄医薬品品目数に占める後発医薬品品目数の割合である。<BR>　　　４．「全体」とは、個人と法人を単純集計したもの。<BR>　　　　個人立の保険薬局の「損益差額」と法人立の保険薬局の「損益差額」では性質に異なる部分もあるものの、便宜上、これらを足し合わせて機械的に算出したものであることに留意。<BR>　　　５．当年6月における「賞与費」については、年間支給額が決定している施設のみの平均値であり、当年6月における「費用」、「給与費」及び「損益差額」の金額については、当該平均値と上記各数値の合算により算出している。<BR>　　　　　なお、前々年6月及び前年6月における「費用」、 「給与費」及び「損益差額」の金額については、各施設ごとの平均値を示したものである。<BR>　　　６．各年6月の日祭日、土曜日、木曜日の日数は以下のとおり。<BR>　　　　　前々年6月　日祭日5日、土曜日5日、木曜日4日<BR>　　　　　前年6月　日祭日4日、土曜日4日、木曜日4日<BR>　　　　　当年6月　日祭日4日、土曜日4日、木曜日4日<BR>　　　７．月次の集計については、年度調査に比べて、対象月における季節や個別の要因等の影響を受けやすいことに留意。<BR>"
"0004025344","第２３回医療経済実態調査（医療機関等調査） 報告","保険薬局　後発医薬品割合別の損益状況（施設数等）","-","202101-202112","2025-05-09","0","全国","0","2025-05-09","","00450381","医療経済実態調査（医療機関等調査）","00450","厚生労働省","15","社会保障・衛生","02","社会保険","第２３回医療経済実態調査（医療機関等調査）","報告","保険薬局　後発医薬品割合別の損益状況（施設数等）",""
"0004025345","第２３回医療経済実態調査（医療機関等調査） 報告","保険薬局　調剤報酬等の算定状況別の損益状況（１施設当たり損益）","-","202101-202112","2025-05-09","0","全国","0","2025-05-09","","00450381","医療経済実態調査（医療機関等調査）","00450","厚生労働省","15","社会保障・衛生","02","社会保険","第２３回医療経済実態調査（医療機関等調査）","報告","保険薬局　調剤報酬等の算定状況別の損益状況（１施設当たり損益）","（注）１．構成比率は「収益」と「介護収益」を合算した金額に対する各収益科目、又は費用科目の割合である。<BR>　　　２．「全体」とは、個人と法人を単純集計したもの。<BR>　　　　個人立の保険薬局の「損益差額」と法人立の保険薬局の「損益差額」では性質に異なる部分もあるものの、便宜上、これらを足し合わせて機械的に算出したものであることに留意。<BR>　　　３．当年6月における「賞与費」については、年間支給額が決定している施設のみの平均値であり、当年6月における「費用」、「給与費」及び「損益差額」の金額については、当該平均値と上記各数値の合算により算出している。<BR>　　　　　なお、前々年6月及び前年6月における「費用」、 「給与費」及び「損益差額」の金額については、各施設ごとの平均値を示したものである。<BR>　　　４．各年6月の日祭日、土曜日、木曜日の日数は以下のとおり。<BR>　　　　　前々年6月　日祭日5日、土曜日5日、木曜日4日<BR>　　　　　前年6月　日祭日4日、土曜日4日、木曜日4日<BR>　　　　　当年6月　日祭日4日、土曜日4日、木曜日4日<BR>　　　５．月次の集計については、年度調査に比べて、対象月における季節や個別の要因等の影響を受けやすいことに留意。<BR>"
"0004025346","第２３回医療経済実態調査（医療機関等調査） 報告","保険薬局　調剤報酬等の算定状況別の損益状況（施設数等）","-","202101-202112","2025-05-09","0","全国","0","2025-05-09","","00450381","医療経済実態調査（医療機関等調査）","00450","厚生労働省","15","社会保障・衛生","02","社会保険","第２３回医療経済実態調査（医療機関等調査）","報告","保険薬局　調剤報酬等の算定状況別の損益状況（施設数等）",""
"0004025347","第２３回医療経済実態調査（医療機関等調査） 報告","保険薬局　店舗数（同一グループの保険調剤を行っている店舗数）別の損益状況（１施設当たり損益）","-","202101-202112","2025-05-09","0","全国","0","2025-05-09","","00450381","医療経済実態調査（医療機関等調査）","00450","厚生労働省","15","社会保障・衛生","02","社会保険","第２３回医療経済実態調査（医療機関等調査）","報告","保険薬局　店舗数（同一グループの保険調剤を行っている店舗数）別の損益状況（１施設当たり損益）","（注）１．構成比率は「収益」と「介護収益」を合算した金額に対する各収益科目、又は費用科目の割合である。<BR>　　　２．店舗数については、自施設を含む店舗数である。<BR>　　　３．当年6月における「賞与費」については、年間支給額が決定している施設のみの平均値であり、当年6月における「費用」、「給与費」及び「損益差額」の金額については、当該平均値と上記各数値の合算により算出している。<BR>　　　　　なお、前々年6月及び前年6月における「費用」、 「給与費」及び「損益差額」の金額については、各施設ごとの平均値を示したものである。<BR>　　　４．各年6月の日祭日、土曜日、木曜日の日数は以下のとおり。<BR>　　　　　前々年6月　日祭日5日、土曜日5日、木曜日4日<BR>　　　　　前年6月　日祭日4日、土曜日4日、木曜日4日<BR>　　　　　当年6月　日祭日4日、土曜日4日、木曜日4日<BR>　　　５．月次の集計については、年度調査に比べて、対象月における季節や個別の要因等の影響を受けやすいことに留意。<BR>"
"0004025348","第２３回医療経済実態調査（医療機関等調査） 報告","保険薬局　店舗数（同一グループの保険調剤を行っている店舗数）別の損益状況（施設数等）","-","202101-202112","2025-05-09","0","全国","0","2025-05-09","","00450381","医療経済実態調査（医療機関等調査）","00450","厚生労働省","15","社会保障・衛生","02","社会保険","第２３回医療経済実態調査（医療機関等調査）","報告","保険薬局　店舗数（同一グループの保険調剤を行っている店舗数）別の損益状況（施設数等）",""
"0004025349","第２３回医療経済実態調査（医療機関等調査） 報告","保険薬局　調剤基本料等別の損益状況（１施設当たり損益）","-","202101-202112","2025-05-09","0","全国","0","2025-05-09","","00450381","医療経済実態調査（医療機関等調査）","00450","厚生労働省","15","社会保障・衛生","02","社会保険","第２３回医療経済実態調査（医療機関等調査）","報告","保険薬局　調剤基本料等別の損益状況（１施設当たり損益）","（注）１．構成比率は「収益」と「介護収益」を合算した金額に対する各収益科目、又は費用科目の割合である。<BR>　　　２．表中の「全体」「調剤基本料1」「調剤基本料2」「調剤基本料3」「調剤基本料3-イ」「調剤基本料3-ロ」」「調剤基本料4」「調剤基本料5」「特別調剤基本料」「無回答」は2020年4月以降の調剤基本料である。<BR>　　　３．「全体」とは、個人と法人を単純集計したもの。<BR>　　　　　個人立の保険薬局の「損益差額」と法人立の保険薬局の「損益差額」では性質に異なる部分もあるものの、便宜上、これらを足し合わせて機械的に算出したものであることに留意。<BR>　　　３．当年6月における「賞与費」については、年間支給額が決定している施設のみの平均値であり、当年6月における「費用」、「給与費」及び「損益差額」の金額については、当該平均値と上記各数値の合算により算出している。<BR>　　　　　なお、前々年6月及び前年6月における「費用」、 「給与費」及び「損益差額」の金額については、各施設ごとの平均値を示したものである。<BR>　　　４．各年6月の日祭日、土曜日、木曜日の日数は以下のとおり。<BR>　　　　　前々年6月　日祭日5日、土曜日5日、木曜日4日<BR>　　　　　前年6月　日祭日4日、土曜日4日、木曜日4日<BR>　　　　　当年6月　日祭日4日、土曜日4日、木曜日4日<BR>　　　５．月次の集計については、年度調査に比べて、対象月における季節や個別の要因等の影響を受けやすいことに留意。<BR>"
