"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003229602","医療給付実態調査 報告書","年度次","201504-201603","2023-09-15","0","全国","14229","2024-09-11","","00450389","医療給付実態調査","00450","厚生労働省","1","統計表 第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額） 総計","15","社会保障・衛生","02","社会保険","医療給付実態調査","報告書","統計表","第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額）","注）1. 本表は、提出のあったデータを集計している。　　2. 被用者保険の各制度について、高齢受給者（70歳以上）が被保険者であるか被扶養者であるか区別できないこと等から、被保険者に係る計数に被扶養者に係る計数を加えても計の計数に一致しない場合がある。　　3. 制度・計は、協会（一般）・計、組合健保・計、共済組合・計、国民健康保険・計及び後期高齢者医療・計の単純合計である。","総計"
"0003229603","医療給付実態調査 報告書","年度次","201504-201603","2023-09-15","0","全国","28458","2024-09-11","","00450389","医療給付実態調査","00450","厚生労働省","1","統計表 第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額） 入院・入院外","15","社会保障・衛生","02","社会保険","医療給付実態調査","報告書","統計表","第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額）","注）1. 本表は、提出のあったデータを集計している。　　2. 被用者保険の各制度について、高齢受給者（70歳以上）が被保険者であるか被扶養者であるか区別できないこと等から、被保険者に係る計数に被扶養者に係る計数を加えても計の計数に一致しない場合がある。　　3. 制度・計は、協会（一般）・計、組合健保・計、共済組合・計、国民健康保険・計及び後期高齢者医療・計の単純合計である。","入院・入院外"
"0003229604","医療給付実態調査 報告書","年度次","201504-201603","2023-09-15","0","全国","14229","2024-09-11","","00450389","医療給付実態調査","00450","厚生労働省","1","統計表 第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額） 歯科","15","社会保障・衛生","02","社会保険","医療給付実態調査","報告書","統計表","第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額）","注）1. 本表は、提出のあったデータを集計している。　　2. 被用者保険の各制度について、高齢受給者（70歳以上）が被保険者であるか被扶養者であるか区別できないこと等から、被保険者に係る計数に被扶養者に係る計数を加えても計の計数に一致しない場合がある。　　3. 制度・計は、協会（一般）・計、組合健保・計、共済組合・計、国民健康保険・計及び後期高齢者医療・計の単純合計である。","歯科"
"0003229605","医療給付実態調査 報告書","年度次","201504-201603","2023-09-15","0","全国","14229","2024-09-11","","00450389","医療給付実態調査","00450","厚生労働省","1","統計表 第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額） 調剤","15","社会保障・衛生","02","社会保険","医療給付実態調査","報告書","統計表","第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額）","注）1. 本表は、提出のあったデータを集計している。　　2. 被用者保険の各制度について、高齢受給者（70歳以上）が被保険者であるか被扶養者であるか区別できないこと等から、被保険者に係る計数に被扶養者に係る計数を加えても計の計数に一致しない場合がある。　　3. 制度・計は、協会（一般）・計、組合健保・計、共済組合・計、国民健康保険・計及び後期高齢者医療・計の単純合計である。","調剤"
"0003229606","医療給付実態調査 報告書","年度次","201504-201603","2023-09-15","0","全国","14229","2024-09-11","","00450389","医療給付実態調査","00450","厚生労働省","1","統計表 第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額） 食事・生活療養","15","社会保障・衛生","02","社会保険","医療給付実態調査","報告書","統計表","第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額）","注）1. 本表は、提出のあったデータを集計している。　　2. 被用者保険の各制度について、高齢受給者（70歳以上）が被保険者であるか被扶養者であるか区別できないこと等から、被保険者に係る計数に被扶養者に係る計数を加えても計の計数に一致しない場合がある。　　3. 制度・計は、協会（一般）・計、組合健保・計、共済組合・計、国民健康保険・計及び後期高齢者医療・計の単純合計である。","食事・生活療養"
"0003229607","医療給付実態調査 報告書","年度次","201504-201603","2023-09-15","0","全国","14229","2024-09-11","","00450389","医療給付実態調査","00450","厚生労働省","1","統計表 第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額） 入院+食事・生活療養（医科）","15","社会保障・衛生","02","社会保険","医療給付実態調査","報告書","統計表","第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額）","注）1. 本表は、提出のあったデータを集計している。　　2. 被用者保険の各制度について、高齢受給者（70歳以上）が被保険者であるか被扶養者であるか区別できないこと等から、被保険者に係る計数に被扶養者に係る計数を加えても計の計数に一致しない場合がある。　　3. 制度・計は、協会（一般）・計、組合健保・計、共済組合・計、国民健康保険・計及び後期高齢者医療・計の単純合計である。","入院+食事・生活療養（医科）"
"0003229608","医療給付実態調査 報告書","年度次","201504-201603","2023-09-15","0","全国","14229","2024-09-11","","00450389","医療給付実態調査","00450","厚生労働省","1","統計表 第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額） 入院外+調剤","15","社会保障・衛生","02","社会保険","医療給付実態調査","報告書","統計表","第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額）","注）1. 本表は、提出のあったデータを集計している。　　2. 被用者保険の各制度について、高齢受給者（70歳以上）が被保険者であるか被扶養者であるか区別できないこと等から、被保険者に係る計数に被扶養者に係る計数を加えても計の計数に一致しない場合がある。　　3. 制度・計は、協会（一般）・計、組合健保・計、共済組合・計、国民健康保険・計及び後期高齢者医療・計の単純合計である。","入院外+調剤"
"0003229609","医療給付実態調査 報告書","年度次","201504-201603","2023-09-15","0","全国","14229","2024-09-11","","00450389","医療給付実態調査","00450","厚生労働省","1","統計表 第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額） 歯科+食事・生活療養（歯科）","15","社会保障・衛生","02","社会保険","医療給付実態調査","報告書","統計表","第１表　 年齢階級別、診療種類別、制度別、件数、日数（回数）、点数（金額）","注）1. 本表は、提出のあったデータを集計している。　　2. 被用者保険の各制度について、高齢受給者（70歳以上）が被保険者であるか被扶養者であるか区別できないこと等から、被保険者に係る計数に被扶養者に係る計数を加えても計の計数に一致しない場合がある。　　3. 制度・計は、協会（一般）・計、組合健保・計、共済組合・計、国民健康保険・計及び後期高齢者医療・計の単純合計である。","歯科+食事・生活療養（歯科）"
"0003234748","医療給付実態調査 報告書","年度次","201504-201603","2023-09-15","0","全国","25704","2024-09-11","","00450389","医療給付実態調査","00450","厚生労働省","1","データベース データベース１　 性別、年齢階級別、診療種類別、制度別、件数、日数（回数）、医療費　（第１表の詳細版） 入院","15","社会保障・衛生","02","社会保険","医療給付実態調査","報告書","データベース","データベース１　 性別、年齢階級別、診療種類別、制度別、件数、日数（回数）、医療費　（第１表の詳細版）","","入院"
"0003234749","医療給付実態調査 報告書","年度次","201504-201603","2023-09-15","0","全国","25704","2024-09-11","","00450389","医療給付実態調査","00450","厚生労働省","1","データベース データベース１　 性別、年齢階級別、診療種類別、制度別、件数、日数（回数）、医療費　（第１表の詳細版） 入院外","15","社会保障・衛生","02","社会保険","医療給付実態調査","報告書","データベース","データベース１　 性別、年齢階級別、診療種類別、制度別、件数、日数（回数）、医療費　（第１表の詳細版）","","入院外"
