"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE","TITLE_SPEC.TABLE_EXPLANATION"
"0003126861","社会保障給付費 平成18年度社会保障給付費","年度次","200604-200703","2016-03-31","0","該当なし","109","2024-07-18","","00450437","社会保障費用統計","00450","厚生労働省","1","統計表 社会保障給付費の部門別推移 1963年以前 社会保障給付額・給付構成割合・対国民所得比","15","社会保障・衛生","01","社会保障","社会保障給付費","平成18年度社会保障給付費","統計表","社会保障給付費の部門別推移","1963年以前","社会保障給付額・給付構成割合・対国民所得比","",""
"0003126862","社会保障給付費 平成18年度社会保障給付費","年度次","200604-200703","2016-03-31","0","該当なし","473","2024-07-18","","00450437","社会保障費用統計","00450","厚生労働省","1","統計表 社会保障給付費の部門別推移 1964年以降 社会保障給付額・給付構成割合・対国民所得比","15","社会保障・衛生","01","社会保障","社会保障給付費","平成18年度社会保障給付費","統計表","社会保障給付費の部門別推移","1964年以降","社会保障給付額・給付構成割合・対国民所得比","",""
"0003126904","社会保障給付費 平成18年度社会保障給付費","年度次","200604-200703","2016-03-31","0","該当なし","750","2024-07-18","","00450437","社会保障費用統計","00450","厚生労働省","10","統計表 社会保障財源の項目別推移","15","社会保障・衛生","01","社会保障","社会保障給付費","平成18年度社会保障給付費","統計表","社会保障財源の項目別推移","","","",""
"0003126905","社会保障給付費 平成18年度社会保障給付費","年度次","200604-200703","2016-03-31","0","該当なし","190","2024-07-18","","00450437","社会保障費用統計","00450","厚生労働省","11","統計表 社会保障財源の項目別推移（平成14～18年度）","15","社会保障・衛生","01","社会保障","社会保障給付費","平成18年度社会保障給付費","統計表","社会保障財源の項目別推移（平成14～18年度）","","","",""
"0003126863","社会保障給付費 平成18年度社会保障給付費","年度次","200604-200703","2016-03-31","0","該当なし","42","2024-07-18","","00450437","社会保障費用統計","00450","厚生労働省","3","統計表 社会保障給付費と国民所得の対前年度伸び率の推移 1964年以前","15","社会保障・衛生","01","社会保障","社会保障給付費","平成18年度社会保障給付費","統計表","社会保障給付費と国民所得の対前年度伸び率の推移","1964年以前","","",""
"0003126864","社会保障給付費 平成18年度社会保障給付費","年度次","200504-200603","2016-03-31","0","該当なし","168","2024-07-18","","00450437","社会保障費用統計","00450","厚生労働省","3","統計表 社会保障給付費と国民所得の対前年度伸び率の推移 1965年以降","15","社会保障・衛生","01","社会保障","社会保障給付費","平成18年度社会保障給付費","統計表","社会保障給付費と国民所得の対前年度伸び率の推移","1965年以降","","",""
"0003126865","社会保障給付費 平成18年度社会保障給付費","年度次","200604-200703","2016-03-31","0","該当なし","112","2024-07-18","","00450437","社会保障費用統計","00450","厚生労働省","4","統計表 1人当たり社会保障給付費と1人当たり国民所得の推移 １人当たり社会保障給付費","15","社会保障・衛生","01","社会保障","社会保障給付費","平成18年度社会保障給付費","統計表","1人当たり社会保障給付費と1人当たり国民所得の推移","１人当たり社会保障給付費","","",""
"0003126899","社会保障給付費 平成18年度社会保障給付費","年度次","200604-200703","2016-03-31","0","該当なし","306","2024-07-18","","00450437","社会保障費用統計","00450","厚生労働省","5","統計表 高齢者関係給付費の推移","15","社会保障・衛生","01","社会保障","社会保障給付費","平成18年度社会保障給付費","統計表","高齢者関係給付費の推移","","","",""
"0003126900","社会保障給付費 平成18年度社会保障給付費","年度次","200604-200703","2016-03-31","0","該当なし","320","2024-07-18","","00450437","社会保障費用統計","00450","厚生労働省","6","統計表 児童・家族関係給付費の推移","15","社会保障・衛生","01","社会保障","社会保障給付費","平成18年度社会保障給付費","統計表","児童・家族関係給付費の推移","","","",""
"0003126901","社会保障給付費 平成18年度社会保障給付費","年度次","200604-200703","2016-03-31","0","該当なし","260","2024-07-18","","00450437","社会保障費用統計","00450","厚生労働省","7","統計表 制度別社会保障給付費の推移","15","社会保障・衛生","01","社会保障","社会保障給付費","平成18年度社会保障給付費","統計表","制度別社会保障給付費の推移","","","",""
