"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003278395","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ２　農林水産物の輸出実績（２０１５年金額上位２０品目）","年次","201501-201512","2019-02-06","0","該当なし","105","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","２　農林水産物の輸出実績（２０１５年金額上位２０品目）",""
"0003278444","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ８　農林水産物の輸入実績（２０１５年金額上位２０品目）","年次","201501-201512","2019-02-06","0","該当なし","105","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","８　農林水産物の輸入実績（２０１５年金額上位２０品目）",""
"0003278447","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 １４　農林水産物輸出入概況（２０１５年品目別統計表） (1) 輸出　累計金額上位３か国","年次","201501-201512","2019-02-06","0","該当なし","1188","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","１４　農林水産物輸出入概況（２０１５年品目別統計表） (1) 輸出　累計金額上位３か国",""
"0003278461","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 １４　農林水産物輸出入概況（２０１５年品目別統計表） (2) 輸入　累計金額上位３か国","年次","201501-201512","2019-02-06","0","該当なし","2490","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","１４　農林水産物輸出入概況（２０１５年品目別統計表） (2) 輸入　累計金額上位３か国",""
"0003279842","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ４　農林水産物の国・地域別輸出実績（２０１５年金額上位２０か国）","年次","201501-201512","2019-02-06","0","該当なし","89","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","４　農林水産物の国・地域別輸出実績（２０１５年金額上位２０か国）",""
"0003279860","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ５　農産物の国・地域別輸出実績（２０１５年金額上位２０か国）","年次","201501-201512","2019-02-06","0","該当なし","89","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","５　農産物の国・地域別輸出実績（２０１５年金額上位２０か国）",""
"0003279861","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ６　林産物の国・地域別輸出実績（２０１５年金額上位２０か国）","年次","201501-201512","2019-02-06","0","該当なし","89","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","６　林産物の国・地域別輸出実績（２０１５年金額上位２０か国）",""
"0003279862","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 ７　水産物の国・地域別輸出実績（２０１５年金額上位２０か国）","年次","201501-201512","2019-02-06","0","該当なし","89","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","７　水産物の国・地域別輸出実績（２０１５年金額上位２０か国）",""
"0003279863","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 １０　農林水産物の国・地域別輸入実績（２０１５年金額上位２０か国）","年次","201501-201512","2019-02-06","0","該当なし","89","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","１０　農林水産物の国・地域別輸入実績（２０１５年金額上位２０か国）",""
"0003279864","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 １１　農産物の国・地域別輸入実績（２０１５年金額上位２０か国）","年次","201501-201512","2019-02-06","0","該当なし","89","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","１１　農産物の国・地域別輸入実績（２０１５年金額上位２０か国）",""
"0003279865","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 １２　林産物の国・地域別輸入実績（２０１５年金額上位２０か国）","年次","201501-201512","2019-02-06","0","該当なし","89","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","１２　林産物の国・地域別輸入実績（２０１５年金額上位２０か国）",""
"0003279866","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 １３　水産物の国・地域別輸入実績（２０１５年金額上位２０か国）","年次","201501-201512","2019-02-06","0","該当なし","89","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","１３　水産物の国・地域別輸入実績（２０１５年金額上位２０か国）",""
"0003279902","農林水産物輸出入統計 確報 農林水産物輸出入概況（2015年）","農林水産物輸出入概況 参考：農林水産物の国・地域別輸出実績（２０１５年金額上位２０か国：アルコール飲料、たばこ、真珠を除く）","年次","201501-201512","2019-02-06","0","該当なし","218","2019-02-07","","00500100","農林水産物輸出入統計","00500","農林水産省","16","国際","01","貿易・国際収支","農林水産物輸出入統計","確報","農林水産物輸出入概況（2015年）","農林水産物輸出入概況","参考：農林水産物の国・地域別輸出実績（２０１５年金額上位２０か国：アルコール飲料、たばこ、真珠を除く）","1　農産物からアルコール飲料及びたばこ、水産物から真珠を除いた金額である。2　順位は、２０１５年の農林水産物（アルコール飲料、たばこ、真珠を除いた金額）輸出額合計による。"
