"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003208380","林業経営統計調査 確報 平成25年度林業経営統計調査報告","年度次","201304-201403","2015-04-08","0","該当なし","320","2017-11-09","","00500202","林業経営統計調査","00500","農林水産省","1","林業経営統計 総括表","04","農林水産業","03","林業","林業経営統計調査","確報","平成25年度林業経営統計調査報告","林業経営統計","総括表","","",""
"0003208405","林業経営統計調査 確報 平成25年度林業経営統計調査報告","年度次","201304-201403","2015-04-08","0","該当なし","320","2017-11-09","","00500202","林業経営統計調査","00500","農林水産省","10","林業経営統計 林業経営関連借入金","04","農林水産業","03","林業","林業経営統計調査","確報","平成25年度林業経営統計調査報告","林業経営統計","林業経営関連借入金","","",""
"0003208364","林業経営統計調査 確報 平成25年度林業経営統計調査報告","年度次","201304-201403","2015-04-08","0","該当なし","64","2017-11-09","","00500202","林業経営統計調査","00500","農林水産省","11","林業経営統計 未収・未払金","04","農林水産業","03","林業","林業経営統計調査","確報","平成25年度林業経営統計調査報告","林業経営統計","未収・未払金","","",""
"0003208365","林業経営統計調査 確報 平成25年度林業経営統計調査報告","年度次","201304-201403","2015-04-08","0","該当なし","1080","2017-11-09","","00500202","林業経営統計調査","00500","農林水産省","12","林業経営統計 林齢別樹種別林業経営費(１ha当たり) 関東・東山・東海","04","農林水産業","03","林業","林業経営統計調査","確報","平成25年度林業経営統計調査報告","林業経営統計","林齢別樹種別林業経営費(１ha当たり)","関東・東山・東海","",""
"0003208384","林業経営統計調査 確報 平成25年度林業経営統計調査報告","年度次","201304-201403","2015-04-08","0","該当なし","1350","2017-11-09","","00500202","林業経営統計調査","00500","農林水産省","12","林業経営統計 林齢別樹種別林業経営費(１ha当たり) 全国","04","農林水産業","03","林業","林業経営統計調査","確報","平成25年度林業経営統計調査報告","林業経営統計","林齢別樹種別林業経営費(１ha当たり)","全国","",""
"0003208385","林業経営統計調査 確報 平成25年度林業経営統計調査報告","年度次","201304-201403","2015-04-08","0","該当なし","810","2017-11-09","","00500202","林業経営統計調査","00500","農林水産省","12","林業経営統計 林齢別樹種別林業経営費(１ha当たり) 近畿・中国","04","農林水産業","03","林業","林業経営統計調査","確報","平成25年度林業経営統計調査報告","林業経営統計","林齢別樹種別林業経営費(１ha当たり)","近畿・中国","",""
"0003208404","林業経営統計調査 確報 平成25年度林業経営統計調査報告","年度次","201304-201403","2015-04-08","0","該当なし","1080","2017-11-09","","00500202","林業経営統計調査","00500","農林水産省","12","林業経営統計 林齢別樹種別林業経営費(１ha当たり) 東北・北陸","04","農林水産業","03","林業","林業経営統計調査","確報","平成25年度林業経営統計調査報告","林業経営統計","林齢別樹種別林業経営費(１ha当たり)","東北・北陸","",""
"0003208423","林業経営統計調査 確報 平成25年度林業経営統計調査報告","年度次","201304-201403","2015-04-08","0","該当なし","810","2017-11-09","","00500202","林業経営統計調査","00500","農林水産省","12","林業経営統計 林齢別樹種別林業経営費(１ha当たり) 北海道","04","農林水産業","03","林業","林業経営統計調査","確報","平成25年度林業経営統計調査報告","林業経営統計","林齢別樹種別林業経営費(１ha当たり)","北海道","",""
"0003208424","林業経営統計調査 確報 平成25年度林業経営統計調査報告","年度次","201304-201403","2015-04-08","0","該当なし","810","2017-11-09","","00500202","林業経営統計調査","00500","農林水産省","12","林業経営統計 林齢別樹種別林業経営費(１ha当たり) 四国・九州","04","農林水産業","03","林業","林業経営統計調査","確報","平成25年度林業経営統計調査報告","林業経営統計","林齢別樹種別林業経営費(１ha当たり)","四国・九州","",""
"0003208400","林業経営統計調査 確報 平成25年度林業経営統計調査報告","年度次","201304-201403","2015-04-08","0","該当なし","320","2017-11-09","","00500202","林業経営統計調査","00500","農林水産省","2","林業経営統計 経営体の概況","04","農林水産業","03","林業","林業経営統計調査","確報","平成25年度林業経営統計調査報告","林業経営統計","経営体の概況","","",""
