"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0003226863","漁業経営調査 確報","年度次","201404-201503","2018-12-27","0","該当なし","3680","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1","共同経営体調査 経営体統計　経営体統計　経営体平均及び主とする漁業種類別　概要及び分析指標","04","農林水産業","04","水産業","漁業経営調査","確報","共同経営体調査","経営体統計　経営体統計　経営体平均及び主とする漁業種類別　概要及び分析指標","","","","","",""
"0003226867","漁業経営調査 確報","年度次","201404-201503","2018-12-27","0","該当なし","3128","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1","共同経営体調査 経営体統計　経営体統計　経営体平均及び主とする漁業種類別　損益","04","農林水産業","04","水産業","漁業経営調査","確報","共同経営体調査","経営体統計　経営体統計　経営体平均及び主とする漁業種類別　損益","","","","","",""
"0003226868","漁業経営調査 確報","年度次","201404-201503","2018-12-27","0","該当なし","1104","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1","共同経営体調査 経営体統計　経営体統計　経営体平均及び主とする漁業種類別　漁業投下資本","04","農林水産業","04","水産業","漁業経営調査","確報","共同経営体調査","経営体統計　経営体統計　経営体平均及び主とする漁業種類別　漁業投下資本","","","","","",""
"0003228520","漁業経営調査 確報","年度次","201404-201503","2018-12-27","0","該当なし","644","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1","共同経営体調査 経営体統計　経営体統計　経営体平均及び主とする漁業種類別　使用漁船及び漁業操業状況","04","農林水産業","04","水産業","漁業経営調査","確報","共同経営体調査","経営体統計　経営体統計　経営体平均及び主とする漁業種類別　使用漁船及び漁業操業状況","","","","","",""
"0003249074","漁業経営調査 確報","年度次","201404-201503","2018-12-27","0","該当なし","2576","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1","共同経営体調査 経営体統計　経営体統計　経営体平均及び主とする漁業種類別　財産　資産","04","農林水産業","04","水産業","漁業経営調査","確報","共同経営体調査","経営体統計　経営体統計　経営体平均及び主とする漁業種類別　財産　資産","","","","","",""
"0003249075","漁業経営調査 確報","年度次","201404-201503","2018-12-27","0","該当なし","2776","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1","共同経営体調査 経営体統計　経営体統計　経営体平均及び主とする漁業種類別　財産　負債・純資産","04","農林水産業","04","水産業","漁業経営調査","確報","共同経営体調査","経営体統計　経営体統計　経営体平均及び主とする漁業種類別　財産　負債・純資産","","","","","",""
"0003226804","漁業経営調査 確報","年次","201701-201712","2019-11-29","0","該当なし","2590","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1","個人経営体調査 海面漁業　経営体階層別　概要及び分析指標","04","農林水産業","04","水産業","漁業経営調査","確報","個人経営体調査","海面漁業　経営体階層別　概要及び分析指標","","","","","",""
"0003226805","漁業経営調査 確報","年次","201701-201712","2019-11-29","0","該当なし","2500","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1","個人経営体調査 海面漁業　経営体階層別　使用漁船及び漁業操業状況","04","農林水産業","04","水産業","漁業経営調査","確報","個人経営体調査","海面漁業　経営体階層別　使用漁船及び漁業操業状況","","","","","",""
"0003226807","漁業経営調査 確報","年次","201701-201712","2019-11-29","0","該当なし","1060","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1","個人経営体調査 海面漁業　経営体階層別　漁業投下資本","04","農林水産業","04","水産業","漁業経営調査","確報","個人経営体調査","海面漁業　経営体階層別　漁業投下資本","","","","","",""
"0003226808","漁業経営調査 確報","年次","201701-201712","2019-11-29","0","該当なし","1280","2023-01-20","","00500203","漁業経営統計調査","00500","農林水産省","1-1","個人経営体調査 海面漁業　経営体階層別　収入","04","農林水産業","04","水産業","漁業経営調査","確報","個人経営体調査","海面漁業　経営体階層別　収入","","","","","",""
