"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE"
"0003235429","漁業産出額 長期累年","年次","201701-201712","2018-10-19","0","該当なし","62","2024-04-09","","00500208","漁業産出額","00500","農林水産省","1","漁業産出額 生産漁業所得累年統計 全国（昭和61年～平成18年）","04","農林水産業","04","水産業","漁業産出額","長期累年","漁業産出額","生産漁業所得累年統計","　生産漁業所得は、漁業産出額全体の所得を推計したものであり、2016年(平成28年)値の推計に併せて、2006～2015年(平成18～27年)についても遡及推計した。　　　なお、2005年(平成17年)まで推計していた海面漁業・養殖業生産漁業所得には、①内水面漁業・養殖業を含まない、　　②経常補助金を含まない等の違いがあることから、数値は接続しない。　　　また、2005年(平成17年)まで推計していた海面漁業・養殖業生産漁業所得の単位は億円である。","全国（昭和61年～平成18年）","","",""
"0003235432","漁業産出額 長期累年","年次","201701-201712","2018-10-19","0","該当なし","627","2024-04-11","","00500208","漁業産出額","00500","農林水産省","1","漁業産出額 産出額（総括表）累年統計 全国（昭和35年～平成28年）","04","農林水産業","04","水産業","漁業産出額","長期累年","漁業産出額","産出額（総括表）累年統計","１．　1983年(昭和58年)から、大中型まき網１そうまきのうち太平洋中央海区を従来の沖合から遠洋部門に改定した。２．　2003年(平成15年)から推計対象品目として内水面養殖業に種苗用を追加した。３．　2007年(平成19年)以降は漁業種類別（遠洋、沖合、沿岸）の取りまとめは行っていない。４．　2015年(平成27年)から従前の「漁業生産額」を「漁業産出額」に改めた。　　　なお、「漁業生産額」と「漁業産出額」とでは、推計期間、推計手法その他の推計に係る全ての事項に違いがないことから、両者の時系列比較に問題はない。","全国（昭和35年～平成28年）","","",""
"0003235433","漁業産出額 長期累年","年次","201701-201712","2018-10-19","0","該当なし","1551","2024-04-09","","00500208","漁業産出額","00500","農林水産省","2","漁業産出額 海面漁業種類別産出額累年統計 全国（昭和35年～平成28年）","04","農林水産業","04","水産業","漁業産出額","長期累年","漁業産出額","海面漁業種類別産出額累年統計","１．北方水域は漁業種類名の分類変更により、1998年(平成10年)から「遠洋底びき網（北方水域）」に変更した。なお、1995年(平成７年)から1997年(平成９年)までは「北方トロール」、「転換トロール」及び「北転船」の合計値である。２．南方水域は漁業種類名の分類変更により、1998年(平成10年)から「遠洋底びき網（南方水域）」に変更した。なお、1995年(平成７年)から1997年(平成９年)までは「南方トロール」及び「えびトロール」の合計値である。３．いか流し網は、1993年(平成５年)から公海での操業を停止した。４．かじき等流し網は、1990年(平成２年)より「その他刺網」から分離し、1993年(平成５年)から公海での操業を停止した。５．その他の網漁業は、1995年(平成７年)から「その他の漁業（その他）」より分離した。６．北方はえ縄・刺網の平成1998年(平成10年)については「その他の漁業（その他）」に含む。７．ひき縄釣は、1995年(平成７年)から「その他の釣」から分離した。８．潜水器漁業は、1995年(平成７年)から「その他の漁業」から分離した。９．その他の漁業(その他)は、1998年(平成10年)は「北洋はえ縄・刺網」を含む。10．遠洋かつおまぐろまき網の1969年(昭和44年)から1989年(平成元年)までは近海まぐろまき網を含む。11．沿岸いか釣の1989年(平成元年)までは、遠洋･近海いか釣を含む。12．遠洋底びき網は漁業種類名の定義変更のため、2002年(平成14年)より「北方水域」及び「南方水域」の分類を廃止した。13．2007年(平成19年)以降は漁業種類別（遠洋、沖合、沿岸）の取りまとめは行っていない。","全国（昭和35年～平成28年）","","",""
"0003235428","漁業産出額 長期累年","年次","201701-201712","2018-10-19","0","該当なし","456","2024-04-09","","00500208","漁業産出額","00500","農林水産省","3","漁業産出額 魚種別産出額累年統計 内水面漁業 全国（昭和35年～平成28年）","04","農林水産業","04","水産業","漁業産出額","長期累年","漁業産出額","魚種別産出額累年統計","１．2006年(平成18年)から内水面漁業生産統計調査の調査範囲を販売目的として漁獲された量のみとし、遊漁者（レクリエーションを主な目的として水産動植物を採捕するもの）による採捕量を含めないこととしたことから、内水面漁業産出額には、遊漁者の採捕による産出額は含めていない。","内水面漁業","全国（昭和35年～平成28年）","",""
"0003235430","漁業産出額 長期累年","年次","201701-201712","2018-10-19","0","該当なし","2793","2024-04-09","","00500208","漁業産出額","00500","農林水産省","3","漁業産出額 魚種別産出額累年統計 海面漁業 全国（昭和35年～平成28年）","04","農林水産業","04","水産業","漁業産出額","長期累年","漁業産出額","魚種別産出額累年統計","１．みなみまぐろは1995年(平成７年)よりくろまぐろから分離した。２．ひじきは1995年(平成７年)よりその他の海藻類より分離した。３．くろまぐろは1994年(平成６年)まで「みなみまぐろ」を含む。４．ひじきは、1995年(平成７年)から「その他の海藻類」より分離した。","海面漁業","全国（昭和35年～平成28年）","",""
"0003235431","漁業産出額 長期累年","年次","201701-201712","2018-10-19","0","該当なし","399","2024-04-09","","00500208","漁業産出額","00500","農林水産省","3","漁業産出額 魚種別産出額累年統計 内水面養殖業 全国（昭和35年～平成28年）","04","農林水産業","04","水産業","漁業産出額","長期累年","漁業産出額","魚種別産出額累年統計","１．1991年(平成３年)から「にじます」「その他のます類」に分けて推計した。","内水面養殖業","全国（昭和35年～平成28年）","",""
"0003235434","漁業産出額 長期累年","年次","201701-201712","2018-10-19","0","該当なし","570","2024-04-11","","00500208","漁業産出額","00500","農林水産省","3","漁業産出額 魚種別産出額累年統計 海面養殖業 全国（昭和35年～平成28年）","04","農林水産業","04","水産業","漁業産出額","長期累年","漁業産出額","魚種別産出額累年統計","","海面養殖業","全国（昭和35年～平成28年）","",""
"0003218311","漁業産出額 確報 平成27年漁業産出額","年次","201501-201512","2020-03-05","0","該当なし","330","2024-04-09","","00500208","漁業産出額","00500","農林水産省","1","総括表 産出額","04","農林水産業","04","水産業","漁業産出額","確報","総括表","産出額","","","","平成27年漁業産出額",""
"0003206501","漁業産出額 確報 平成27年漁業産出額","年次","201501-201512","2020-03-05","0","該当なし","110","2024-04-09","","00500208","漁業産出額","00500","農林水産省","2","年次別産出額（平成17年～平成27年） 内水面養殖業","04","農林水産業","04","水産業","漁業産出額","確報","年次別産出額（平成17年～平成27年）","内水面養殖業","","","","平成27年漁業産出額",""
"0003206560","漁業産出額 確報 平成27年漁業産出額","年次","201501-201512","2017-04-28","0","該当なし","352","2024-04-09","","00500208","漁業産出額","00500","農林水産省","2","年次別産出額（平成17年～平成27年） 内水面漁業","04","農林水産業","04","水産業","漁業産出額","確報","年次別産出額（平成17年～平成27年）","内水面漁業","","","","平成27年漁業産出額",""
