"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3","TITLE_SPEC.TABLE_EXPLANATION","TITLE"
"0003118884","漁業センサス 2008年漁業センサス 確報 2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2016-07-14","0","該当なし","3720","2026-01-27","","00500210","漁業センサス","00500","農林水産省","1","統計表 漁業経営体に関する基本的項目 漁業経営体・漁船","04","農林水産業","04","水産業","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","統計表","漁業経営体に関する基本的項目","漁業経営体・漁船","","","",""
"0003124235","漁業センサス 2008年漁業センサス 確報 2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2016-07-14","0","該当なし","12648","2026-01-27","","00500210","漁業センサス","00500","農林水産省","1","統計表 漁業経営体に関する基本的項目 海上作業従事者・陸上作業従事者・新規就業者","04","農林水産業","04","水産業","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","統計表","漁業経営体に関する基本的項目","海上作業従事者・陸上作業従事者・新規就業者","","","",""
"0003117355","漁業センサス 2008年漁業センサス 確報 2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2016-07-14","0","該当なし","6696","2026-01-27","","00500210","漁業センサス","00500","農林水産省","2","統計表 漁業経営体 出荷先別延べ経営体数","04","農林水産業","04","水産業","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","統計表","漁業経営体","出荷先別延べ経営体数","","","",""
"0003117368","漁業センサス 2008年漁業センサス 確報 2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2016-07-14","0","該当なし","3720","2026-01-27","","00500210","漁業センサス","00500","農林水産省","2","統計表 漁業経営体 経営体階層別経営体数 漁業層","04","農林水産業","04","水産業","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","統計表","漁業経営体","経営体階層別経営体数","漁業層","","",""
"0003117369","漁業センサス 2008年漁業センサス 確報 2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2016-07-14","0","該当なし","5952","2026-01-27","","00500210","漁業センサス","00500","農林水産省","2","統計表 漁業経営体 動力漁船保有隻数別経営体数","04","農林水産業","04","水産業","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","統計表","漁業経営体","動力漁船保有隻数別経営体数","","","",""
"0003117386","漁業センサス 2008年漁業センサス 確報 2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2016-07-14","0","該当なし","28272","2026-01-27","","00500210","漁業センサス","00500","農林水産省","2","統計表 漁業経営体 経営体階層別経営体数 経営体階層","04","農林水産業","04","水産業","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","統計表","漁業経営体","経営体階層別経営体数","経営体階層","","",""
"0003117387","漁業センサス 2008年漁業センサス 確報 2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2016-07-14","0","該当なし","40176","2026-01-27","","00500210","漁業センサス","00500","農林水産省","2","統計表 漁業経営体 営んだ漁業種類別経営体数","04","農林水産業","04","水産業","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","統計表","漁業経営体","営んだ漁業種類別経営体数","","","",""
"0003117405","漁業センサス 2008年漁業センサス 確報 2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2016-07-14","0","該当なし","5208","2026-01-27","","00500210","漁業センサス","00500","農林水産省","2","統計表 漁業経営体 経営組織別経営体数","04","農林水産業","04","水産業","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","統計表","漁業経営体","経営組織別経営体数","","","",""
"0003117406","漁業センサス 2008年漁業センサス 確報 2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2016-07-14","0","該当なし","11160","2026-01-27","","00500210","漁業センサス","00500","農林水産省","2","統計表 漁業経営体 漁獲物・収獲物の販売金額別経営体数","04","農林水産業","04","水産業","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","統計表","漁業経営体","漁獲物・収獲物の販売金額別経営体数","","","",""
"0003124250","漁業センサス 2008年漁業センサス 確報 2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","-","200801-200812","2016-07-14","0","該当なし","40176","2026-01-27","","00500210","漁業センサス","00500","農林水産省","2","統計表 漁業経営体 主とする漁業種類別経営体数","04","農林水産業","04","水産業","漁業センサス","2008年漁業センサス","確報","2008年漁業センサス第3巻海面漁業に関する統計（市区町村編）","統計表","漁業経営体","主とする漁業種類別経営体数","","","",""
