"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3","TITLE_SPEC.TABLE_EXPLANATION","TITLE"
"0003208066","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2020-03-05","0","該当なし","143","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-1","一覧表 全国農業地域別　農業経営体 キ  農業労働力 （雇用者、常雇い、臨時雇い）","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体","キ  農業労働力","（雇用者、常雇い、臨時雇い）","","",""
"0003208067","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","99","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-1","一覧表 全国農業地域別　農業経営体 サ  農産物販売金額１位の部門別経営体数","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体","サ  農産物販売金額１位の部門別経営体数","","","",""
"0003208141","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","55","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-1","一覧表 全国農業地域別　農業経営体 ア  農業経営体数","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体","ア  農業経営体数","","","",""
"0003208142","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","132","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-1","一覧表 全国農業地域別　農業経営体 エ  借入耕地の状況","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体","エ  借入耕地の状況","","","",""
"0003208143","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","99","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-1","一覧表 全国農業地域別　農業経営体 ク  農産物販売金額規模別経営体数","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体","ク  農産物販売金額規模別経営体数","","","",""
"0003208144","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","143","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-1","一覧表 全国農業地域別　農業経営体 シ  農業経営組織別経営体数","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体","シ  農業経営組織別経営体数","","","",""
"0003208160","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","121","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-1","一覧表 全国農業地域別　農業経営体 イ  農業生産関連事業に取り組んでいる経営体の取組形態別経営体数","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体","イ  農業生産関連事業に取り組んでいる経営体の取組形態別経営体数","","","",""
"0003208161","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","110","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-1","一覧表 全国農業地域別　農業経営体 オ  経営耕地面積規模別経営体数","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体","オ  経営耕地面積規模別経営体数","","","",""
"0003208162","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","165","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-1","一覧表 全国農業地域別　農業経営体 ケ  農産物の出荷先別経営体数","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体","ケ  農産物の出荷先別経営体数","","","",""
"0003208180","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","132","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-1","一覧表 全国農業地域別　農業経営体 ウ  経営耕地の状況","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体","ウ  経営耕地の状況","","","",""
"0003208181","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","77","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-1","一覧表 全国農業地域別　農業経営体 カ　販売目的の水稲の作付面積規模別経営体数","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体","カ　販売目的の水稲の作付面積規模別経営体数","","","",""
"0003208182","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","99","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-1","一覧表 全国農業地域別　農業経営体 コ  農産物の売上１位の出荷先別経営体数","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体","コ  農産物の売上１位の出荷先別経営体数","","","",""
"0003208068","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","132","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-2","一覧表 全国農業地域別　農業経営体(家族経営体) ウ  借入耕地の状況","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体(家族経営体)","ウ  借入耕地の状況","","","",""
"0003208069","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","99","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-2","一覧表 全国農業地域別　農業経営体(家族経営体) キ  農産物販売金額規模別経営体数","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体(家族経営体)","キ  農産物販売金額規模別経営体数","","","",""
"0003208070","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","143","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-2","一覧表 全国農業地域別　農業経営体(家族経営体) サ  農業経営組織別経営体数","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体(家族経営体)","サ  農業経営組織別経営体数","","","",""
"0003208145","農業構造動態調査 確報 平成28年農業構造動態調査結果","年次","201601-201612","2017-01-31","0","該当なし","110","2023-03-28","","00500211","農業構造動態調査","00500","農林水産省","1-2","一覧表 全国農業地域別　農業経営体(家族経営体) エ  経営耕地面積規模別経営体数","04","農林水産業","01","農業","農業構造動態調査","確報","平成28年農業構造動態調査結果","一覧表","全国農業地域別　農業経営体(家族経営体)","エ  経営耕地面積規模別経営体数","","","",""
