"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0001880311","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","765","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","1","漁業動態統計 漁船規模別隻数累年統計","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","漁船規模別隻数累年統計","","","",""
"0001880312","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","343","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","2","漁業動態統計 経営組織別漁業経営体数累年統計","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","経営組織別漁業経営体数累年統計","","","",""
"0001880313","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","1400","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","3","漁業動態統計 経営体階層別漁業経営体数累年統計","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","経営体階層別漁業経営体数累年統計","","","",""
"0001880314","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","198","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","4","漁業動態統計 沿岸、沖合・遠洋漁業別漁業就業者数累年統計","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","沿岸、沖合・遠洋漁業別漁業就業者数累年統計","","","",""
"0001880315","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","304","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","5","漁業動態統計 自営漁業就業者数累年統計","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","自営漁業就業者数累年統計","","","",""
"0001880316","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","304","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","6","漁業動態統計 漁業雇われ就業者数累年統計","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","漁業雇われ就業者数累年統計","","","",""
"0001880317","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 全国","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","全国","","",""
"0001880318","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 北海道","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","北海道","","",""
"0001880319","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 青森","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","青森","","",""
"0001880320","漁業就業動向調査 長期累年 漁業動態統計年報","年次","200701-200712","2021-12-24","0","該当なし","5","2021-12-24","","00500213","漁業構造動態調査","00500","農林水産省","7","漁業動態統計 海面養殖漁業経営体数累年統計 岩手","04","農林水産業","04","水産業","漁業就業動向調査","長期累年","漁業動態統計年報","漁業動態統計","海面養殖漁業経営体数累年統計","岩手","","",""
