"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3"
"0003238100","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","全国","171072","2020-10-15","","00500217","木材統計調査","00500","農林水産省","1","木材需給報告書 主要需要部門別自県・他県・外材別素材入荷量累年統計","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","主要需要部門別自県・他県・外材別素材入荷量累年統計","製材用のその他は1960年は米材、1970年以前はニュージーランド材、1982年以前はラワン材以外の南洋材を含む。<br>合板用及び木材チップ用のその他は、1970年以前はニュージーランド材、1982年以前はラワン材以外の南洋材を含む。<br>パルプ用のその他の1960年は米材、1968年以前はニュージーランド材を含む。<br>その他用のその他の1960年は米材、1968年以前はニュージーランド材、1982年以前はラワン材以外の南洋材を含む。","","","","",""
"0003238100","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","都道府県","171072","2020-10-15","","00500217","木材統計調査","00500","農林水産省","1","木材需給報告書 主要需要部門別自県・他県・外材別素材入荷量累年統計","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","主要需要部門別自県・他県・外材別素材入荷量累年統計","製材用のその他は1960年は米材、1970年以前はニュージーランド材、1982年以前はラワン材以外の南洋材を含む。<br>合板用及び木材チップ用のその他は、1970年以前はニュージーランド材、1982年以前はラワン材以外の南洋材を含む。<br>パルプ用のその他の1960年は米材、1968年以前はニュージーランド材を含む。<br>その他用のその他の1960年は米材、1968年以前はニュージーランド材、1982年以前はラワン材以外の南洋材を含む。","","","","",""
"0003234706","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","全国","15552","2020-10-15","","00500217","木材統計調査","00500","農林水産省","2","木材需給報告書 需要部門別素材生産量累年統計","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","需要部門別素材生産量累年統計","その他用は、電柱用、くい丸太用、足場丸太用、杭木用、繊維板用及びその他（特定部門）の合計である。","","","","",""
"0003234706","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","都道府県","15552","2020-10-15","","00500217","木材統計調査","00500","農林水産省","2","木材需給報告書 需要部門別素材生産量累年統計","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","需要部門別素材生産量累年統計","その他用は、電柱用、くい丸太用、足場丸太用、杭木用、繊維板用及びその他（特定部門）の合計である。","","","","",""
"0003234707","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","全国","4212","2020-10-15","","00500217","木材統計調査","00500","農林水産省","3-1","木材需給報告書 主要樹種別素材生産量累年統計　需要部門別　全国","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","主要樹種別素材生産量累年統計　需要部門別　全国","その他用は、電柱用、くい丸太用、足場丸太用、杭木用、繊維板用及びその他（特定部門）の合計である。<br>えぞまつ・とどまつの1978年以前は、からまつを含む。","","","","",""
"0003234708","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","全国","33696","2020-10-15","","00500217","木材統計調査","00500","農林水産省","3-2","木材需給報告書 主要樹種別素材生産量累年統計　都道府県別","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","主要樹種別素材生産量累年統計　都道府県別","えぞまつ・とどまつの1978年以前は、からまつを含む。","","","","",""
"0003234708","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","都道府県","33696","2020-10-15","","00500217","木材統計調査","00500","農林水産省","3-2","木材需給報告書 主要樹種別素材生産量累年統計　都道府県別","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","主要樹種別素材生産量累年統計　都道府県別","えぞまつ・とどまつの1978年以前は、からまつを含む。","","","","",""
"0003234709","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","全国","20736","2020-10-14","","00500217","木材統計調査","00500","農林水産省","4","木材需給報告書 製材工場数及び製材用動力の出力数累年統計","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","製材工場数及び製材用動力の出力数累年統計","製材用動力の出力数の2005年以降は、四捨五入により表示している。","","","","",""
"0003234709","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","都道府県","20736","2020-10-14","","00500217","木材統計調査","00500","農林水産省","4","木材需給報告書 製材工場数及び製材用動力の出力数累年統計","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","製材工場数及び製材用動力の出力数累年統計","製材用動力の出力数の2005年以降は、四捨五入により表示している。","","","","",""
"0003234710","木材統計調査 長期累年","年次","201701-201712","2019-02-05","0","全国","10368","2020-10-15","","00500217","木材統計調査","00500","農林水産省","5","木材需給報告書 製材用素材の入荷量・消費量及び製材品の生産量・出荷量累年統計","04","農林水産業","03","林業","木材統計調査","長期累年","木材需給報告書","製材用素材の入荷量・消費量及び製材品の生産量・出荷量累年統計","","","","","",""
