"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0001883913","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 全国(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","全国(昭和35年～令和２年)","","",""
"0001883914","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 北海道(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","北海道(昭和35年～令和２年)","","",""
"0001883915","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","405","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 都府県(昭和51年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","都府県(昭和51年～令和２年)","","",""
"0001883916","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 東北(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","東北(昭和35年～令和２年)","","",""
"0001883917","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 北陸(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","北陸(昭和35年～令和２年)","","",""
"0001883918","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","405","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 関東・東山(昭和51年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","関東・東山(昭和51年～令和２年)","","",""
"0001883919","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 東海(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","東海(昭和35年～令和２年)","","",""
"0001883920","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 近畿(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","近畿(昭和35年～令和２年)","","",""
"0001883921","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 中国(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","中国(昭和35年～令和２年)","","",""
"0001883922","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 四国(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","四国(昭和35年～令和２年)","","",""
"0001883923","畜産統計調査 長期累年","-","202001-202012","2021-12-24","0","該当なし","549","2024-01-11","","00500222","畜産統計調査","00500","農林水産省","1","畜産統計 乳用牛飼養戸数･頭数累年統計 九州(昭和35年～令和２年)","04","農林水産業","02","畜産業","畜産統計調査","長期累年","畜産統計","乳用牛飼養戸数･頭数累年統計","九州(昭和35年～令和２年)","","",""
