"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION","TITLE.@no","TITLE.$","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2"
"0001879782","牛乳乳製品統計調査 長期累年","牛乳乳製品統計調査 生乳生産量累年統計（昭和60年～平成30年） 生乳生産量","-","201801-201812","2021-12-24","0","該当なし","442","2021-12-24","","00500225","牛乳乳製品統計調査","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品統計調査","長期累年","牛乳乳製品統計調査","生乳生産量累年統計（昭和60年～平成30年）","生乳生産量","","","",""
"0001879783","牛乳乳製品統計調査 長期累年","牛乳乳製品統計調査 生乳移出入量累年統計（平成８年～平成30年） 移出量","-","201801-201812","2021-12-24","0","該当なし","1104","2021-12-24","","00500225","牛乳乳製品統計調査","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品統計調査","長期累年","牛乳乳製品統計調査","生乳移出入量累年統計（平成８年～平成30年）","移出量","","","",""
"0001879784","牛乳乳製品統計調査 長期累年","牛乳乳製品統計調査 生乳移出入量累年統計（平成８年～平成30年） 移入量","-","201801-201812","2021-12-24","0","該当なし","1104","2021-12-24","","00500225","牛乳乳製品統計調査","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品統計調査","長期累年","牛乳乳製品統計調査","生乳移出入量累年統計（平成８年～平成30年）","移入量","","","",""
"0001879785","牛乳乳製品統計調査 長期累年","牛乳乳製品統計調査 生乳処理量（用途別）累年統計（昭和60年～平成30年） 牛乳等向け処理量","-","201801-201812","2021-12-24","0","該当なし","442","2021-12-24","","00500225","牛乳乳製品統計調査","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品統計調査","長期累年","牛乳乳製品統計調査","生乳処理量（用途別）累年統計（昭和60年～平成30年）","牛乳等向け処理量","","","",""
"0001879786","牛乳乳製品統計調査 長期累年","牛乳乳製品統計調査 生乳処理量（用途別）累年統計（昭和60年～平成30年） 乳製品向け処理量","-","201801-201812","2021-12-24","0","該当なし","442","2021-12-24","","00500225","牛乳乳製品統計調査","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品統計調査","長期累年","牛乳乳製品統計調査","生乳処理量（用途別）累年統計（昭和60年～平成30年）","乳製品向け処理量","","","",""
"0001879787","牛乳乳製品統計調査 長期累年","牛乳乳製品統計調査 生乳処理量（用途別）累年統計（昭和60年～平成30年） その他","-","201801-201812","2021-12-24","0","該当なし","442","2021-12-24","","00500225","牛乳乳製品統計調査","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品統計調査","長期累年","牛乳乳製品統計調査","生乳処理量（用途別）累年統計（昭和60年～平成30年）","その他","","","",""
"0001879788","牛乳乳製品統計調査 長期累年","牛乳乳製品統計調査 牛乳等生産量累年統計（昭和60年～平成30年） 牛乳生産量","-","201801-201812","2021-12-24","0","該当なし","442","2021-12-24","","00500225","牛乳乳製品統計調査","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品統計調査","長期累年","牛乳乳製品統計調査","牛乳等生産量累年統計（昭和60年～平成30年）","牛乳生産量","","","",""
"0001879789","牛乳乳製品統計調査 長期累年","牛乳乳製品統計調査 牛乳等生産量累年統計（昭和60年～平成30年） 加工乳・成分調整牛乳生産量","-","201801-201812","2021-12-24","0","該当なし","442","2021-12-24","","00500225","牛乳乳製品統計調査","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品統計調査","長期累年","牛乳乳製品統計調査","牛乳等生産量累年統計（昭和60年～平成30年）","加工乳・成分調整牛乳生産量","","","",""
"0001879790","牛乳乳製品統計調査 長期累年","牛乳乳製品統計調査 牛乳等生産量累年統計（昭和60年～平成30年） 乳飲料生産量","-","201801-201812","2021-12-24","0","該当なし","442","2021-12-24","","00500225","牛乳乳製品統計調査","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品統計調査","長期累年","牛乳乳製品統計調査","牛乳等生産量累年統計（昭和60年～平成30年）","乳飲料生産量","","","",""
"0001879791","牛乳乳製品統計調査 長期累年","牛乳乳製品統計調査 牛乳等生産量累年統計（昭和60年～平成30年） はっ酵乳生産量","-","201801-201812","2021-12-24","0","該当なし","442","2021-12-24","","00500225","牛乳乳製品統計調査","00500","農林水産省","04","農林水産業","02","畜産業","牛乳乳製品統計調査","長期累年","牛乳乳製品統計調査","牛乳等生産量累年統計（昭和60年～平成30年）","はっ酵乳生産量","","","",""
