"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2"
"0001883156","青果物卸売市場調査 長期累年","-","201801-201812","2021-12-24","0","該当なし","408","2022-01-07","","00500226","青果物卸売市場調査","00500","農林水産省","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 合計(昭和60年～平成30年)","04","農林水産業","01","農業","青果物卸売市場調査","長期累年","青果物卸売市場調査報告","都市類別にみた野菜の卸売数量・価額・価格累年統計","1：「主要都市の市場計」は、平成9年（1997年）からのデータである。<br>2：平成9年（1997年）より、総数の卸売数量及び卸売価額については主要都市の市場計を基に推計した。<br>3：「なめこ」、「えのきだけ」、「しめじ」は昭和63年（1988年）からのデータである。<br>4：「ちんげんさい」、「ミニトマト」、「アスパラガス輸入」、「ブロッコリー輸入」、「かぼちゃ輸入」、「さやえんどう輸入」、「にんにく輸入」、「しょうが輸入」、「生しいたけ輸入」、「輸入野菜計」、「その他の輸入野菜」は平成14年（2002年）からのデータであり、輸入は各品目のうち数である。<br>5：「たまねぎ」については国産・輸入別に掲載していたものを、平成14年（2002年）からたまねぎの合計と輸入（合計のうち数）に変更した。<br>6：平成16年（2004年）以前のトマトの総数については、ミニトマトを含む。<br>7：平成14年（2002年）から追加した品目の総数については、推計を行っていない。ただし、「ちんげんさい」及び「ミニトマト」については、平成17年（2005年）より推計を行っている。<br>8：平成21年（2009年）以降、調査の見直しに伴い、１類都市の市場及び２類都市の市場の集計は行っていない。<br>9：「みずな」は平成28年（2016年）からのデータである。","合計(昭和60年～平成30年)",""
"0001883157","青果物卸売市場調査 長期累年","-","201801-201812","2021-12-24","0","該当なし","408","2022-01-07","","00500226","青果物卸売市場調査","00500","農林水産省","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 だいこん(昭和60年～平成30年)","04","農林水産業","01","農業","青果物卸売市場調査","長期累年","青果物卸売市場調査報告","都市類別にみた野菜の卸売数量・価額・価格累年統計","1：「主要都市の市場計」は、平成9年（1997年）からのデータである。<br>2：平成9年（1997年）より、総数の卸売数量及び卸売価額については主要都市の市場計を基に推計した。<br>3：「なめこ」、「えのきだけ」、「しめじ」は昭和63年（1988年）からのデータである。<br>4：「ちんげんさい」、「ミニトマト」、「アスパラガス輸入」、「ブロッコリー輸入」、「かぼちゃ輸入」、「さやえんどう輸入」、「にんにく輸入」、「しょうが輸入」、「生しいたけ輸入」、「輸入野菜計」、「その他の輸入野菜」は平成14年（2002年）からのデータであり、輸入は各品目のうち数である。<br>5：「たまねぎ」については国産・輸入別に掲載していたものを、平成14年（2002年）からたまねぎの合計と輸入（合計のうち数）に変更した。<br>6：平成16年（2004年）以前のトマトの総数については、ミニトマトを含む。<br>7：平成14年（2002年）から追加した品目の総数については、推計を行っていない。ただし、「ちんげんさい」及び「ミニトマト」については、平成17年（2005年）より推計を行っている。<br>8：平成21年（2009年）以降、調査の見直しに伴い、１類都市の市場及び２類都市の市場の集計は行っていない。<br>9：「みずな」は平成28年（2016年）からのデータである。","だいこん(昭和60年～平成30年)",""
"0001883158","青果物卸売市場調査 長期累年","-","201801-201812","2021-12-24","0","該当なし","408","2022-01-07","","00500226","青果物卸売市場調査","00500","農林水産省","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 かぶ(昭和60年～平成30年)","04","農林水産業","01","農業","青果物卸売市場調査","長期累年","青果物卸売市場調査報告","都市類別にみた野菜の卸売数量・価額・価格累年統計","1：「主要都市の市場計」は、平成9年（1997年）からのデータである。<br>2：平成9年（1997年）より、総数の卸売数量及び卸売価額については主要都市の市場計を基に推計した。<br>3：「なめこ」、「えのきだけ」、「しめじ」は昭和63年（1988年）からのデータである。<br>4：「ちんげんさい」、「ミニトマト」、「アスパラガス輸入」、「ブロッコリー輸入」、「かぼちゃ輸入」、「さやえんどう輸入」、「にんにく輸入」、「しょうが輸入」、「生しいたけ輸入」、「輸入野菜計」、「その他の輸入野菜」は平成14年（2002年）からのデータであり、輸入は各品目のうち数である。<br>5：「たまねぎ」については国産・輸入別に掲載していたものを、平成14年（2002年）からたまねぎの合計と輸入（合計のうち数）に変更した。<br>6：平成16年（2004年）以前のトマトの総数については、ミニトマトを含む。<br>7：平成14年（2002年）から追加した品目の総数については、推計を行っていない。ただし、「ちんげんさい」及び「ミニトマト」については、平成17年（2005年）より推計を行っている。<br>8：平成21年（2009年）以降、調査の見直しに伴い、１類都市の市場及び２類都市の市場の集計は行っていない。<br>9：「みずな」は平成28年（2016年）からのデータである。","かぶ(昭和60年～平成30年)",""
"0001883159","青果物卸売市場調査 長期累年","-","201801-201812","2021-12-24","0","該当なし","408","2022-01-07","","00500226","青果物卸売市場調査","00500","農林水産省","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 にんじん(昭和60年～平成30年)","04","農林水産業","01","農業","青果物卸売市場調査","長期累年","青果物卸売市場調査報告","都市類別にみた野菜の卸売数量・価額・価格累年統計","1：「主要都市の市場計」は、平成9年（1997年）からのデータである。<br>2：平成9年（1997年）より、総数の卸売数量及び卸売価額については主要都市の市場計を基に推計した。<br>3：「なめこ」、「えのきだけ」、「しめじ」は昭和63年（1988年）からのデータである。<br>4：「ちんげんさい」、「ミニトマト」、「アスパラガス輸入」、「ブロッコリー輸入」、「かぼちゃ輸入」、「さやえんどう輸入」、「にんにく輸入」、「しょうが輸入」、「生しいたけ輸入」、「輸入野菜計」、「その他の輸入野菜」は平成14年（2002年）からのデータであり、輸入は各品目のうち数である。<br>5：「たまねぎ」については国産・輸入別に掲載していたものを、平成14年（2002年）からたまねぎの合計と輸入（合計のうち数）に変更した。<br>6：平成16年（2004年）以前のトマトの総数については、ミニトマトを含む。<br>7：平成14年（2002年）から追加した品目の総数については、推計を行っていない。ただし、「ちんげんさい」及び「ミニトマト」については、平成17年（2005年）より推計を行っている。<br>8：平成21年（2009年）以降、調査の見直しに伴い、１類都市の市場及び２類都市の市場の集計は行っていない。<br>9：「みずな」は平成28年（2016年）からのデータである。","にんじん(昭和60年～平成30年)",""
"0001883160","青果物卸売市場調査 長期累年","-","201801-201812","2021-12-24","0","該当なし","408","2022-01-07","","00500226","青果物卸売市場調査","00500","農林水産省","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 ごぼう(昭和60年～平成30年)","04","農林水産業","01","農業","青果物卸売市場調査","長期累年","青果物卸売市場調査報告","都市類別にみた野菜の卸売数量・価額・価格累年統計","1：「主要都市の市場計」は、平成9年（1997年）からのデータである。<br>2：平成9年（1997年）より、総数の卸売数量及び卸売価額については主要都市の市場計を基に推計した。<br>3：「なめこ」、「えのきだけ」、「しめじ」は昭和63年（1988年）からのデータである。<br>4：「ちんげんさい」、「ミニトマト」、「アスパラガス輸入」、「ブロッコリー輸入」、「かぼちゃ輸入」、「さやえんどう輸入」、「にんにく輸入」、「しょうが輸入」、「生しいたけ輸入」、「輸入野菜計」、「その他の輸入野菜」は平成14年（2002年）からのデータであり、輸入は各品目のうち数である。<br>5：「たまねぎ」については国産・輸入別に掲載していたものを、平成14年（2002年）からたまねぎの合計と輸入（合計のうち数）に変更した。<br>6：平成16年（2004年）以前のトマトの総数については、ミニトマトを含む。<br>7：平成14年（2002年）から追加した品目の総数については、推計を行っていない。ただし、「ちんげんさい」及び「ミニトマト」については、平成17年（2005年）より推計を行っている。<br>8：平成21年（2009年）以降、調査の見直しに伴い、１類都市の市場及び２類都市の市場の集計は行っていない。<br>9：「みずな」は平成28年（2016年）からのデータである。","ごぼう(昭和60年～平成30年)",""
"0001883181","青果物卸売市場調査 長期累年","-","201801-201812","2021-12-24","0","該当なし","408","2022-01-07","","00500226","青果物卸売市場調査","00500","農林水産省","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 たけのこ(昭和60年～平成30年)","04","農林水産業","01","農業","青果物卸売市場調査","長期累年","青果物卸売市場調査報告","都市類別にみた野菜の卸売数量・価額・価格累年統計","1：「主要都市の市場計」は、平成9年（1997年）からのデータである。<br>2：平成9年（1997年）より、総数の卸売数量及び卸売価額については主要都市の市場計を基に推計した。<br>3：「なめこ」、「えのきだけ」、「しめじ」は昭和63年（1988年）からのデータである。<br>4：「ちんげんさい」、「ミニトマト」、「アスパラガス輸入」、「ブロッコリー輸入」、「かぼちゃ輸入」、「さやえんどう輸入」、「にんにく輸入」、「しょうが輸入」、「生しいたけ輸入」、「輸入野菜計」、「その他の輸入野菜」は平成14年（2002年）からのデータであり、輸入は各品目のうち数である。<br>5：「たまねぎ」については国産・輸入別に掲載していたものを、平成14年（2002年）からたまねぎの合計と輸入（合計のうち数）に変更した。<br>6：平成16年（2004年）以前のトマトの総数については、ミニトマトを含む。<br>7：平成14年（2002年）から追加した品目の総数については、推計を行っていない。ただし、「ちんげんさい」及び「ミニトマト」については、平成17年（2005年）より推計を行っている。<br>8：平成21年（2009年）以降、調査の見直しに伴い、１類都市の市場及び２類都市の市場の集計は行っていない。<br>9：「みずな」は平成28年（2016年）からのデータである。","たけのこ(昭和60年～平成30年)",""
"0001883182","青果物卸売市場調査 長期累年","-","201801-201812","2021-12-24","0","該当なし","408","2022-01-07","","00500226","青果物卸売市場調査","00500","農林水産省","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 れんこん(昭和60年～平成30年)","04","農林水産業","01","農業","青果物卸売市場調査","長期累年","青果物卸売市場調査報告","都市類別にみた野菜の卸売数量・価額・価格累年統計","1：「主要都市の市場計」は、平成9年（1997年）からのデータである。<br>2：平成9年（1997年）より、総数の卸売数量及び卸売価額については主要都市の市場計を基に推計した。<br>3：「なめこ」、「えのきだけ」、「しめじ」は昭和63年（1988年）からのデータである。<br>4：「ちんげんさい」、「ミニトマト」、「アスパラガス輸入」、「ブロッコリー輸入」、「かぼちゃ輸入」、「さやえんどう輸入」、「にんにく輸入」、「しょうが輸入」、「生しいたけ輸入」、「輸入野菜計」、「その他の輸入野菜」は平成14年（2002年）からのデータであり、輸入は各品目のうち数である。<br>5：「たまねぎ」については国産・輸入別に掲載していたものを、平成14年（2002年）からたまねぎの合計と輸入（合計のうち数）に変更した。<br>6：平成16年（2004年）以前のトマトの総数については、ミニトマトを含む。<br>7：平成14年（2002年）から追加した品目の総数については、推計を行っていない。ただし、「ちんげんさい」及び「ミニトマト」については、平成17年（2005年）より推計を行っている。<br>8：平成21年（2009年）以降、調査の見直しに伴い、１類都市の市場及び２類都市の市場の集計は行っていない。<br>9：「みずな」は平成28年（2016年）からのデータである。","れんこん(昭和60年～平成30年)",""
"0001883183","青果物卸売市場調査 長期累年","-","201801-201812","2021-12-24","0","該当なし","408","2022-01-07","","00500226","青果物卸売市場調査","00500","農林水産省","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 はくさい(昭和60年～平成30年)","04","農林水産業","01","農業","青果物卸売市場調査","長期累年","青果物卸売市場調査報告","都市類別にみた野菜の卸売数量・価額・価格累年統計","1：「主要都市の市場計」は、平成9年（1997年）からのデータである。<br>2：平成9年（1997年）より、総数の卸売数量及び卸売価額については主要都市の市場計を基に推計した。<br>3：「なめこ」、「えのきだけ」、「しめじ」は昭和63年（1988年）からのデータである。<br>4：「ちんげんさい」、「ミニトマト」、「アスパラガス輸入」、「ブロッコリー輸入」、「かぼちゃ輸入」、「さやえんどう輸入」、「にんにく輸入」、「しょうが輸入」、「生しいたけ輸入」、「輸入野菜計」、「その他の輸入野菜」は平成14年（2002年）からのデータであり、輸入は各品目のうち数である。<br>5：「たまねぎ」については国産・輸入別に掲載していたものを、平成14年（2002年）からたまねぎの合計と輸入（合計のうち数）に変更した。<br>6：平成16年（2004年）以前のトマトの総数については、ミニトマトを含む。<br>7：平成14年（2002年）から追加した品目の総数については、推計を行っていない。ただし、「ちんげんさい」及び「ミニトマト」については、平成17年（2005年）より推計を行っている。<br>8：平成21年（2009年）以降、調査の見直しに伴い、１類都市の市場及び２類都市の市場の集計は行っていない。<br>9：「みずな」は平成28年（2016年）からのデータである。","はくさい(昭和60年～平成30年)",""
"0001883184","青果物卸売市場調査 長期累年","-","201801-201812","2021-12-24","0","該当なし","36","2022-01-07","","00500226","青果物卸売市場調査","00500","農林水産省","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 みずな（平成28年～平成30年）","04","農林水産業","01","農業","青果物卸売市場調査","長期累年","青果物卸売市場調査報告","都市類別にみた野菜の卸売数量・価額・価格累年統計","1：「主要都市の市場計」は、平成9年（1997年）からのデータである。<br>2：平成9年（1997年）より、総数の卸売数量及び卸売価額については主要都市の市場計を基に推計した。<br>3：「なめこ」、「えのきだけ」、「しめじ」は昭和63年（1988年）からのデータである。<br>4：「ちんげんさい」、「ミニトマト」、「アスパラガス輸入」、「ブロッコリー輸入」、「かぼちゃ輸入」、「さやえんどう輸入」、「にんにく輸入」、「しょうが輸入」、「生しいたけ輸入」、「輸入野菜計」、「その他の輸入野菜」は平成14年（2002年）からのデータであり、輸入は各品目のうち数である。<br>5：「たまねぎ」については国産・輸入別に掲載していたものを、平成14年（2002年）からたまねぎの合計と輸入（合計のうち数）に変更した。<br>6：平成16年（2004年）以前のトマトの総数については、ミニトマトを含む。<br>7：平成14年（2002年）から追加した品目の総数については、推計を行っていない。ただし、「ちんげんさい」及び「ミニトマト」については、平成17年（2005年）より推計を行っている。<br>8：平成21年（2009年）以降、調査の見直しに伴い、１類都市の市場及び２類都市の市場の集計は行っていない。<br>9：「みずな」は平成28年（2016年）からのデータである。","みずな（平成28年～平成30年）",""
"0001883185","青果物卸売市場調査 長期累年","-","201801-201812","2021-12-24","0","該当なし","408","2022-01-07","","00500226","青果物卸売市場調査","00500","農林水産省","1","青果物卸売市場調査報告 都市類別にみた野菜の卸売数量・価額・価格累年統計 こまつな(昭和60年～平成30年)","04","農林水産業","01","農業","青果物卸売市場調査","長期累年","青果物卸売市場調査報告","都市類別にみた野菜の卸売数量・価額・価格累年統計","1：「主要都市の市場計」は、平成9年（1997年）からのデータである。<br>2：平成9年（1997年）より、総数の卸売数量及び卸売価額については主要都市の市場計を基に推計した。<br>3：「なめこ」、「えのきだけ」、「しめじ」は昭和63年（1988年）からのデータである。<br>4：「ちんげんさい」、「ミニトマト」、「アスパラガス輸入」、「ブロッコリー輸入」、「かぼちゃ輸入」、「さやえんどう輸入」、「にんにく輸入」、「しょうが輸入」、「生しいたけ輸入」、「輸入野菜計」、「その他の輸入野菜」は平成14年（2002年）からのデータであり、輸入は各品目のうち数である。<br>5：「たまねぎ」については国産・輸入別に掲載していたものを、平成14年（2002年）からたまねぎの合計と輸入（合計のうち数）に変更した。<br>6：平成16年（2004年）以前のトマトの総数については、ミニトマトを含む。<br>7：平成14年（2002年）から追加した品目の総数については、推計を行っていない。ただし、「ちんげんさい」及び「ミニトマト」については、平成17年（2005年）より推計を行っている。<br>8：平成21年（2009年）以降、調査の見直しに伴い、１類都市の市場及び２類都市の市場の集計は行っていない。<br>9：「みずな」は平成28年（2016年）からのデータである。","こまつな(昭和60年～平成30年)",""
