"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY2","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE"
"0001882090","畜産物流通調査 長期累年","-","201901-201912","2021-12-24","0","該当なし","525","2024-03-19","","00500227","畜産物流通調査","00500","農林水産省","1","畜産物流通統計 都道府県別出荷頭数累年統計 全国(昭和60年～平成21年)","04","農林水産業","02","畜産業","畜産物流通調査","長期累年","畜産物流通統計","都道府県別出荷頭数累年統計","全国(昭和60年～平成21年)","","","",""
"0001882091","畜産物流通調査 長期累年","-","201901-201912","2021-12-24","0","該当なし","525","2024-03-19","","00500227","畜産物流通調査","00500","農林水産省","1","畜産物流通統計 都道府県別出荷頭数累年統計 北海道(昭和60年～平成21年)","04","農林水産業","02","畜産業","畜産物流通調査","長期累年","畜産物流通統計","都道府県別出荷頭数累年統計","北海道(昭和60年～平成21年)","","","",""
"0001882092","畜産物流通調査 長期累年","-","201901-201912","2021-12-24","0","該当なし","525","2024-03-19","","00500227","畜産物流通調査","00500","農林水産省","1","畜産物流通統計 都道府県別出荷頭数累年統計 青森(昭和60年～平成21年)","04","農林水産業","02","畜産業","畜産物流通調査","長期累年","畜産物流通統計","都道府県別出荷頭数累年統計","青森(昭和60年～平成21年)","","","",""
"0001882093","畜産物流通調査 長期累年","-","201901-201912","2021-12-24","0","該当なし","525","2024-03-19","","00500227","畜産物流通調査","00500","農林水産省","1","畜産物流通統計 都道府県別出荷頭数累年統計 岩手(昭和60年～平成21年)","04","農林水産業","02","畜産業","畜産物流通調査","長期累年","畜産物流通統計","都道府県別出荷頭数累年統計","岩手(昭和60年～平成21年)","","","",""
"0001882094","畜産物流通調査 長期累年","-","201901-201912","2021-12-24","0","該当なし","525","2024-03-19","","00500227","畜産物流通調査","00500","農林水産省","1","畜産物流通統計 都道府県別出荷頭数累年統計 宮城(昭和60年～平成21年)","04","農林水産業","02","畜産業","畜産物流通調査","長期累年","畜産物流通統計","都道府県別出荷頭数累年統計","宮城(昭和60年～平成21年)","","","",""
"0001882095","畜産物流通調査 長期累年","-","201901-201912","2021-12-24","0","該当なし","525","2024-03-19","","00500227","畜産物流通調査","00500","農林水産省","1","畜産物流通統計 都道府県別出荷頭数累年統計 秋田(昭和60年～平成21年)","04","農林水産業","02","畜産業","畜産物流通調査","長期累年","畜産物流通統計","都道府県別出荷頭数累年統計","秋田(昭和60年～平成21年)","","","",""
"0001882096","畜産物流通調査 長期累年","-","201901-201912","2021-12-24","0","該当なし","525","2024-03-19","","00500227","畜産物流通調査","00500","農林水産省","1","畜産物流通統計 都道府県別出荷頭数累年統計 山形(昭和60年～平成21年)","04","農林水産業","02","畜産業","畜産物流通調査","長期累年","畜産物流通統計","都道府県別出荷頭数累年統計","山形(昭和60年～平成21年)","","","",""
"0001882097","畜産物流通調査 長期累年","-","201901-201912","2021-12-24","0","該当なし","525","2024-03-19","","00500227","畜産物流通調査","00500","農林水産省","1","畜産物流通統計 都道府県別出荷頭数累年統計 福島(昭和60年～平成21年)","04","農林水産業","02","畜産業","畜産物流通調査","長期累年","畜産物流通統計","都道府県別出荷頭数累年統計","福島(昭和60年～平成21年)","","","",""
"0001882098","畜産物流通調査 長期累年","-","201901-201912","2021-12-24","0","該当なし","525","2024-03-19","","00500227","畜産物流通調査","00500","農林水産省","1","畜産物流通統計 都道府県別出荷頭数累年統計 茨城(昭和60年～平成21年)","04","農林水産業","02","畜産業","畜産物流通調査","長期累年","畜産物流通統計","都道府県別出荷頭数累年統計","茨城(昭和60年～平成21年)","","","",""
"0001882099","畜産物流通調査 長期累年","-","201901-201912","2021-12-24","0","該当なし","525","2024-03-19","","00500227","畜産物流通調査","00500","農林水産省","1","畜産物流通統計 都道府県別出荷頭数累年統計 栃木(昭和60年～平成21年)","04","農林水産業","02","畜産業","畜産物流通調査","長期累年","畜産物流通統計","都道府県別出荷頭数累年統計","栃木(昭和60年～平成21年)","","","",""
