"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3"
"0003321440","水産物流通調査 確報 平成29年水産加工統計調査","年次","201701-201712","2019-03-19","0","該当なし","240","2021-11-11","","00500228","水産物流通調査","00500","農林水産省","1-1","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","04","農林水産業","04","水産業","水産物流通調査","確報","平成29年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（全国）","冷凍食品とは、水産物を主原料として加工又は調理した後、マイナス18℃以下で凍結し、凍結状態で保持した包装食品である（以下同じ）。冷凍食品の魚介類とは、魚介類の切り身、むきえび等の処理を行ったものを、凍結し包装したものである。冷凍食品の水産物調理食品とは、水産物のフライ、天ぷら等、水産物を主原料として調理したものを、凍結し包装したものである。焼・味付のりは、板のりに換算した枚数である。","食用加工品",""
"0003321441","水産物流通調査 確報 平成29年水産加工統計調査","年次","201701-201712","2019-03-19","0","該当なし","92","2021-11-11","","00500228","水産物流通調査","00500","農林水産省","1-2","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","04","農林水産業","04","水産業","水産物流通調査","確報","平成29年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（全国）","生鮮冷凍水産物は、水産物の生鮮品を凍結室において凍結したもので、水産物の丸、フィレー、すり身等のものをいう。なお、すり身については、原料魚ではなく「すり身」の該当欄に計上した。","生鮮冷凍水産物",""
"0003321442","水産物流通調査 確報 平成29年水産加工統計調査","年次","201701-201712","2019-03-19","0","該当なし","2832","2021-11-11","","00500228","水産物流通調査","00500","農林水産省","2-1","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（平成29年） 食用加工品","04","農林水産業","04","水産業","水産物流通調査","確報","平成29年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（都道府県別）（平成29年）","","食用加工品",""
"0003321443","水産物流通調査 確報 平成29年水産加工統計調査","年次","201701-201712","2019-03-19","0","該当なし","1104","2021-11-11","","00500228","水産物流通調査","00500","農林水産省","2-2","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（平成29年） 生鮮冷凍水産物","04","農林水産業","04","水産業","水産物流通調査","確報","平成29年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（都道府県別）（平成29年）","","生鮮冷凍水産物",""
"0003269700","水産物流通調査 確報","年次","201601-201612","2019-01-11","0","該当なし","180","2021-11-11","","00500228","水産物流通調査","00500","農林水産省","1-1","統計表 水産加工品の加工種類別品目別生産量（全国）　食用加工品 食用加工品","04","農林水産業","04","水産業","水産物流通調査","確報","","統計表","水産加工品の加工種類別品目別生産量（全国）　食用加工品","注：１　冷凍食品とは、水産物を主原料として加工又は調理した後、マイナス18℃以下で凍結し、凍結状態で保持した包装食品である（以下同じ。）。２　冷凍食品の魚介類とは、魚介類の切り身、むきえび等の処理を行ったものを、凍結し包装したものである。３　冷凍食品の水産物調理食品とは、水産物のフライ、天ぷら等、水産物を主原料として調理したものを、凍結し包装したものである。４　焼・味付のりは、板のりに換算した枚数である。","食用加工品",""
"0003261910","水産物流通調査 確報","年次","201601-201612","2019-01-11","0","該当なし","69","2021-11-11","","00500228","水産物流通調査","00500","農林水産省","1-2","統計表 水産加工品の加工種類別品目別生産量（全国）　生鮮冷凍水産物 生鮮冷凍水産物","04","農林水産業","04","水産業","水産物流通調査","確報","","統計表","水産加工品の加工種類別品目別生産量（全国）　生鮮冷凍水産物","注：　生鮮冷凍水産物は、水産物の生鮮品を凍結室において凍結したもので、水産物の丸、フィレー、すり身等のものをいう。　なお、すり身については、原料魚ではなく「すり身」の該当欄に計上した。","生鮮冷凍水産物",""
"0003269701","水産物流通調査 確報","年次","201601-201612","2019-01-11","0","該当なし","8496","2021-11-11","","00500228","水産物流通調査","00500","農林水産省","2-1","統計表 水産加工品の加工種類別品目別生産量（都道府県別）　食用加工品 食用加工品","04","農林水産業","04","水産業","水産物流通調査","確報","","統計表","水産加工品の加工種類別品目別生産量（都道府県別）　食用加工品","","食用加工品",""
"0003261912","水産物流通調査 確報","年次","201601-201612","2019-01-11","0","該当なし","3312","2021-11-11","","00500228","水産物流通調査","00500","農林水産省","2-2","統計表 水産加工品の加工種類別品目別生産量（都道府県別）　生鮮冷凍水産物 生鮮冷凍水産物","04","農林水産業","04","水産業","水産物流通調査","確報","","統計表","水産加工品の加工種類別品目別生産量（都道府県別）　生鮮冷凍水産物","","生鮮冷凍水産物",""
"0001871344","水産物流通調査 確報 令和元年水産加工統計調査","年次","201901-201912","2021-08-31","0","該当なし","208","2021-11-11","","00500228","水産物流通調査","00500","農林水産省","1-1","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","04","農林水産業","04","水産業","水産物流通調査","確報","令和元年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（全国）","","食用加工品",""
"0001871345","水産物流通調査 確報 令和元年水産加工統計調査","年次","201901-201912","2021-08-31","0","該当なし","100","2021-11-11","","00500228","水産物流通調査","00500","農林水産省","1-2","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","04","農林水産業","04","水産業","水産物流通調査","確報","令和元年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（全国）","","生鮮冷凍水産物",""
"0001871346","水産物流通調査 確報 令和元年水産加工統計調査","年次","201901-201912","2021-08-31","0","該当なし","2448","2021-11-11","","00500228","水産物流通調査","00500","農林水産省","2-1","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和元年） 食用加工品","04","農林水産業","04","水産業","水産物流通調査","確報","令和元年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（都道府県別）（令和元年）","","食用加工品",""
"0001871347","水産物流通調査 確報 令和元年水産加工統計調査","年次","201901-201912","2021-08-31","0","該当なし","1200","2021-11-11","","00500228","水産物流通調査","00500","農林水産省","2-2","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和元年） 生鮮冷凍水産物","04","農林水産業","04","水産業","水産物流通調査","確報","令和元年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（都道府県別）（令和元年）","","生鮮冷凍水産物",""
"0001901009","水産物流通調査 確報 令和２年水産加工統計調査","年次","202001-202012","2021-11-30","0","該当なし","208","2021-11-30","","00500228","水産物流通調査","00500","農林水産省","1-1","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","04","農林水産業","04","水産業","水産物流通調査","確報","令和２年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（全国）","","食用加工品",""
"0001901010","水産物流通調査 確報 令和２年水産加工統計調査","年次","202001-202012","2021-11-30","0","該当なし","100","2021-11-30","","00500228","水産物流通調査","00500","農林水産省","1-2","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","04","農林水産業","04","水産業","水産物流通調査","確報","令和２年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（全国）","","生鮮冷凍水産物",""
"0001901011","水産物流通調査 確報 令和２年水産加工統計調査","年次","202001-202012","2021-11-30","0","該当なし","2448","2021-11-30","","00500228","水産物流通調査","00500","農林水産省","2-1","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和２年） 食用加工品","04","農林水産業","04","水産業","水産物流通調査","確報","令和２年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（都道府県別）（令和２年）","","食用加工品",""
"0001901012","水産物流通調査 確報 令和２年水産加工統計調査","年次","202001-202012","2021-11-30","0","該当なし","1200","2021-11-30","","00500228","水産物流通調査","00500","農林水産省","2-2","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和２年） 生鮮冷凍水産物","04","農林水産業","04","水産業","水産物流通調査","確報","令和２年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（都道府県別）（令和２年）","","生鮮冷凍水産物",""
"0001995541","水産物流通調査 確報 令和３年水産加工統計調査","年次","202101-202112","2023-01-31","0","該当なし","208","2024-02-07","","00500228","水産物流通調査","00500","農林水産省","1-1","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","04","農林水産業","04","水産業","水産物流通調査","確報","令和３年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（全国）","","食用加工品",""
"0001995542","水産物流通調査 確報 令和３年水産加工統計調査","年次","202101-202112","2023-01-31","0","該当なし","100","2023-03-07","","00500228","水産物流通調査","00500","農林水産省","1-2","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","04","農林水産業","04","水産業","水産物流通調査","確報","令和３年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（全国）","","生鮮冷凍水産物",""
"0001995543","水産物流通調査 確報 令和３年水産加工統計調査","年次","202101-202112","2023-01-31","0","該当なし","3648","2023-09-13","","00500228","水産物流通調査","00500","農林水産省","2-1","統計表 水産加工品の加工種類別品目別生産量（都道府県別）（令和３年） 食用加工品、生鮮冷凍水産物","04","農林水産業","04","水産業","水産物流通調査","確報","令和３年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（都道府県別）（令和３年）","","食用加工品、生鮮冷凍水産物",""
"0002069001","水産物流通調査 確報 産地水産物用途別出荷量調査 令和３年産地水産物用途別出荷量調査","年次","202101-202112","2024-03-29","0","該当なし","154","2024-03-29","","00500228","水産物流通調査","00500","農林水産省","1-1","令和３年品目別用途別出荷量（31漁港計・19品目） 実数","04","農林水産業","04","水産業","水産物流通調査","確報","産地水産物用途別出荷量調査","令和３年品目別用途別出荷量（31漁港計・19品目）","実数","有効回答を得た調査対象31漁港において19品目別に最終的な用途別（生鮮食用向け、ねり製品・すり身向け、缶詰向け、その他の食用加工品向け、魚油・飼肥料向け、養殖用又は漁業用餌料向け）の出荷量を合計した結果である。合計は、調査した19品目の積上げ値であり、生鮮品及び冷凍品の各計は、それぞれの品目の積上げ値である。","","令和３年産地水産物用途別出荷量調査"
"0002069002","水産物流通調査 確報 産地水産物用途別出荷量調査 令和３年産地水産物用途別出荷量調査","年次","202101-202112","2024-03-29","0","該当なし","154","2024-03-29","","00500228","水産物流通調査","00500","農林水産省","1-2","令和３年品目別用途別出荷量（31漁港計・19品目） 構成比","04","農林水産業","04","水産業","水産物流通調査","確報","産地水産物用途別出荷量調査","令和３年品目別用途別出荷量（31漁港計・19品目）","構成比","","","令和３年産地水産物用途別出荷量調査"
"0002069003","水産物流通調査 確報 産地水産物用途別出荷量調査 令和３年産地水産物用途別出荷量調査","年次","202101-202112","2024-03-29","0","該当なし","2261","2024-03-29","","00500228","水産物流通調査","00500","農林水産省","2","令和３年漁港別品目別用途別出荷量 令和３年漁港別品目別用途別出荷量","04","農林水産業","04","水産業","水産物流通調査","確報","産地水産物用途別出荷量調査","令和３年漁港別品目別用途別出荷量","令和３年漁港別品目別用途別出荷量","","","令和３年産地水産物用途別出荷量調査"
"0002067897","水産物流通調査 確報 冷蔵水産物在庫量調査 令和３年冷蔵水産物在庫量調査","年次","202101-202112","2024-03-29","0","該当なし","1890","2024-03-29","","00500228","水産物流通調査","00500","農林水産省","1-1","令和３年月別品目別月間入庫量 合計 産地 消費地","04","農林水産業","04","水産業","水産物流通調査","確報","冷蔵水産物在庫量調査","令和３年月別品目別月間入庫量","合計 産地 消費地","","","令和３年冷蔵水産物在庫量調査"
"0002067898","水産物流通調査 確報 冷蔵水産物在庫量調査 令和３年冷蔵水産物在庫量調査","年次","202101-202112","2024-03-29","0","該当なし","1890","2024-03-29","","00500228","水産物流通調査","00500","農林水産省","2-1","令和３年月別品目別月間出庫量 合計 産地 消費地","04","農林水産業","04","水産業","水産物流通調査","確報","冷蔵水産物在庫量調査","令和３年月別品目別月間出庫量","合計 産地 消費地","","","令和３年冷蔵水産物在庫量調査"
"0002067899","水産物流通調査 確報 冷蔵水産物在庫量調査 令和３年冷蔵水産物在庫量調査","年次","202101-202112","2024-03-29","0","該当なし","1890","2024-03-29","","00500228","水産物流通調査","00500","農林水産省","3-1","令和３年月別品目別月末在庫量 合計 産地 消費地","04","農林水産業","04","水産業","水産物流通調査","確報","冷蔵水産物在庫量調査","令和３年月別品目別月末在庫量","合計 産地 消費地","","","令和３年冷蔵水産物在庫量調査"
"0002063715","水産物流通調査 確報 令和４年水産加工統計調査","年次","202201-202212","2024-02-29","0","該当なし","208","2024-03-28","","00500228","水産物流通調査","00500","農林水産省","1-1","統計表 水産加工品の加工種類別品目別生産量（全国） 食用加工品","04","農林水産業","04","水産業","水産物流通調査","確報","令和４年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（全国）","","食用加工品",""
"0002063716","水産物流通調査 確報 令和４年水産加工統計調査","年次","202201-202212","2024-02-29","0","該当なし","100","2024-03-28","","00500228","水産物流通調査","00500","農林水産省","1-2","統計表 水産加工品の加工種類別品目別生産量（全国） 生鮮冷凍水産物","04","農林水産業","04","水産業","水産物流通調査","確報","令和４年水産加工統計調査","統計表","水産加工品の加工種類別品目別生産量（全国）","","生鮮冷凍水産物",""
