"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE","TITLE_SPEC.TABLE_EXPLANATION"
"0003216919","食品ロス統計調査 確報 平成25年度食品循環資源の再生利用等実態調査報告","年度次","201304-201403","2015-04-30","0","該当なし","234","2018-03-15","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","1","統計表 食品廃棄物等の年間発生量100ｔ未満の事業所の集計結果 食品廃棄物等の年間発生量及び発生抑制の実施量（平成25年度）","04","農林水産業","01","農業","食品ロス統計調査","確報","平成25年度食品循環資源の再生利用等実態調査報告","統計表","食品廃棄物等の年間発生量100ｔ未満の事業所の集計結果","食品廃棄物等の年間発生量及び発生抑制の実施量（平成25年度）","","",""
"0003216920","食品ロス統計調査 確報 平成25年度食品循環資源の再生利用等実態調査報告","年度次","201304-201403","2015-04-30","0","該当なし","162","2018-03-15","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","2","統計表 食品廃棄物等の年間発生量100ｔ未満の事業所の集計結果 食品廃棄物等を食品循環資源として再生利用した用途別実施量（平成25年度）","04","農林水産業","01","農業","食品ロス統計調査","確報","平成25年度食品循環資源の再生利用等実態調査報告","統計表","食品廃棄物等の年間発生量100ｔ未満の事業所の集計結果","食品廃棄物等を食品循環資源として再生利用した用途別実施量（平成25年度）","","",""
"0003216921","食品ロス統計調査 確報 平成25年度食品循環資源の再生利用等実態調査報告","年度次","201304-201403","2015-04-30","0","該当なし","256","2018-03-15","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","3","統計表 （参考）食品産業全体の試算結果 食品廃棄物等の年間発生量、発生抑制の実施量及び再生利用等実施率（平成25年度）","04","農林水産業","01","農業","食品ロス統計調査","確報","平成25年度食品循環資源の再生利用等実態調査報告","統計表","（参考）食品産業全体の試算結果","食品廃棄物等の年間発生量、発生抑制の実施量及び再生利用等実施率（平成25年度）","","",""
"0003216922","食品ロス統計調査 確報 平成25年度食品循環資源の再生利用等実態調査報告","年度次","201304-201403","2015-04-30","0","該当なし","288","2018-03-15","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","3","統計表 （参考）食品産業全体の試算結果 食品廃棄物等を食品循環資源として再生利用した用途別実施量（平成25年度）","04","農林水産業","01","農業","食品ロス統計調査","確報","平成25年度食品循環資源の再生利用等実態調査報告","統計表","（参考）食品産業全体の試算結果","食品廃棄物等を食品循環資源として再生利用した用途別実施量（平成25年度）","","",""
"0003201380","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","25","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","1-1","年次別結果表（世帯調査） 世帯における食品ロス率","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","年次別結果表（世帯調査）","世帯における食品ロス率","","","",""
"0003201381","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","25","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","1-2","年次別結果表（世帯調査） 世帯員構成別の食品ロス率 ２人世帯","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","年次別結果表（世帯調査）","世帯員構成別の食品ロス率","２人世帯","","",""
"0003201400","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","25","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","1-2","年次別結果表（世帯調査） 世帯員構成別の食品ロス率 単身世帯","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","年次別結果表（世帯調査）","世帯員構成別の食品ロス率","単身世帯","","",""
"0003201420","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","25","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","1-2","年次別結果表（世帯調査） 世帯員構成別の食品ロス率 ３人以上世帯","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","年次別結果表（世帯調査）","世帯員構成別の食品ロス率","３人以上世帯","","",""
"0003201401","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","24","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","2-1","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度） 世帯計及び世帯員構成別の食品ロス率","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度）","世帯計及び世帯員構成別の食品ロス率","","","",""
"0003201442","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","28","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","2-10","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度） 食事区分別の一人１日当たり食品使用量及び食品ロス量","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度）","食事区分別の一人１日当たり食品使用量及び食品ロス量","","","",""
"0003201384","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","24","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","2-11","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度） 世代構成別の食品ロス率","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度）","世代構成別の食品ロス率","","","",""
"0003201423","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","28","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","2-12","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度） 世代構成別の一人１日当たり食品使用量及び食品ロス量","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度）","世代構成別の一人１日当たり食品使用量及び食品ロス量","","","",""
"0003201385","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","312","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","2-13","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度） 世帯における食品別の食品ロス率 食事管理者の職業の有無別の食品ロス率","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度）","世帯における食品別の食品ロス率","食事管理者の職業の有無別の食品ロス率","","",""
"0003201386","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","936","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","2-13","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度） 世帯における食品別の食品ロス率 食事管理者の年齢階層別の食品ロス率","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度）","世帯における食品別の食品ロス率","食事管理者の年齢階層別の食品ロス率","","",""
"0003201387","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","312","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","2-13","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度） 世帯における食品別の食品ロス率 食事管理者の年齢階層別、職業の有無別の食品ロス率 50～59歳","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度）","世帯における食品別の食品ロス率","食事管理者の年齢階層別、職業の有無別の食品ロス率","50～59歳","",""
"0003201404","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","156","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","2-13","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度） 世帯における食品別の食品ロス率 世帯計の食品ロス率","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度）","世帯における食品別の食品ロス率","世帯計の食品ロス率","","",""
"0003201405","食品ロス統計調査 確報 平成26年度食品ロス統計調査報告（世帯調査）","年度次","201404-201503","2015-11-05","0","該当なし","312","2017-09-22","","00500231","食品循環資源の再生利用等実態調査","00500","農林水産省","2-13","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度） 世帯における食品別の食品ロス率 世帯員構成別、食事管理者の職業の有無別の食品ロス率 ２人世帯","04","農林水産業","01","農業","食品ロス統計調査","確報","平成26年度食品ロス統計調査報告（世帯調査）","世帯における食品使用量、食品ロス量及び食品ロス率（平成26年度）","世帯における食品別の食品ロス率","世帯員構成別、食事管理者の職業の有無別の食品ロス率","２人世帯","",""
