"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003361763","食品流通段階別価格形成調査 確報 平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","年度次","201204-201303","2020-01-10","0","該当なし","684","2020-01-11","","00500232","食品流通段階別価格形成調査","00500","農林水産省","1","第１部青果物編 集出荷団体の販売収入、集出荷・販売経費及び生産者受取収入（100kg当たり）（平成24年度）","04","農林水産業","01","農業","食品流通段階別価格形成調査","確報","平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","第１部青果物編","集出荷団体の販売収入、集出荷・販売経費及び生産者受取収入（100kg当たり）（平成24年度）","１　集出荷・販売費計、集出荷経費計及び生産者受取収入には、生産者による選別・荷造労働費が重複して含まれる。２　統計数値については、表示単位未満を四捨五入したため、合計値と内訳の計が一致しない場合がある。３　構成比は、１集出荷団体当たりの数値を用い算出しているため、表中の数値（100㎏当たり）を用い算出した値と一致しない場合がある。「集出荷・販売経費_集出荷経費_その他」は、減価償却費、集荷費、検査料、予冷費及び保管料である。「集出荷・販売経費_販売経費_その他」は、卸売代金送金料及び負担金である。","",""
"0003361845","食品流通段階別価格形成調査 確報 平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","年度次","201204-201303","2020-01-10","0","該当なし","1","2020-01-11","","00500232","食品流通段階別価格形成調査","00500","農林水産省","1","第２部水産物編 産地卸売業者の産地卸売数量、販売収入、経費等（平成24年度） 産地卸売数量","04","農林水産業","01","農業","食品流通段階別価格形成調査","確報","平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","第２部水産物編","産地卸売業者の産地卸売数量、販売収入、経費等（平成24年度）","産地卸売数量には、買入れたものを販売した際の数量を含む。","産地卸売数量",""
"0003361846","食品流通段階別価格形成調査 確報 平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","年度次","201204-201303","2020-01-10","0","該当なし","36","2020-01-11","","00500232","食品流通段階別価格形成調査","00500","農林水産省","1","第２部水産物編 産地卸売業者の産地卸売数量、販売収入、経費等（平成24年度） 販売収入、産地卸売手数料及び生産者への支払金額","04","農林水産業","01","農業","食品流通段階別価格形成調査","確報","平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","第２部水産物編","産地卸売業者の産地卸売数量、販売収入、経費等（平成24年度）","１　統計数値については、表示単位未満を四捨五入したため、合計値と内訳の計が一致しない場合がある。２　割合は、１業者当たりの数値を用い算出している。「販売収入_産地卸売金額又は産地卸売価格」は、買入れたものを販売した際の金額を含む。「産地卸売手数料等_その他の手数料」は、産地卸売業者が水揚料、選別料等を産地卸売手数料以外に産地卸売金額から控除している場合の手数料である。「産地卸売手数料等_買付販売差額」は、買入れたものを販売した際の差額である。「生産者への支払金額」は、水産物の販売収入から産地卸売手数料等を控除した金額である。","販売収入、産地卸売手数料及び生産者への支払金額",""
"0003361847","食品流通段階別価格形成調査 確報 平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","年度次","201204-201303","2020-01-10","0","該当なし","78","2020-01-11","","00500232","食品流通段階別価格形成調査","00500","農林水産省","1","第２部水産物編 産地卸売業者の産地卸売数量、販売収入、経費等（平成24年度） 産地卸売経費","04","農林水産業","01","農業","食品流通段階別価格形成調査","確報","平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","第２部水産物編","産地卸売業者の産地卸売数量、販売収入、経費等（平成24年度）","１　統計数値については、表示単位未満を四捨五入したため、合計値と内訳の計が一致しない場合がある。２　産地卸売経費は、水産物の取扱いに係る経費であり、それ以外の商品の経費は除いた。３　割合は、１業者当たりの数値を用い算出している。","産地卸売経費",""
"0003361848","食品流通段階別価格形成調査 確報 平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","年度次","201204-201303","2020-01-10","0","該当なし","33","2020-01-11","","00500232","食品流通段階別価格形成調査","00500","農林水産省","1","第２部水産物編 産地卸売業者の産地卸売数量、販売収入、経費等（平成24年度） 品目別の産地卸売数量、産地卸売金額及び産地卸売価格（１業者当たり）","04","農林水産業","01","農業","食品流通段階別価格形成調査","確報","平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","第２部水産物編","産地卸売業者の産地卸売数量、販売収入、経費等（平成24年度）","「産地卸売数量」「産地卸売金額」は、生食用生鮮・冷凍水産物であり、買入れたものを販売した際の数量及び金額を含み、加工・給餌向け等の水産物は除いた。","品目別の産地卸売数量、産地卸売金額及び産地卸売価格（１業者当たり）",""
"0003361849","食品流通段階別価格形成調査 確報 平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","年度次","201204-201303","2020-01-10","0","該当なし","75","2020-01-11","","00500232","食品流通段階別価格形成調査","00500","農林水産省","2","第２部水産物編 産地出荷業者の経費、仕入・販売状況等　(平成24年度) 水産物販売に係る販売収入、仕入金額及び産地出荷経費","04","農林水産業","01","農業","食品流通段階別価格形成調査","確報","平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","第２部水産物編","産地出荷業者の経費、仕入・販売状況等　(平成24年度)","１　統計数値については、表示単位未満を四捨五入したため、合計値と内訳の計が一致しない場合がある。２　産地出荷経費は、水産物の仕入・販売に係る経費で、それ以外の商品の仕入・販売経費は除いた。「販売収入_販売金額」は、消費地市場での卸売金額以外に産地の小売業者等に販売した金額を含む。","水産物販売に係る販売収入、仕入金額及び産地出荷経費",""
"0003361850","食品流通段階別価格形成調査 確報 平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","年度次","201204-201303","2020-01-10","0","該当なし","33","2020-01-11","","00500232","食品流通段階別価格形成調査","00500","農林水産省","2","第２部水産物編 産地出荷業者の経費、仕入・販売状況等　(平成24年度) 水産物の品目別の仕入金額及び卸売金額（１業者当たり）","04","農林水産業","01","農業","食品流通段階別価格形成調査","確報","平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","第２部水産物編","産地出荷業者の経費、仕入・販売状況等　(平成24年度)","「仕入金額」「卸売金額」は、消費地市場に出荷を行った生食用生鮮・冷凍水産物であり、加工・給餌向け等の水産物は除いた。「仕入金額」は、販売できなかったものを除いた金額である。","水産物の品目別の仕入金額及び卸売金額（１業者当たり）",""
"0003361764","食品流通段階別価格形成調査 確報 平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","年度次","201204-201303","2020-01-10","0","該当なし","16","2020-01-11","","00500232","食品流通段階別価格形成調査","00500","農林水産省","2-1","第１部青果物編 集出荷団体の販売収入、集出荷・販売経費等（品目別）（平成24年度）-青果物平均（調査対象16品目） 集出荷団体の販売収入","04","農林水産業","01","農業","食品流通段階別価格形成調査","確報","平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","第１部青果物編","集出荷団体の販売収入、集出荷・販売経費等（品目別）（平成24年度）-青果物平均（調査対象16品目）","１　統計数値については、表示単位未満を四捨五入したため、合計値と内訳の計が一致しない場合がある。２　割合は、１集出荷団体当たりの数値を用い算出している。","集出荷団体の販売収入",""
"0003361765","食品流通段階別価格形成調査 確報 平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","年度次","201204-201303","2020-01-10","0","該当なし","138","2020-01-11","","00500232","食品流通段階別価格形成調査","00500","農林水産省","2-1","第１部青果物編 集出荷団体の販売収入、集出荷・販売経費等（品目別）（平成24年度）-青果物平均（調査対象16品目） 集出荷・販売経費","04","農林水産業","01","農業","食品流通段階別価格形成調査","確報","平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","第１部青果物編","集出荷団体の販売収入、集出荷・販売経費等（品目別）（平成24年度）-青果物平均（調査対象16品目）","１　統計数値については、表示単位未満を四捨五入したため、合計値と内訳の計が一致しない場合がある。２　割合は、１集出荷団体当たりの数値を用い算出している。「集出荷・販売経費_販売経費_出荷運送料」は、卸売会社立替払運送料を含む。","集出荷・販売経費",""
"0003361766","食品流通段階別価格形成調査 確報 平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","年度次","201204-201303","2020-01-10","0","該当なし","4","2020-01-11","","00500232","食品流通段階別価格形成調査","00500","農林水産省","2-1","第１部青果物編 集出荷団体の販売収入、集出荷・販売経費等（品目別）（平成24年度）-青果物平均（調査対象16品目） 生産者受取収入","04","農林水産業","01","農業","食品流通段階別価格形成調査","確報","平成24年度食品流通段階別価格形成調査報告（青果物経費調査及び水産物経費調査）","第１部青果物編","集出荷団体の販売収入、集出荷・販売経費等（品目別）（平成24年度）-青果物平均（調査対象16品目）","１　割合は、１集出荷団体当たりの数値を用い算出している。","生産者受取収入",""
