"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY3"
"0003201460","生産者の米穀在庫等調査 確報 平成27年度生産者の米穀在庫等調査結果","年度次","201504-201603","2017-03-28","0","該当なし","60","2017-09-22","","00500244","生産者の米穀在庫等調査","00500","農林水産省","1","生産者の米穀在庫等調査 販売農家1戸当たり供給量、消費量、販売量、在庫量等（年度別） 水稲うるち米・もち米計","04","農林水産業","01","農業","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果","生産者の米穀在庫等調査","販売農家1戸当たり供給量、消費量、販売量、在庫量等（年度別）","水稲うるち米・もち米計","",""
"0003201480","生産者の米穀在庫等調査 確報 平成27年度生産者の米穀在庫等調査結果","年度次","201504-201603","2017-03-28","0","該当なし","60","2017-09-22","","00500244","生産者の米穀在庫等調査","00500","農林水産省","1","生産者の米穀在庫等調査 販売農家1戸当たり供給量、消費量、販売量、在庫量等（年度別） 水稲うるち米","04","農林水産業","01","農業","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果","生産者の米穀在庫等調査","販売農家1戸当たり供給量、消費量、販売量、在庫量等（年度別）","水稲うるち米","",""
"0003201500","生産者の米穀在庫等調査 確報 平成27年度生産者の米穀在庫等調査結果","年度次","201504-201603","2017-03-28","0","該当なし","60","2017-09-22","","00500244","生産者の米穀在庫等調査","00500","農林水産省","1","生産者の米穀在庫等調査 販売農家1戸当たり供給量、消費量、販売量、在庫量等（年度別） 水稲もち米","04","農林水産業","01","農業","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果","生産者の米穀在庫等調査","販売農家1戸当たり供給量、消費量、販売量、在庫量等（年度別）","水稲もち米","",""
"0003201461","生産者の米穀在庫等調査 確報 平成27年度生産者の米穀在庫等調査結果","年度次","201504-201603","2017-03-28","0","該当なし","195","2017-09-22","","00500244","生産者の米穀在庫等調査","00500","農林水産省","2","生産者の米穀在庫等調査 販売農家1戸当たり供給量、消費量、販売量、在庫量等（月別） 水稲うるち米","04","農林水産業","01","農業","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果","生産者の米穀在庫等調査","販売農家1戸当たり供給量、消費量、販売量、在庫量等（月別）","水稲うるち米","",""
"0003201481","生産者の米穀在庫等調査 確報 平成27年度生産者の米穀在庫等調査結果","年度次","201504-201603","2017-03-28","0","該当なし","195","2017-09-22","","00500244","生産者の米穀在庫等調査","00500","農林水産省","2","生産者の米穀在庫等調査 販売農家1戸当たり供給量、消費量、販売量、在庫量等（月別） 水稲もち米","04","農林水産業","01","農業","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果","生産者の米穀在庫等調査","販売農家1戸当たり供給量、消費量、販売量、在庫量等（月別）","水稲もち米","",""
"0003201520","生産者の米穀在庫等調査 確報 平成27年度生産者の米穀在庫等調査結果","年度次","201504-201603","2017-03-28","0","該当なし","208","2017-09-22","","00500244","生産者の米穀在庫等調査","00500","農林水産省","2","生産者の米穀在庫等調査 販売農家1戸当たり供給量、消費量、販売量、在庫量等（月別） 水稲うるち米・もち米計","04","農林水産業","01","農業","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果","生産者の米穀在庫等調査","販売農家1戸当たり供給量、消費量、販売量、在庫量等（月別）","水稲うるち米・もち米計","",""
"0003201501","生産者の米穀在庫等調査 確報 平成27年度生産者の米穀在庫等調査結果","年度次","201504-201603","2017-03-28","0","該当なし","91","2017-09-22","","00500244","生産者の米穀在庫等調査","00500","農林水産省","3","生産者の米穀在庫等調査 販売農家1戸当たり販売先別販売量・割合(月別） 水稲うるち米販売量","04","農林水産業","01","農業","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果","生産者の米穀在庫等調査","販売農家1戸当たり販売先別販売量・割合(月別）","水稲うるち米販売量","",""
"0003201521","生産者の米穀在庫等調査 確報 平成27年度生産者の米穀在庫等調査結果","年度次","201504-201603","2017-03-28","0","該当なし","91","2017-09-22","","00500244","生産者の米穀在庫等調査","00500","農林水産省","3","生産者の米穀在庫等調査 販売農家1戸当たり販売先別販売量・割合(月別） 水稲うるち米販売割合","04","農林水産業","01","農業","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果","生産者の米穀在庫等調査","販売農家1戸当たり販売先別販売量・割合(月別）","水稲うるち米販売割合","",""
"0003201462","生産者の米穀在庫等調査 確報 平成27年度生産者の米穀在庫等調査結果","年度次","201504-201603","2017-03-28","0","該当なし","165","2017-09-22","","00500244","生産者の米穀在庫等調査","00500","農林水産省","4","生産者の米穀在庫等調査 販売農家1戸当たり年間供給量、消費量、販売量、在庫量等(水稲作付面積規模別） 水稲うるち米・もち米計","04","農林水産業","01","農業","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果","生産者の米穀在庫等調査","販売農家1戸当たり年間供給量、消費量、販売量、在庫量等(水稲作付面積規模別）","水稲うるち米・もち米計","",""
"0003201482","生産者の米穀在庫等調査 確報 平成27年度生産者の米穀在庫等調査結果","年度次","201504-201603","2017-03-28","0","該当なし","165","2017-09-22","","00500244","生産者の米穀在庫等調査","00500","農林水産省","4","生産者の米穀在庫等調査 販売農家1戸当たり年間供給量、消費量、販売量、在庫量等(水稲作付面積規模別） 水稲うるち米","04","農林水産業","01","農業","生産者の米穀在庫等調査","確報","平成27年度生産者の米穀在庫等調査結果","生産者の米穀在庫等調査","販売農家1戸当たり年間供給量、消費量、販売量、在庫量等(水稲作付面積規模別）","水稲うるち米","",""
