"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE"
"0003324376","野生鳥獣資源利用実態調査 確報 平成29年度野生鳥獣資源利用実態調査","年次","201801-201812","2018-12-25","0","該当なし","12","2025-03-04","","00500248","野生鳥獣資源利用実態調査","00500","農林水産省","1-1","第１部　野生鳥獣資源利用実態調査 食肉処理施設の稼働状況（全国） 年間施設稼働日数規模別施設数等","04","農林水産業","02","畜産業","野生鳥獣資源利用実態調査","確報","平成29年度野生鳥獣資源利用実態調査","第１部　野生鳥獣資源利用実態調査","食肉処理施設の稼働状況（全国）","１施設当たりの数値は、総数を調査対象者数で除して算出している。","年間施設稼働日数規模別施設数等","",""
"0003324377","野生鳥獣資源利用実態調査 確報 平成29年度野生鳥獣資源利用実態調査","年次","201801-201812","2018-12-25","0","該当なし","24","2025-03-04","","00500248","野生鳥獣資源利用実態調査","00500","農林水産省","1-1","第１部　野生鳥獣資源利用実態調査 食肉処理施設の稼働状況（全国） 年間作業従事者数及び専従者数規模別施設数","04","農林水産業","02","畜産業","野生鳥獣資源利用実態調査","確報","平成29年度野生鳥獣資源利用実態調査","第１部　野生鳥獣資源利用実態調査","食肉処理施設の稼働状況（全国）","","年間作業従事者数及び専従者数規模別施設数","",""
"0003324430","野生鳥獣資源利用実態調査 確報 平成29年度野生鳥獣資源利用実態調査","年次","201801-201812","2018-12-25","0","該当なし","531","2025-03-04","","00500248","野生鳥獣資源利用実態調査","00500","農林水産省","1-10","第１部　野生鳥獣資源利用実態調査 食肉処理施設の概要（平成29年度の休業含む。）（全国農業地域別、都道府県別） 設立年別施設数","04","農林水産業","02","畜産業","野生鳥獣資源利用実態調査","確報","平成29年度野生鳥獣資源利用実態調査","第１部　野生鳥獣資源利用実態調査","食肉処理施設の概要（平成29年度の休業含む。）（全国農業地域別、都道府県別）","","設立年別施設数","",""
"0003324431","野生鳥獣資源利用実態調査 確報 平成29年度野生鳥獣資源利用実態調査","年次","201801-201812","2018-12-25","0","該当なし","236","2025-03-04","","00500248","野生鳥獣資源利用実態調査","00500","農林水産省","1-10","第１部　野生鳥獣資源利用実態調査 食肉処理施設の概要（平成29年度の休業含む。）（全国農業地域別、都道府県別） 設置者・運営者別施設数","04","農林水産業","02","畜産業","野生鳥獣資源利用実態調査","確報","平成29年度野生鳥獣資源利用実態調査","第１部　野生鳥獣資源利用実態調査","食肉処理施設の概要（平成29年度の休業含む。）（全国農業地域別、都道府県別）","","設置者・運営者別施設数","",""
"0003324432","野生鳥獣資源利用実態調査 確報 平成29年度野生鳥獣資源利用実態調査","年次","201801-201812","2018-12-25","0","該当なし","354","2025-03-04","","00500248","野生鳥獣資源利用実態調査","00500","農林水産省","1-10","第１部　野生鳥獣資源利用実態調査 食肉処理施設の概要（平成29年度の休業含む。）（全国農業地域別、都道府県別） 施設面積規模別施設数","04","農林水産業","02","畜産業","野生鳥獣資源利用実態調査","確報","平成29年度野生鳥獣資源利用実態調査","第１部　野生鳥獣資源利用実態調査","食肉処理施設の概要（平成29年度の休業含む。）（全国農業地域別、都道府県別）","１施設当たりの施設面積は、不明な施設を除いている。","施設面積規模別施設数","",""
"0003324433","野生鳥獣資源利用実態調査 確報 平成29年度野生鳥獣資源利用実態調査","年次","201801-201812","2018-12-25","0","該当なし","295","2025-03-04","","00500248","野生鳥獣資源利用実態調査","00500","農林水産省","1-10","第１部　野生鳥獣資源利用実態調査 食肉処理施設の概要（平成29度の休業含む。）（全国農業地域別、都道府県別） ライン設備別施設数","04","農林水産業","02","畜産業","野生鳥獣資源利用実態調査","確報","平成29年度野生鳥獣資源利用実態調査","第１部　野生鳥獣資源利用実態調査","食肉処理施設の概要（平成29度の休業含む。）（全国農業地域別、都道府県別）","","ライン設備別施設数","",""
"0003324434","野生鳥獣資源利用実態調査 確報 平成29年度野生鳥獣資源利用実態調査","年次","201801-201812","2018-12-25","0","該当なし","236","2025-03-04","","00500248","野生鳥獣資源利用実態調査","00500","農林水産省","1-10","第１部　野生鳥獣資源利用実態調査 食肉処理施設の概要（平成29年度の休業含む。）（全国農業地域別、都道府県別） 鳥獣種別の年間処理能力頭数・羽数","04","農林水産業","02","畜産業","野生鳥獣資源利用実態調査","確報","平成29年度野生鳥獣資源利用実態調査","第１部　野生鳥獣資源利用実態調査","食肉処理施設の概要（平成29年度の休業含む。）（全国農業地域別、都道府県別）","","鳥獣種別の年間処理能力頭数・羽数","",""
"0003324435","野生鳥獣資源利用実態調査 確報 平成29年度野生鳥獣資源利用実態調査","年次","201801-201812","2018-12-25","0","該当なし","177","2025-03-04","","00500248","野生鳥獣資源利用実態調査","00500","農林水産省","1-10","第１部　野生鳥獣資源利用実態調査 食肉処理施設の概要（平成29年度の休業含む。）（全国農業地域別、都道府県別） 金属探知機の有無別施設数","04","農林水産業","02","畜産業","野生鳥獣資源利用実態調査","確報","平成29年度野生鳥獣資源利用実態調査","第１部　野生鳥獣資源利用実態調査","食肉処理施設の概要（平成29年度の休業含む。）（全国農業地域別、都道府県別）","","金属探知機の有無別施設数","",""
"0003324436","野生鳥獣資源利用実態調査 確報 平成29年度野生鳥獣資源利用実態調査","年次","201801-201812","2018-12-25","0","該当なし","236","2025-03-04","","00500248","野生鳥獣資源利用実態調査","00500","農林水産省","1-10","第１部　野生鳥獣資源利用実態調査 食肉処理施設の概要（平成29年度の休業含む。）（全国農業地域別、都道府県別） 食肉処理実施期間別施設数","04","農林水産業","02","畜産業","野生鳥獣資源利用実態調査","確報","平成29年度野生鳥獣資源利用実態調査","第１部　野生鳥獣資源利用実態調査","食肉処理施設の概要（平成29年度の休業含む。）（全国農業地域別、都道府県別）","","食肉処理実施期間別施設数","",""
"0003324378","野生鳥獣資源利用実態調査 確報 平成29年度野生鳥獣資源利用実態調査","年次","201801-201812","2018-12-25","0","該当なし","16","2025-03-04","","00500248","野生鳥獣資源利用実態調査","00500","農林水産省","1-2","第１部　野生鳥獣資源利用実態調査 食肉処理施設の解体実績等（全国） 鳥獣種別の解体頭・羽数","04","農林水産業","02","畜産業","野生鳥獣資源利用実態調査","確報","平成29年度野生鳥獣資源利用実態調査","第１部　野生鳥獣資源利用実態調査","食肉処理施設の解体実績等（全国）","","鳥獣種別の解体頭・羽数","",""
