"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0004011100","食料需給表 確報 平成27年度食料需給表","年度次","201504-201603","2019-03-13","0","該当なし","1559","2024-01-15","","00500300","食料需給表","00500","農林水産省","1","年度別食料需給表 平成26年食料需給表（確定値）","04","農林水産業","01","農業","食料需給表","確報","平成27年度食料需給表","年度別食料需給表","平成26年食料需給表（確定値）","","",""
"0004011160","食料需給表 確報 平成27年度食料需給表","年度次","201504-201603","2019-03-13","0","該当なし","1559","2024-01-15","","00500300","食料需給表","00500","農林水産省","1","年度別食料需給表 平成27年食料需給表（概算値）","04","農林水産業","01","農業","食料需給表","確報","平成27年度食料需給表","年度別食料需給表","平成27年食料需給表（概算値）","","",""
"0004011383","食料需給表 確報 平成27年度食料需給表","年度次","201504-201603","2019-03-13","0","該当なし","966","2024-01-15","","00500300","食料需給表","00500","農林水産省","1","参考統計表 主要加工食品の生産量　穀類を主原料とする主要加工食品の生産量","04","農林水産業","01","農業","食料需給表","確報","平成27年度食料需給表","参考統計表","主要加工食品の生産量　穀類を主原料とする主要加工食品の生産量","","",""
"0004011387","食料需給表 確報 平成27年度食料需給表","年度次","201504-201603","2019-03-13","0","該当なし","168","2024-01-15","","00500300","食料需給表","00500","農林水産省","1","参考統計表 主要加工食品の生産量　でん粉を主原料とする主要加工食品の生産量","04","農林水産業","01","農業","食料需給表","確報","平成27年度食料需給表","参考統計表","主要加工食品の生産量　でん粉を主原料とする主要加工食品の生産量","","",""
"0004011388","食料需給表 確報 平成27年度食料需給表","年度次","201504-201603","2019-03-13","0","該当なし","360","2024-01-15","","00500300","食料需給表","00500","農林水産省","1","参考統計表 主要加工食品の生産量　豆類・油脂類を主原料とする加工食品の生産量","04","農林水産業","01","農業","食料需給表","確報","平成27年度食料需給表","参考統計表","主要加工食品の生産量　豆類・油脂類を主原料とする加工食品の生産量","","",""
"0004011389","食料需給表 確報 平成27年度食料需給表","年度次","201504-201603","2019-03-13","0","該当なし","162","2024-01-15","","00500300","食料需給表","00500","農林水産省","1","参考統計表 主要加工食品の生産量　野菜を主原料とする主要加工食品の生産量","04","農林水産業","01","農業","食料需給表","確報","平成27年度食料需給表","参考統計表","主要加工食品の生産量　野菜を主原料とする主要加工食品の生産量","","",""
"0004011420","食料需給表 確報 平成27年度食料需給表","年度次","201504-201603","2019-03-13","0","該当なし","224","2024-01-15","","00500300","食料需給表","00500","農林水産省","1","参考統計表 主要加工食品の生産量　肉類・鶏卵を主原料とする主要加工食品の生産量","04","農林水産業","01","農業","食料需給表","確報","平成27年度食料需給表","参考統計表","主要加工食品の生産量　肉類・鶏卵を主原料とする主要加工食品の生産量","","",""
"0004011200","食料需給表 確報 平成27年度食料需給表","年度次","201504-201603","2019-03-13","0","該当なし","47544","2024-01-15","","00500300","食料需給表","00500","農林水産省","2","項目別累年表 項目別累年表","04","農林水産業","01","農業","食料需給表","確報","平成27年度食料需給表","項目別累年表","項目別累年表","","",""
"0004011421","食料需給表 確報 平成27年度食料需給表","年度次","201504-201603","2019-03-13","0","該当なし","765","2024-01-15","","00500300","食料需給表","00500","農林水産省","2","参考統計表 飼料需給表","04","農林水産業","01","農業","食料需給表","確報","平成27年度食料需給表","参考統計表","飼料需給表","","",""
"0004011220","食料需給表 確報 平成27年度食料需給表","年度次","201504-201603","2022-03-18","0","該当なし","63230","2024-01-15","","00500300","食料需給表","00500","農林水産省","3","品目別累年表 品目別累年表","04","農林水産業","01","農業","食料需給表","確報","平成27年度食料需給表","品目別累年表","品目別累年表","","",""
