"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003340954","容器包装利用・製造等実態調査 確報","年度次","0","2019-07-16","0","該当なし","36","2019-07-22","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","1","特定事業者責任比率","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","特定事業者責任比率","【特定事業者責任比率の算定の考え方】　今年度の容器包装利用・製造等実態調査及び容器包装廃棄物分類調査の結果に基づいて特定事業者責任比率を算定し、かつ前年度の調査結果に基づく同比率と平均することで公表数値を算出。","","","",""
"0003340955","容器包装利用・製造等実態調査 確報","年度次","0","2019-07-16","0","該当なし","90","2019-07-23","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","2","再商品化義務総量","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","再商品化義務総量","【再商品化義務総量の算定の考え方】　品目毎に再商品化見込量と分別収集計画量の少ない方を基礎として、特定事業者責任比率を乗じて再商品化義務総量を算出。","","","",""
"0003340956","容器包装利用・製造等実態調査 確報","年度次","0","2019-07-16","0","該当なし","6","2019-07-22","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","3","特定容器比率","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","特定容器比率","【算定の考え方】　今年度の容器包装利用・製造等実態調査及び容器包装廃棄物分類調査の結果に基づいて特定容器比率を算定し、かつ前年度の調査結果に基づく同比率と平均することで公表数値を算出。　なお、ガラス製容器及びＰＥＴボトルは、いずれも特定容器のみであって特定包装はないため、本比率は１００％とする。","","","",""
"0003340950","容器包装利用・製造等実態調査 確報","年度次","0","2019-07-16","0","該当なし","129","2019-07-22","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","4","業種別比率","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","業種別比率","【算定の考え方】　今年度の容器包装利用・製造等実態調査及び容器包装廃棄物分類調査の結果に基づいて業種別比率を算定し、かつ前年度の調査結果に基づく同比率と平均することで公表数値を算出。","","","",""
"0003340951","容器包装利用・製造等実態調査 確報","年度次","0","2019-07-16","0","該当なし","222","2019-07-22","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","5","業種別特定容器利用事業者比率","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","業種別特定容器利用事業者比率","【算定の考え方】　今年度の容器包装利用・製造等実態調査及び容器包装廃棄物分類調査の結果に基づいて業種別特定容器利用事業者比率を算定し、かつ前年度の調査結果に基づく同比率と平均することで公表数値を算出。","","","",""
"0003340952","容器包装利用・製造等実態調査 確報","年度次","0","2019-07-16","0","該当なし","228","2019-07-22","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","6","事業系比率","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","事業系比率","【算定の考え方】　今年度の容器包装利用・製造等実態調査及び容器包装廃棄物分類調査の結果に基づいて事業系比率を算定し、かつ前年度の調査結果に基づく同比率と平均することで公表数値を算出。","","","",""
"0003340953","容器包装利用・製造等実態調査 確報","年度次","0","2019-07-16","0","該当なし","228","2019-07-22","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","7","当該業種全体の容器包装廃棄物の排出量","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","当該業種全体の容器包装廃棄物の排出量","【算定の考え方】　今年度の容器包装利用・製造等実態調査及び容器包装廃棄物分類調査の結果に基づいて当該業種全体の容器包装廃棄物の排出見込量を算定し、かつ前年度の調査結果に基づく同排出見込量と平均することで公表数値を算出。","","","",""
"0001873381","容器包装利用・製造等実態調査 確報 令和元年度（平成31年度）容器包装利用・製造等実態調査","年度次","201904-202003","2021-08-31","0","該当なし","12","2021-11-05","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","1","統計表 特定事業者責任比率","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","特定事業者責任比率","","令和元年度（平成31年度）容器包装利用・製造等実態調査","統計表","",""
"0001873382","容器包装利用・製造等実態調査 確報 令和元年度（平成31年度）容器包装利用・製造等実態調査","年度次","201904-202003","2021-08-31","0","該当なし","30","2021-11-05","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","2","統計表 再商品化義務総量","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","再商品化義務総量","","令和元年度（平成31年度）容器包装利用・製造等実態調査","統計表","",""
"0001873383","容器包装利用・製造等実態調査 確報 令和元年度（平成31年度）容器包装利用・製造等実態調査","年度次","201904-202003","2021-08-31","0","該当なし","2","2021-11-05","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","3","統計表 特定容器比率","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","特定容器比率","","令和元年度（平成31年度）容器包装利用・製造等実態調査","統計表","",""
"0003427333","容器包装利用・製造等実態調査 確報 令和元年度（平成31年度）容器包装利用・製造等実態調査","年度次","201904-202003","2021-08-31","0","該当なし","43","2021-11-05","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","4","統計表 業種別比率","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","業種別比率","","令和元年度（平成31年度）容器包装利用・製造等実態調査","統計表","",""
"0001873385","容器包装利用・製造等実態調査 確報 令和元年度（平成31年度）容器包装利用・製造等実態調査","年度次","201904-202003","2021-08-31","0","該当なし","74","2021-11-05","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","5","統計表 業種別特定容器利用事業者比率","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","業種別特定容器利用事業者比率","","令和元年度（平成31年度）容器包装利用・製造等実態調査","統計表","",""
"0001873386","容器包装利用・製造等実態調査 確報 令和元年度（平成31年度）容器包装利用・製造等実態調査","年度次","201904-202003","2021-08-31","0","該当なし","76","2021-11-05","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","6","統計表 事業系比率","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","事業系比率","","令和元年度（平成31年度）容器包装利用・製造等実態調査","統計表","",""
"0001873387","容器包装利用・製造等実態調査 確報 令和元年度（平成31年度）容器包装利用・製造等実態調査","年度次","201904-202003","2021-08-31","0","該当なし","76","2021-11-05","","00500301","容器包装利用・製造等実態調査","00500","農林水産省","7","統計表 当該業種全体の容器包装廃棄物の排出見込量","14","司法・安全・環境","05","環境","容器包装利用・製造等実態調査","確報","当該業種全体の容器包装廃棄物の排出見込量","","令和元年度（平成31年度）容器包装利用・製造等実態調査","統計表","",""
