"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE"
"0003366175","地域特産野菜生産状況調査 確報 平成24年産地域特産野菜生産状況","年次","201201-201212","2020-01-23","0","該当なし","276","2024-07-08","","00500501","地域特産野菜生産状況調査","00500","農林水産省","2","統計表 野菜の品目別、年次別生産状況（総括表）","04","農林水産業","01","農業","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","統計表","野菜の品目別、年次別生産状況（総括表）","注：「うど（伏込み）」及び「マッシュルーム」の作付面積の単位は、千㎡である。","",""
"0003366176","地域特産野菜生産状況調査 確報 平成24年産地域特産野菜生産状況","年次","201201-201212","2020-01-23","0","該当なし","495","2024-07-08","","00500501","地域特産野菜生産状況調査","00500","農林水産省","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 あさつき","04","農林水産業","01","農業","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","統計表","野菜の品目別、都道府県別生産状況  作物面積収穫量等","","あさつき",""
"0003366177","地域特産野菜生産状況調査 確報 平成24年産地域特産野菜生産状況","年次","201201-201212","2020-01-23","0","該当なし","550","2024-07-08","","00500501","地域特産野菜生産状況調査","00500","農林水産省","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 うど","04","農林水産業","01","農業","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","統計表","野菜の品目別、都道府県別生産状況  作物面積収穫量等","","うど",""
"0003366178","地域特産野菜生産状況調査 確報 平成24年産地域特産野菜生産状況","年次","201201-201212","2020-01-23","0","該当なし","495","2024-07-08","","00500501","地域特産野菜生産状況調査","00500","農林水産省","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 うるい","04","農林水産業","01","農業","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","統計表","野菜の品目別、都道府県別生産状況  作物面積収穫量等","","うるい",""
"0003366179","地域特産野菜生産状況調査 確報 平成24年産地域特産野菜生産状況","年次","201201-201212","2020-01-23","0","該当なし","495","2024-07-08","","00500501","地域特産野菜生産状況調査","00500","農林水産省","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 エシャレット","04","農林水産業","01","農業","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","統計表","野菜の品目別、都道府県別生産状況  作物面積収穫量等","","エシャレット",""
"0003366180","地域特産野菜生産状況調査 確報 平成24年産地域特産野菜生産状況","年次","201201-201212","2020-01-23","0","該当なし","495","2024-07-08","","00500501","地域特産野菜生産状況調査","00500","農林水産省","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 オクラ","04","農林水産業","01","農業","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","統計表","野菜の品目別、都道府県別生産状況  作物面積収穫量等","","オクラ",""
"0003366181","地域特産野菜生産状況調査 確報 平成24年産地域特産野菜生産状況","年次","201201-201212","2020-01-23","0","該当なし","110","2024-07-08","","00500501","地域特産野菜生産状況調査","00500","農林水産省","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 かいわれだいこん","04","農林水産業","01","農業","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","統計表","野菜の品目別、都道府県別生産状況  作物面積収穫量等","","かいわれだいこん",""
"0003366182","地域特産野菜生産状況調査 確報 平成24年産地域特産野菜生産状況","年次","201201-201212","2020-01-23","0","該当なし","825","2024-07-08","","00500501","地域特産野菜生産状況調査","00500","農林水産省","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 かんぴょう","04","農林水産業","01","農業","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","統計表","野菜の品目別、都道府県別生産状況  作物面積収穫量等","","かんぴょう",""
"0003366183","地域特産野菜生産状況調査 確報 平成24年産地域特産野菜生産状況","年次","201201-201212","2020-01-23","0","該当なし","495","2024-07-08","","00500501","地域特産野菜生産状況調査","00500","農林水産省","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 クレソン","04","農林水産業","01","農業","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","統計表","野菜の品目別、都道府県別生産状況  作物面積収穫量等","","クレソン",""
"0003366184","地域特産野菜生産状況調査 確報 平成24年産地域特産野菜生産状況","年次","201201-201212","2020-01-23","0","該当なし","495","2024-07-08","","00500501","地域特産野菜生産状況調査","00500","農林水産省","3-1","統計表 野菜の品目別、都道府県別生産状況  作物面積収穫量等 くわい","04","農林水産業","01","農業","地域特産野菜生産状況調査","確報","平成24年産地域特産野菜生産状況","統計表","野菜の品目別、都道府県別生産状況  作物面積収穫量等","","くわい",""
