"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION"
"0003408599","特産果樹生産動態等調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","3393","2024-04-04","","00500503","特産果樹生産動態等調査","00500","農林水産省","1-1","果樹品種別生産動向調査 栽培面積累年統計　うんしゅうみかん","04","農林水産業","01","農業","特産果樹生産動態等調査","長期累年","果樹品種別生産動向調査","栽培面積累年統計　うんしゅうみかん","｢品種登録が済んでいるもの」を「登録済」と省略して記載。「品種登録がされていないもの」を「未登録」と省略して記載。"
"0003400285","特産果樹生産動態等調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","28","2024-04-04","","00500503","特産果樹生産動態等調査","00500","農林水産省","1-10","果樹品種別生産動向調査 栽培面積累年統計　中国なし","04","農林水産業","01","農業","特産果樹生産動態等調査","長期累年","果樹品種別生産動向調査","栽培面積累年統計　中国なし","｢品種登録が済んでいるもの」を「登録済」と省略して記載。「品種登録がされていないもの」を「未登録」と省略して記載。"
"0003400286","特産果樹生産動態等調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","3283","2024-04-04","","00500503","特産果樹生産動態等調査","00500","農林水産省","1-11","果樹品種別生産動向調査 栽培面積累年統計　もも（生食用）","04","農林水産業","01","農業","特産果樹生産動態等調査","長期累年","果樹品種別生産動向調査","栽培面積累年統計　もも（生食用）","｢品種登録が済んでいるもの」を「登録済」と省略して記載。「品種登録がされていないもの」を「未登録」と省略して記載。"
"0003400287","特産果樹生産動態等調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","122","2024-04-04","","00500503","特産果樹生産動態等調査","00500","農林水産省","1-12","果樹品種別生産動向調査 栽培面積累年統計　もも（加工用）","04","農林水産業","01","農業","特産果樹生産動態等調査","長期累年","果樹品種別生産動向調査","栽培面積累年統計　もも（加工用）","｢品種登録が済んでいるもの」を「登録済」と省略して記載。「品種登録がされていないもの」を「未登録」と省略して記載。"
"0003400288","特産果樹生産動態等調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","264","2024-04-04","","00500503","特産果樹生産動態等調査","00500","農林水産省","1-13","果樹品種別生産動向調査 栽培面積累年統計　ネクタリン","04","農林水産業","01","農業","特産果樹生産動態等調査","長期累年","果樹品種別生産動向調査","栽培面積累年統計　ネクタリン","｢品種登録が済んでいるもの」を「登録済」と省略して記載。「品種登録がされていないもの」を「未登録」と省略して記載。"
"0003400289","特産果樹生産動態等調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","1118","2024-04-04","","00500503","特産果樹生産動態等調査","00500","農林水産省","1-14","果樹品種別生産動向調査 栽培面積累年統計　すもも","04","農林水産業","01","農業","特産果樹生産動態等調査","長期累年","果樹品種別生産動向調査","栽培面積累年統計　すもも","｢品種登録が済んでいるもの」を「登録済」と省略して記載。「品種登録がされていないもの」を「未登録」と省略して記載。"
"0003400290","特産果樹生産動態等調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","446","2024-04-04","","00500503","特産果樹生産動態等調査","00500","農林水産省","1-15","果樹品種別生産動向調査 栽培面積累年統計　プルーン","04","農林水産業","01","農業","特産果樹生産動態等調査","長期累年","果樹品種別生産動向調査","栽培面積累年統計　プルーン","｢品種登録が済んでいるもの」を「登録済」と省略して記載。「品種登録がされていないもの」を「未登録」と省略して記載。"
"0003400291","特産果樹生産動態等調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","817","2024-04-04","","00500503","特産果樹生産動態等調査","00500","農林水産省","1-16","果樹品種別生産動向調査 栽培面積累年統計　おうとう","04","農林水産業","01","農業","特産果樹生産動態等調査","長期累年","果樹品種別生産動向調査","栽培面積累年統計　おうとう","｢品種登録が済んでいるもの」を「登録済」と省略して記載。「品種登録がされていないもの」を「未登録」と省略して記載。"
"0003400292","特産果樹生産動態等調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","2458","2024-04-04","","00500503","特産果樹生産動態等調査","00500","農林水産省","1-17","果樹品種別生産動向調査 栽培面積累年統計　うめ","04","農林水産業","01","農業","特産果樹生産動態等調査","長期累年","果樹品種別生産動向調査","栽培面積累年統計　うめ","｢品種登録が済んでいるもの」を「登録済」と省略して記載。「品種登録がされていないもの」を「未登録」と省略して記載。"
"0003400293","特産果樹生産動態等調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","324","2024-04-04","","00500503","特産果樹生産動態等調査","00500","農林水産省","1-18","果樹品種別生産動向調査 栽培面積累年統計　びわ","04","農林水産業","01","農業","特産果樹生産動態等調査","長期累年","果樹品種別生産動向調査","栽培面積累年統計　びわ","｢品種登録が済んでいるもの」を「登録済」と省略して記載。「品種登録がされていないもの」を「未登録」と省略して記載。"
"0003400294","特産果樹生産動態等調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","2336","2024-04-04","","00500503","特産果樹生産動態等調査","00500","農林水産省","1-19","果樹品種別生産動向調査 栽培面積累年統計　かき","04","農林水産業","01","農業","特産果樹生産動態等調査","長期累年","果樹品種別生産動向調査","栽培面積累年統計　かき","｢品種登録が済んでいるもの」を「登録済」と省略して記載。「品種登録がされていないもの」を「未登録」と省略して記載。"
"0003400090","特産果樹生産動態等調査 長期累年","年次","200701-200712","2020-03-04","0","該当なし","490","2024-04-04","","00500503","特産果樹生産動態等調査","00500","農林水産省","1-2","果樹品種別生産動向調査 栽培面積累年統計　なつみかん","04","農林水産業","01","農業","特産果樹生産動態等調査","長期累年","果樹品種別生産動向調査","栽培面積累年統計　なつみかん","｢品種登録が済んでいるもの」を「登録済」と省略して記載。「品種登録がされていないもの」を「未登録」と省略して記載。"
