"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE"
"0003295860","農業経営改善計画の認定状況 確報 農業経営改善計画の営農類型別認定状況（平成28年３月末）","年度次","201604-201703","2019-03-25","0","該当なし","68","2019-03-29","","00500600","農業経営改善計画の営農類型別認定状況","00500","農林水産省","1-1","農業経営改善計画の営農類型別認定状況 農業経営改善計画の営農類型別認定状況（総数及び法人）","04","農林水産業","01","農業","農業経営改善計画の認定状況","確報","農業経営改善計画の営農類型別認定状況（平成28年３月末）","農業経営改善計画の営農類型別認定状況","農業経営改善計画の営農類型別認定状況（総数及び法人）","",""
"0003295861","農業経営改善計画の認定状況 確報 農業経営改善計画の営農類型別認定状況（平成28年３月末）","年度次","201604-201703","2019-03-25","0","該当なし","408","2019-03-29","","00500600","農業経営改善計画の営農類型別認定状況","00500","農林水産省","1-2","農業経営改善計画の営農類型別認定状況 農業経営改善計画の営農類型別認定状況（年齢階層別）","04","農林水産業","01","農業","農業経営改善計画の認定状況","確報","農業経営改善計画の営農類型別認定状況（平成28年３月末）","農業経営改善計画の営農類型別認定状況","農業経営改善計画の営農類型別認定状況（年齢階層別）","※法人、共同申請による農業経営改善計画の認定数を除く。",""
"0003295862","農業経営改善計画の認定状況 確報 農業経営改善計画の営農類型別認定状況（平成28年３月末）","年度次","201604-201703","2019-03-25","0","該当なし","204","2019-03-29","","00500600","農業経営改善計画の営農類型別認定状況","00500","農林水産省","1-3","農業経営改善計画の営農類型別認定状況 農業経営改善計画の営農類型別認定状況（法人形態別）","04","農林水産業","01","農業","農業経営改善計画の認定状況","確報","農業経営改善計画の営農類型別認定状況（平成28年３月末）","農業経営改善計画の営農類型別認定状況","農業経営改善計画の営農類型別認定状況（法人形態別）","※法人の農業経営改善計画の認定数である。",""
"0003295863","農業経営改善計画の認定状況 確報 農業経営改善計画の営農類型別認定状況（平成28年３月末）","年度次","201604-201703","2019-03-25","0","該当なし","550","2019-03-29","","00500600","農業経営改善計画の営農類型別認定状況","00500","農林水産省","1-4","農業経営改善計画の営農類型別認定状況 都道府県別農業経営改善計画の認定状況（総数及び法人・女性・共同申請別）","04","農林水産業","01","農業","農業経営改善計画の認定状況","確報","農業経営改善計画の営農類型別認定状況（平成28年３月末）","農業経営改善計画の営農類型別認定状況","都道府県別農業経営改善計画の認定状況（総数及び法人・女性・共同申請別）","",""
"0003295864","農業経営改善計画の認定状況 確報 農業経営改善計画の営農類型別認定状況（平成28年３月末）","年度次","201604-201703","2019-03-25","0","該当なし","1320","2019-03-29","","00500600","農業経営改善計画の営農類型別認定状況","00500","農林水産省","1-5","農業経営改善計画の営農類型別認定状況 都道府県別農業経営改善計画の認定状況（年齢階層別）","04","農林水産業","01","農業","農業経営改善計画の認定状況","確報","農業経営改善計画の営農類型別認定状況（平成28年３月末）","農業経営改善計画の営農類型別認定状況","都道府県別農業経営改善計画の認定状況（年齢階層別）","※法人、共同申請による農業経営改善計画の認定数を除く。",""
"0003295865","農業経営改善計画の認定状況 確報 農業経営改善計画の営農類型別認定状況（平成28年３月末）","年度次","201604-201703","2019-03-25","0","該当なし","660","2019-03-29","","00500600","農業経営改善計画の営農類型別認定状況","00500","農林水産省","1-6","農業経営改善計画の営農類型別認定状況 都道府県別農業経営改善計画の認定状況及び構成比（法人形態別）","04","農林水産業","01","農業","農業経営改善計画の認定状況","確報","農業経営改善計画の営農類型別認定状況（平成28年３月末）","農業経営改善計画の営農類型別認定状況","都道府県別農業経営改善計画の認定状況及び構成比（法人形態別）","※法人の農業経営改善計画の認定数である。",""
"0003295866","農業経営改善計画の認定状況 確報 農業経営改善計画の営農類型別認定状況（平成28年３月末）","年度次","201604-201703","2019-03-25","0","該当なし","935","2019-03-29","","00500600","農業経営改善計画の営農類型別認定状況","00500","農林水産省","1-7","農業経営改善計画の営農類型別認定状況 都道府県別農業経営改善計画の営農類型別認定状況","04","農林水産業","01","農業","農業経営改善計画の認定状況","確報","農業経営改善計画の営農類型別認定状況（平成28年３月末）","農業経営改善計画の営農類型別認定状況","都道府県別農業経営改善計画の営農類型別認定状況","",""
"0003295867","農業経営改善計画の認定状況 確報 農業経営改善計画の営農類型別認定状況（平成28年３月末）","年度次","201604-201703","2019-03-25","0","該当なし","935","2019-03-29","","00500600","農業経営改善計画の営農類型別認定状況","00500","農林水産省","1-8","農業経営改善計画の営農類型別認定状況 都道府県別農業経営改善計画の営農類型別構成比","04","農林水産業","01","農業","農業経営改善計画の認定状況","確報","農業経営改善計画の営農類型別認定状況（平成28年３月末）","農業経営改善計画の営農類型別認定状況","都道府県別農業経営改善計画の営農類型別構成比","",""
"0003295868","農業経営改善計画の認定状況 確報 農業経営改善計画の営農類型別認定状況（平成28年３月末）","年度次","201604-201703","2019-03-25","0","該当なし","330","2019-03-29","","00500600","農業経営改善計画の営農類型別認定状況","00500","農林水産省","","","04","農林水産業","01","農業","農業経営改善計画の認定状況","確報","農業経営改善計画の営農類型別認定状況（平成28年３月末）","認定農業者の認定状況（平成28年３月末現在）","基本構想の策定状況及び認定農業者数","基本構想策定数は、農業経営基盤の強化の促進に関する基本的な構想を策定した市町村の数をさす。認定市町村数は、基本構想に基づき、農業経営改善計画の認定を行っている市町村の数をさす。","認定農業者の認定状況（平成28年３月末現在） 基本構想の策定状況及び認定農業者数"
"0003334080","農業経営改善計画の認定状況 確報 農業経営改善計画の営農類型別認定状況（平成29年３月末）","年度次","201604-201703","2019-06-24","0","該当なし","68","2019-06-25","","00500600","農業経営改善計画の営農類型別認定状況","00500","農林水産省","1-1","農業経営改善計画の営農類型別認定状況 農業経営改善計画の営農類型別認定状況（総数及び法人）","04","農林水産業","01","農業","農業経営改善計画の認定状況","確報","農業経営改善計画の営農類型別認定状況（平成29年３月末）","農業経営改善計画の営農類型別認定状況","農業経営改善計画の営農類型別認定状況（総数及び法人）","",""
"0003334081","農業経営改善計画の認定状況 確報 農業経営改善計画の営農類型別認定状況（平成29年３月末）","年度次","201604-201703","2019-06-24","0","該当なし","408","2019-06-25","","00500600","農業経営改善計画の営農類型別認定状況","00500","農林水産省","1-2","農業経営改善計画の営農類型別認定状況 農業経営改善計画の営農類型別認定状況（年齢階層別）","04","農林水産業","01","農業","農業経営改善計画の認定状況","確報","農業経営改善計画の営農類型別認定状況（平成29年３月末）","農業経営改善計画の営農類型別認定状況","農業経営改善計画の営農類型別認定状況（年齢階層別）","※法人、共同申請による農業経営改善計画の認定数を除く。",""
