"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0003363370","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","2614","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","1","全国統計表（年度別） 総括表（加入及び事故）","04","農林水産業","01","農業","園芸施設共済統計表","確報","全国統計表（年度別）","総括表（加入及び事故）","注:1. 引受組合等数及び被害組合等数の合計は実組合等数であり、引受戸数及び被害戸数の合計は延べ戸数である。<BR>　 2. 再保険金の合計は１棟ごとの超過損害歩合再保険方式及び年間超過損害歩合再保険方式を合計した額である。<BR>　 (年間超過損害歩合再保険方式分については実績があった場合、当該年度の「被害・支払_年間超過損害再保険方式」の「合計」に表示。）","",""
"0003365514","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","17267","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","2-1","全国統計表 引受　総括表","04","農林水産業","01","農業","園芸施設共済統計表","確報","全国統計表","引受　総括表","注）１．都道府県数、組合等数は施設区分及び園芸施設共済の共済目的等による種別ごとの引受実績がある都道府県、組合の数であるため、施設区分及び園芸施設共済の共済目的等による種別の計と積み上げが合致しない。<BR>　　２．実引受戸数は１農家が複数種類の施設区分や種別に加入することがあるため、施設区分及び園芸施設共済の共済目的等による種別の計と積み上げが合致しないことがある。<BR>　　３．延引受戸数は施設区分、園芸施設共済の共済目的等による種別及び加入年月ごとの農家数を集計した延べ数である。","",""
"0003365812","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","320","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","2-1","全国統計表 引受　付帯施設に係る引受実績","04","農林水産業","01","農業","園芸施設共済統計表","確報","全国統計表","引受　付帯施設に係る引受実績","注：附帯施設の種類ごとの引受戸数は、引受年月、共済目的等による種別、施設区分ごとの引受戸数の合計(延べ戸数)である。","",""
"0003365830","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","80","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","2-1","全国統計表 引受　施設内農作物に係る引受実績","04","農林水産業","01","農業","園芸施設共済統計表","確報","全国統計表","引受　施設内農作物に係る引受実績","注：作物区分ごとの引受戸数は、実数である（「連合会又は特定組合が定める作物区分」を除く。）。","",""
"0003368591","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","16851","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","2-1","全国統計表 引受　月別棟数、面積及び共済金額","04","農林水産業","01","農業","園芸施設共済統計表","確報","全国統計表","引受　月別棟数、面積及び共済金額","","",""
"0003368809","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","22044","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","2-1","全国統計表 引受　共済責任期間別棟数、面積及び共済金額","04","農林水産業","01","農業","園芸施設共済統計表","確報","全国統計表","引受　共済責任期間別棟数、面積及び共済金額","","",""
"0003368810","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","11839","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","2-2","全国統計表 被害・支払　総括表","04","農林水産業","01","農業","園芸施設共済統計表","確報","全国統計表","被害・支払　総括表","注）１．都道府県数、被害組合等数は施設区分及び園芸施設共済の共済目的等による種別ごとの引受実績がある都道府県、組合の数であるため、施設区分及び園芸施設共済の共済目的等による種別の計と積み上げが合致しない。<BR>　　２．実被害戸数は１農家が複数種類の施設区分や種別に加入することがあるため、施設区分及び園芸施設共済の共済目的等による種別の計と積み上げが合致しないことがある。<BR>　　３．延被害戸数は施設区分、園芸施設共済の共済目的等による種別及び事故年月ごとの農家数を集計した延べ数である。","",""
"0003370490","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","23564","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","2-2","全国統計表 被害・支払　月別棟数、共済金及び再保険金","04","農林水産業","01","農業","園芸施設共済統計表","確報","全国統計表","被害・支払　月別棟数、共済金及び再保険金","","",""
"0003370331","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","15556","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","2-3","全国統計表 収支　総括表","04","農林水産業","01","農業","園芸施設共済統計表","確報","全国統計表","収支　総括表","","",""
"0003370330","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","12261","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","2-4","全国統計表 金額被害率　総括表","04","農林水産業","01","農業","園芸施設共済統計表","確報","全国統計表","金額被害率　総括表","","",""
"0003368570","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","6464","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","2-5","全国統計表 １戸当たり、１棟当たり及び１アール当たり引受・支払","04","農林水産業","01","農業","園芸施設共済統計表","確報","全国統計表","１戸当たり、１棟当たり及び１アール当たり引受・支払","","",""
"0003363371","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","255556","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","3-1","都道府県別統計表 引受　都道府県別統計表","04","農林水産業","01","農業","園芸施設共済統計表","確報","都道府県別統計表","引受　都道府県別統計表","","",""
"0003363371","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","都道府県","255556","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","3-1","都道府県別統計表 引受　都道府県別統計表","04","農林水産業","01","農業","園芸施設共済統計表","確報","都道府県別統計表","引受　都道府県別統計表","","",""
"0003368884","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","21151","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","3-1","都道府県別統計表 引受　月別引受棟数（施設区分別）","04","農林水産業","01","農業","園芸施設共済統計表","確報","都道府県別統計表","引受　月別引受棟数（施設区分別）","","",""
"0003368884","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","都道府県","21151","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","3-1","都道府県別統計表 引受　月別引受棟数（施設区分別）","04","農林水産業","01","農業","園芸施設共済統計表","確報","都道府県別統計表","引受　月別引受棟数（施設区分別）","","",""
"0003369050","園芸施設共済統計表 確報","年度次","0","2019-12-17","0","全国","22616","2023-03-22","","00500608","園芸施設共済統計表","00500","農林水産省","3-1","都道府県別統計表 引受　共済責任期間別引受棟数（施設区分別）","04","農林水産業","01","農業","園芸施設共済統計表","確報","都道府県別統計表","引受　共済責任期間別引受棟数（施設区分別）","","",""
