"@id","STATISTICS_NAME","TITLE","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE.@no","TITLE.$","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY"
"0002068081","木材需給表 長期累年","木材需給（供給）量累年統計","-","202201-202212","2024-03-29","0","該当なし","1700","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","長期累年","木材需給（供給）量累年統計","１）需要（供給）量は、丸太等の需要（供給）量と輸入した製材品、合板、パルプ・チップ等の製品を丸太材積に換算した需要（供給）量とを合計したものである。２）木材自給率の算出は次式による。　自給率＝国内生産量÷総需要量×100３）「燃料材」とは、木炭、薪、燃料用チップ及びペレットである。４）「その他用」とは、枕木、電柱、くい丸太、足場丸太等である。５）表中に使用した記号のうち、「…」は事実不詳又は調査を欠くものを示している。６）数値の合計値は、四捨五入のため計に一致しない場合がある。※貿易統計により把握する品目のうち、昭和63年から鉋がけ材を「その他用」から「製材用」に移動。また、平成3年から構造用集成材、平成20年から木製パネル（HSコード4421に含まれるもの）を新たに「その他用」に計上（令和２年からは「製材用」に移動）。※平成26年から木質バイオマス発電施設等においてエネルギー利用された燃料用チップを「薪炭材」に新たに計上することとし、これを踏まえ、項目名を「薪炭材」から「燃料材」に変更。このため、「燃料材（薪炭材）」には、平成25年以前は「薪炭材」、平成26年からは「燃料材」の数量を記載。※令和２年から、貿易統計により把握する集成材、構造用集成材、セルラーウッドパネル及び加工材の数量は「製材用」に、再生木材の数量は「パルプ・チップ用」に計上。（いずれも令和元年までは「その他用」に計上。）","","","",""
"0002068082","木材需給表 長期累年","需要量（国内消費量、輸出量）累年統計","-","202201-202212","2024-03-29","0","該当なし","1972","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","長期累年","需要量（国内消費量、輸出量）累年統計","１）「その他用材」は、枕木、電柱、くい丸太、足場丸太等である。																													２）「パルプ・チップ用材」及び「燃料用チップ等用材」の表頭が""_外数""のものは外数であり、工場残材及び解体材・廃材から生産された木材チップ等である。																													３）表中に使用した記号のうち、「…」は事実不詳又は調査を欠くものを示している。																													４）数値の合計値は、四捨五入のため計に一致しない場合がある。																													※　貿易統計により把握する品目のうち、昭和63年から鉋がけ材を「その他用材」から「製材用材」に移動。また、平成3年から構造用集成材、平成20年から木製パネル（HSコード4421に含まれるもの）を新たに「その他用材」に計上（令和２年からは「製材用材」に移動）。																													※　燃料材（薪炭材）について、国内の丸太等から生産されたペレットは、平成23年から25年までは国内消費の「薪用材」に、平成26年以降は「燃料用チップ等用材」に計上。また、平成26年から木質バイオマス発電施設等においてエネルギー利用された燃料用チップを「燃料用チップ等用材」として新たに計上することとし、これを踏まえ、項目名を「薪炭材」から「燃料材」に変更。このため、「燃料材（薪炭材）」には、平成25年以前は「薪炭材」、平成26年からは「燃料材」の数量を記載。																																																								※　平成29年から輸出の「その他」を「丸太」と丸太以外の「その他」に分割。平成28年以前の「丸太」の数量は、貿易統計の丸太の数量で「その他」の内数。																													※　令和２年から、貿易統計により把握する集成材、構造用集成材、セルラーウッドパネル及び加工材の数量は「製材用材」（輸出は「製材品等」）に、再生木材の数量は「パルプ・チップ用材」（輸出は「木材パルプ・チップ等」）に計上。（いずれも令和元年までは「その他用材」（輸出は「その他」）に計上。）																																																										","","","",""
"0002068083","木材需給表 長期累年","供給量（国内生産量、輸入量）累年統計","-","202201-202212","2024-03-29","0","該当なし","1360","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","長期累年","供給量（国内生産量、輸入量）累年統計","１）大中角・盤等の輸入半製品は、輸入の「製材品等」に計上している。２）「林地残材」とは、立木を伐採した後の林地に残されている根株、枝条等のうち、利用を目的に工場に搬入されたものである。【昭和35年表以降に該当】３）「燃料材」とは、木炭、薪、燃料用チップ及びペレットである。４）表中に使用した記号のうち、「…」は事実不詳又は調査を欠くものを示している。５）数値の合計値は、四捨五入のため計に一致しない場合がある。※貿易統計により把握する輸入の木材製品の内訳について、昭和63年から鉋がけ材を「その他」から「製材品等」に移動。また、平成3年から構造用集成材、平成20年から木製パネル（HSコード4421に含まれるもの）を新たに「その他」に計上（令和２年からは「製材品等」に移動）。※平成26年から木質バイオマス発電施設等においてエネルギー利用された燃料用チップを「薪炭材」に新たに計上することとし、これを踏まえ、項目名を「薪炭材」から「燃料材」に変更。このため、平成25年以前については「薪炭材」の数量を、平成26年からは「燃料材」の数量を記載。※令和２年から、輸入の木材製品の内訳について、貿易統計により把握する集成材、構造用集成材、セルラーウッドパネル及び加工材の数量は「製材品等」に、再生木材の数量は「木材チップ等」に計上。（いずれも令和元年までは「その他」に計上。）","","","",""
"0002067284","木材需給表 確報 令和３（2021）年木材需給表","","年次","202101-202112","2024-03-29","0","該当なし","690","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","令和３（2021）年木材需給表","１）大中角・盤等の輸入半製品は、輸入の「製材品等」に計上している。２）木材チップのうち、パルプ、紙、繊維板及び削片板等の原料になったものを「パルプ・チップ用材」に、発電等エネルギー源として利用されたものを「燃料用チップ等用材」に計上している。３）「パルプ・チップ用材」及び「燃料材」の表側が""_外数""のものは外数であり、工場残材及び解体材・廃材から生産された木材チップ等である。４）「林地残材」とは、立木を伐採した後の林地に残されている根株、枝条等のうち、利用を目的に木材チップ工場に搬入されたものである。５）「その他用材」は、坑木、電柱、くい丸太、足場丸太等である。６）輸出及び輸入の用材の「その他」は、改良木材、枕木、のこくず・木くずである。７）数値の合計値は、四捨五入のため計に一致しない場合がある。","1","木材需給表 令和３（2021）年木材需給表","令和３（2021）年木材需給表","木材需給表"
"0002067283","木材需給表 確報 令和４（2022）年木材需給表","","年次","202201-202212","2024-03-29","0","該当なし","690","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","令和４（2022）年木材需給表","１）大中角・盤等の輸入半製品は、輸入の「製材品等」に計上している。２）木材チップのうち、パルプ、紙、繊維板及び削片板等の原料になったものを「パルプ・チップ用材」に、発電等エネルギー源として利用されたものを「燃料用チップ等用材」に計上している。３）「パルプ・チップ用材」及び「燃料材」の表側が""_外数""のものは外数であり、工場残材及び解体材・廃材から生産された木材チップ等である。４）「林地残材」とは、立木を伐採した後の林地に残されている根株、枝条等のうち、利用を目的に木材チップ工場に搬入されたものである。５）「その他用材」は、坑木、電柱、くい丸太、足場丸太等である。６）輸出及び輸入の用材の「その他」は、改良木材、枕木、のこくず・木くずである。７）数値の合計値は、四捨五入のため計に一致しない場合がある。","1","木材需給表 令和４（2022）年木材需給表","令和４（2022）年木材需給表","木材需給表"
"0002067896","木材需給表 確報 平成17（2005）年木材需給表","","年次","200501-200512","2024-03-29","0","該当なし","550","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成17（2005）年木材需給表","１）大中角・盤等の輸入半製品については，「輸入」の「製材品」に含めた。２）「パルプ・チップ用材」の表側が""_外数""のものは工場残材及び解体材・廃材から生産された木材チップであり，製材用材，合板用材，その他用材に含まれるので，「総需要量」及び「国内消費」の「用材小計」には含めていない。３）「林地残材」とは，立木を伐採した後の林地に残されている根株，枝条等のうち，利用を目的に工場に搬入されたものである。４）数値の合計値は，四捨五入のため計に一致しない場合がある。","1","木材需給表 平成17（2005）年木材需給表","平成17（2005）年木材需給表","木材需給表"
"0002067804","木材需給表 確報 平成19（2007）年木材需給表","","年次","200701-200712","2024-03-29","0","該当なし","550","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成19（2007）年木材需給表","１）大中角・盤等の輸入半製品については，「輸入」の「製材品」に含めた。２）「パルプ・チップ用材」の表側が""_外数""のものは工場残材及び解体材・廃材から生産された木材チップであり，製材用材，合板用材，その他用材に含まれるので，「総需要量」及び「国内消費」の「用材小計」には含めていない。３）「林地残材」とは，立木を伐採した後の林地に残されている根株，枝条等のうち，利用を目的に工場に搬入されたものである。４）数値の合計値は，四捨五入のため計に一致しない場合がある。","1","木材需給表 平成19（2007）年木材需給表","平成19（2007）年木材需給表","木材需給表"
"0002067803","木材需給表 確報 平成20（2008）年木材需給表","","年次","200801-200812","2024-03-29","0","該当なし","550","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成20（2008）年木材需給表","１）大中角・盤等の輸入半製品については，「輸入」の「製材品」に含めた。２）「パルプ・チップ用材」の表側が""_外数""のものは工場残材及び解体材・廃材から生産された木材チップであり，製材用材，合板用材，その他用材に含まれるので，「総需要量」及び「国内消費」の「用材小計」には含めていない。３）「林地残材」とは，立木を伐採した後の林地に残されている根株，枝条等のうち，利用を目的に工場に搬入されたものである。４）数値の合計値は，四捨五入のため計に一致しない場合がある。５）20年から貿易統計の44.21その他の木製品の項目に木製パネルの一部(4421.90.991)が追加されたことから、輸入のその他に計上している。","1","木材需給表 平成20（2008）年木材需給表","平成20（2008）年木材需給表","木材需給表"
"0002067689","木材需給表 確報 平成24（2012）年木材需給表","","年次","201201-201212","2024-03-29","0","該当なし","550","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成24（2012）年木材需給表","１）大中角・盤等の輸入半製品については，「輸入」の「製材品」に含めた。２）「パルプ・チップ用材」の表側が""_外数""のものは工場残材及び解体材・廃材から生産された木材チップであり，製材用材，合板用材，その他用材に含まれるので，「総需要量」及び「国内消費」の「用材小計」には含めていない。３）「林地残材」とは，立木を伐採した後の林地に残されている根株，枝条等のうち，利用を目的に工場に搬入されたものである。４）20年から貿易統計の4421その他の木製品の項目に木製パネルの一部(4421.90.991)が追加されたことから、輸入のその他に計上している。５）23年から国内の丸太等から生産されたペレットについては、国内生産の薪炭材等に計上している。６）数値の合計値は，四捨五入のため計に一致しない場合がある。","1","木材需給表 平成24（2012）年木材需給表","平成24（2012）年木材需給表","木材需給表"
"0002067901","木材需給表 確報 平成15（2003）年木材需給表","","年次","200301-200312","2024-03-29","0","該当なし","550","2024-03-29","","00501000","木材需給表","00501","林野庁","04","農林水産業","03","林業","木材需給表","確報","平成15（2003）年木材需給表","１）大中角・盤等の輸入半製品については，「輸入」の「製材品」に含めた。２）「パルプ・チップ用材」の表側が""_外数""のものは，工場残材及び解体材・廃材から生産された木材チップであり，製材用材，合板用材，その他用材に含まれるので，「総需要量」及び「国内消費」の「用材小計」には含めていない。３）「林地残材」とは，立木を伐採した後の林地に残されている根株，枝条等のうち，利用を目的に工場に搬入されたものである。４）数値の合計値は，四捨五入のため計に一致しない場合がある。","1","木材需給表 平成15（2003）年木材需給表","平成15（2003）年木材需給表","木材需給表"
