"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2"
"0003408441","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","36","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1","総括表　　生産森林組合 設立動機別組合数　（その１）","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","総括表　　生産森林組合","設立動機別組合数　（その１）","","","",""
"0003408442","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","12","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1","総括表　　生産森林組合 設立動機別組合数　（その２）","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","総括表　　生産森林組合","設立動機別組合数　（その２）","","","",""
"0003408516","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","1728","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1","都道府県別内訳表　　生産森林組合 設立動機別組合数","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　生産森林組合","設立動機別組合数","","","",""
"0003408516","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","都道府県","1728","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1","都道府県別内訳表　　生産森林組合 設立動機別組合数","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　生産森林組合","設立動機別組合数","","","",""
"0003408392","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","16","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-1","総括表　　森林組合　　組織・執行体制 森林組合数及び調査票提出組合数","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","総括表　　森林組合　　組織・執行体制","森林組合数及び調査票提出組合数","（注）・設立組合数は、年度末現在で設立されている組合数である。","","",""
"0003408458","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","2880","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-1","都道府県別内訳表　　森林組合　　組織・執行体制 地区内森林面積　地区内森林面積の内訳","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","地区内森林面積　地区内森林面積の内訳","","","",""
"0003408458","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","都道府県","2880","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-1","都道府県別内訳表　　森林組合　　組織・執行体制 地区内森林面積　地区内森林面積の内訳","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","地区内森林面積　地区内森林面積の内訳","","","",""
"0003408459","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","1152","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-1","都道府県別内訳表　　森林組合　　組織・執行体制 地区内森林面積　うち組合員所有面積","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","地区内森林面積　うち組合員所有面積","","","",""
"0003408459","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","都道府県","1152","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-1","都道府県別内訳表　　森林組合　　組織・執行体制 地区内森林面積　うち組合員所有面積","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","地区内森林面積　うち組合員所有面積","","","",""
"0003408402","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","24","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-10","総括表　　森林組合　　組織・執行体制 専従職員数","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","総括表　　森林組合　　組織・執行体制","専従職員数","","","",""
"0003408468","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","2160","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-10","都道府県別内訳表　　森林組合　　組織・執行体制 専従職員の内訳","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","専従職員の内訳","","","",""
"0003408468","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","都道府県","2160","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-10","都道府県別内訳表　　森林組合　　組織・執行体制 専従職員の内訳","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","専従職員の内訳","","","",""
"0003408403","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","36","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-11","総括表　　森林組合　　組織・執行体制 払込済出資金別組合数","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","総括表　　森林組合　　組織・執行体制","払込済出資金別組合数","","","",""
"0003408470","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","720","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-12","都道府県別内訳表　　森林組合　　組織・執行体制 市売市場の内訳","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","市売市場の内訳","","","",""
"0003408470","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","都道府県","720","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-12","都道府県別内訳表　　森林組合　　組織・執行体制 市売市場の内訳","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","市売市場の内訳","","","",""
"0003408393","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","92","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-2","総括表　　森林組合　　組織・執行体制 地区内森林面積及び組合員所有森林面積　地区内森林面積の内訳","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","総括表　　森林組合　　組織・執行体制","地区内森林面積及び組合員所有森林面積　地区内森林面積の内訳","（注）・組合加入率とは、民有林における加入率で、都道府県有林を除く率で示してある。<br>・組合の地区は重複している場合があるので、森林面積は延べ面積である。","","",""
"0003408394","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","24","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-2","総括表　　森林組合　　組織・執行体制 地区内森林面積及び組合員所有森林面積　「組合員所有森林面積」のうち「私有林」の地区内居住者所有と地区外居住者所有の内訳","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","総括表　　森林組合　　組織・執行体制","地区内森林面積及び組合員所有森林面積　「組合員所有森林面積」のうち「私有林」の地区内居住者所有と地区外居住者所有の内訳","","","",""
"0003408460","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","864","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-2","都道府県別内訳表　　森林組合　　組織・執行体制 組合員所有森林（私有林）の内訳","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","組合員所有森林（私有林）の内訳","","","",""
"0003408460","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","都道府県","864","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-2","都道府県別内訳表　　森林組合　　組織・執行体制 組合員所有森林（私有林）の内訳","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","組合員所有森林（私有林）の内訳","","","",""
"0003408395","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","24","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-3","総括表　　森林組合　　組織・執行体制 組合員所有森林面積別組合数","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","総括表　　森林組合　　組織・執行体制","組合員所有森林面積別組合数","","","",""
"0003408461","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","864","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-3","都道府県別内訳表　　森林組合　　組織・執行体制 組合員所有森林面積別組合数","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","組合員所有森林面積別組合数","","","",""
"0003408461","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","都道府県","864","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-3","都道府県別内訳表　　森林組合　　組織・執行体制 組合員所有森林面積別組合数","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","組合員所有森林面積別組合数","","","",""
"0003408396","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","36","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-4","総括表　　森林組合　　組織・執行体制 組合員数","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","総括表　　森林組合　　組織・執行体制","組合員数","","","",""
"0003408462","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","1728","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-4","都道府県別内訳表　　森林組合　　組織・執行体制 組合員数","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","組合員数","","","",""
"0003408462","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","都道府県","1728","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-4","都道府県別内訳表　　森林組合　　組織・執行体制 組合員数","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","組合員数","","","",""
"0003408397","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","20","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-5","総括表　　森林組合　　組織・執行体制 総代会制の有無及び役員選出の方法","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","総括表　　森林組合　　組織・執行体制","総代会制の有無及び役員選出の方法","","","",""
"0003408463","森林組合一斉調査 確報 森林組合統計","年度次","0","2020-03-03","0","全国","768","2024-01-15","","00501001","森林組合一斉調査","00501","林野庁","1-5","都道府県別内訳表　　森林組合　　組織・執行体制 総代会制の有無及び役員選出の方法","07","企業・家計・経済","01","企業活動","森林組合一斉調査","確報","森林組合統計","都道府県別内訳表　　森林組合　　組織・執行体制","総代会制の有無及び役員選出の方法","","","",""
