"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_EXPLANATION","TITLE_SPEC.TABLE_SUB_CATEGORY1","TITLE_SPEC.TABLE_SUB_CATEGORY2","TITLE_SPEC.TABLE_SUB_CATEGORY3"
"0003290548","特用林産物生産統計調査 確報 平成29年度特用林産基礎資料","年次","201701-201712","2019-03-19","0","該当なし","768","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","1","概要 主要特用林産物需給総括表","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","概要","主要特用林産物需給総括表","（注）１．まつたけ、木炭、薪の1965年の生産量は「農林省統計表」による。　　　２．たけのこの1965年の生産量は「農林省統計表」、1975年は「食料需給表」による。　　　３．くりの2010年以降の生産量は農林水産省統計部「西洋なし、かき、くりの結果樹面積、収穫量及び出荷量」の収穫量による。　　　　　また、くるみの2010年以降の生産量は林野庁での調査は行わず、農林水産省生産局「特産果樹生産動態等調査」で調査を行う。　　４．煉炭、豆炭の生産量は、日本煉炭工業会調べによる。      ５．上記以外の生産量は、都道府県林務担当課からの報告の集計による。      ６．輸入量、輸出量は財務省貿易統計による。      ７．消費量は繰越、在庫等を考慮しない単純計算（生産量＋輸入量－輸出量）により算出した。      ８．単位が整数表示の場合、0は四捨五入で単位に満たないもの、－は不明のもの又はないものである。　　　　　単位が小数点第1位表示の場合、－は四捨五入で単位に満たないもの、不明のもの又はないものである。      ９．食用の品目について、生産量は、生食用、加工用として流通する基準をみたすものの重量をいい、出荷量とは、生産量から生産者の自家消費、生産物を贈与した量、収穫後の減耗等を差し引いた重量をいう。　　　　　非食用の品目について、木炭、薪、オガライト、オガ炭、煉炭、豆炭以外の生産量は、すべて販売に供された分のみ計上した。      10．食用の特用林産物のうち、乾しいたけ、乾きくらげ類、乾ぜんまいを除き、すべて生を意味する。      11．1980年以前のひらたけには、ぶなしめじが含まれている。      12．桐材の輸入量には丸太のほか、製材、加工材も含む。      13．きくらげ類の輸入量は「乾燥重量×10」により生に換算して計上した。      14．くりの輸入量は1991年以降は「生鮮」「一時保存」「マロングラッセ」「加糖缶詰」の合計。　　　　　「一時保存」「マロングラッセ」は2倍、「加糖缶詰」は1.13倍して「生鮮」に換算して計上した。　　　15．くるみの輸入量は「むきみ」×3により「からつき」換算して計上した。　      16．たけのこの輸入量は「輸入量×2.364」により「生たけのこ」換算して計上した。      17．つばき油の輸入量は、「輸入量÷0.915」によりｋｌに換算して計上した。　　  18．竹材の輸入量及び輸出量は、束当たり30kgに換算して計上した。      19．薪は「束÷45」により層積ｍ３に換算して計上した。      　　　20．木炭は1991年から生産量に粉炭、輸入量に「やし殻炭」、平成８年まで生産量に竹炭を含む。　　　　　また、2007年から木炭の輸入量並びに輸出量から「竹炭」を除いている。      21．合計が一致しない部分は四捨五入によるものである。","","",""
"0003290643","特用林産物生産統計調査 確報 平成29年度特用林産基礎資料","年次","201701-201712","2019-03-19","0","該当なし","144","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","10","品目別資料 乾しいたけの生産量（合計）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","品目別資料","乾しいたけの生産量（合計）","","","",""
"0003290644","特用林産物生産統計調査 確報 平成29年度特用林産基礎資料","年次","201701-201712","2019-03-19","0","該当なし","720","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","11","品目別資料 乾しいたけの生産量（原木栽培計）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","品目別資料","乾しいたけの生産量（原木栽培計）","","","",""
"0003290645","特用林産物生産統計調査 確報 平成29年度特用林産基礎資料","年次","201701-201712","2019-03-19","0","該当なし","720","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","12","品目別資料 乾しいたけの生産量（どんこ）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","品目別資料","乾しいたけの生産量（どんこ）","","","",""
"0003290646","特用林産物生産統計調査 確報 平成29年度特用林産基礎資料","年次","201701-201712","2019-03-19","0","該当なし","720","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","13","品目別資料 乾しいたけの生産量（こうしん）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","品目別資料","乾しいたけの生産量（こうしん）","","","",""
"0003290647","特用林産物生産統計調査 確報 平成29年度特用林産基礎資料","年次","201701-201712","2019-03-19","0","該当なし","720","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","14","品目別資料 乾しいたけの生産量（山成）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","品目別資料","乾しいたけの生産量（山成）","","","",""
"0003290648","特用林産物生産統計調査 確報 平成29年度特用林産基礎資料","年次","201701-201712","2019-03-19","0","該当なし","144","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","15","品目別資料 乾しいたけの生産量（菌床栽培）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","品目別資料","乾しいたけの生産量（菌床栽培）","","","",""
"0003290649","特用林産物生産統計調査 確報 平成29年度特用林産基礎資料","年次","201701-201712","2019-03-19","0","該当なし","144","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","16","品目別資料 生しいたけの生産量（合計）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","品目別資料","生しいたけの生産量（合計）","","","",""
"0003290650","特用林産物生産統計調査 確報 平成29年度特用林産基礎資料","年次","201701-201712","2019-03-19","0","該当なし","144","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","17","品目別資料 生しいたけの生産量（原木栽培）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","品目別資料","生しいたけの生産量（原木栽培）","","","",""
"0003290651","特用林産物生産統計調査 確報 平成29年度特用林産基礎資料","年次","201701-201712","2019-03-19","0","該当なし","144","2025-04-08","","00501004","特用林産物生産統計調査","00501","林野庁","18","品目別資料 生しいたけの生産量（菌床栽培）","04","農林水産業","03","林業","特用林産物生産統計調査","確報","平成29年度特用林産基礎資料","品目別資料","生しいたけの生産量（菌床栽培）","","","",""
