"@id","STATISTICS_NAME","CYCLE","SURVEY_DATE","OPEN_DATE","SMALL_AREA","COLLECT_AREA","OVERALL_TOTAL_NUMBER","UPDATED_DATE","DESCRIPTION","STAT_NAME.@code","STAT_NAME.$","GOV_ORG.@code","GOV_ORG.$","TITLE.@no","TITLE.$","MAIN_CATEGORY.@code","MAIN_CATEGORY.$","SUB_CATEGORY.@code","SUB_CATEGORY.$","STATISTICS_NAME_SPEC.TABULATION_CATEGORY","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY1","STATISTICS_NAME_SPEC.TABULATION_SUB_CATEGORY2","TITLE_SPEC.TABLE_CATEGORY","TITLE_SPEC.TABLE_NAME","TITLE_SPEC.TABLE_SUB_CATEGORY1"
"0002066459","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","784","2024-03-29","","00501007","森林資源の現況","00501","林野庁","1","森林資源現況総括表 全国","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","全国",""
"0002066460","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","1200","2024-03-29","","00501007","森林資源の現況","00501","林野庁","2","森林資源現況総括表 都道府県別総括表 全森林","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別総括表","全森林"
"0002066461","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","1200","2024-03-29","","00501007","森林資源の現況","00501","林野庁","2","森林資源現況総括表 都道府県別総括表 ７条の２森林のうち、林野庁","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別総括表","７条の２森林のうち、林野庁"
"0002066462","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","1200","2024-03-29","","00501007","森林資源の現況","00501","林野庁","2","森林資源現況総括表 都道府県別総括表 ７条の２森林のうち、官行造林地","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別総括表","７条の２森林のうち、官行造林地"
"0002066463","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","1200","2024-03-29","","00501007","森林資源の現況","00501","林野庁","2","森林資源現況総括表 都道府県別総括表 計画対象外国有林のうち、林野庁所管","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別総括表","計画対象外国有林のうち、林野庁所管"
"0002066464","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","1200","2024-03-29","","00501007","森林資源の現況","00501","林野庁","2","森林資源現況総括表 都道府県別総括表 計画対象外国有林のうち、他省庁所管","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別総括表","計画対象外国有林のうち、他省庁所管"
"0002066465","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","1200","2024-03-29","","00501007","森林資源の現況","00501","林野庁","2","森林資源現況総括表 都道府県別総括表 ５条森林のうち、公有林","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別総括表","５条森林のうち、公有林"
"0002066466","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","1200","2024-03-29","","00501007","森林資源の現況","00501","林野庁","2","森林資源現況総括表 都道府県別総括表 ５条森林のうち、私有林","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別総括表","５条森林のうち、私有林"
"0002066467","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","1200","2024-03-29","","00501007","森林資源の現況","00501","林野庁","2","森林資源現況総括表 都道府県別総括表 計画対象外民有林","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別総括表","計画対象外民有林"
"0002066468","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","784","2024-03-29","","00501007","森林資源の現況","00501","林野庁","3","森林資源現況総括表 都道府県別個表 北海道","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別個表","北海道"
"0002066469","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","784","2024-03-29","","00501007","森林資源の現況","00501","林野庁","3","森林資源現況総括表 都道府県別個表 青森県","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別個表","青森県"
"0002066470","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","784","2024-03-29","","00501007","森林資源の現況","00501","林野庁","3","森林資源現況総括表 都道府県別個表 岩手県","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別個表","岩手県"
"0002066471","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","784","2024-03-29","","00501007","森林資源の現況","00501","林野庁","3","森林資源現況総括表 都道府県別個表 宮城県","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別個表","宮城県"
"0002066472","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","784","2024-03-29","","00501007","森林資源の現況","00501","林野庁","3","森林資源現況総括表 都道府県別個表 秋田県","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別個表","秋田県"
"0002066473","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","784","2024-03-29","","00501007","森林資源の現況","00501","林野庁","3","森林資源現況総括表 都道府県別個表 山形県","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別個表","山形県"
"0002066474","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","784","2024-03-29","","00501007","森林資源の現況","00501","林野庁","3","森林資源現況総括表 都道府県別個表 福島県","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別個表","福島県"
"0002066475","森林資源の現況 確報 森林資源の現況（令和4年3月31日現在）","-","202201-202212","2024-03-29","0","該当なし","784","2024-03-29","","00501007","森林資源の現況","00501","林野庁","3","森林資源現況総括表 都道府県別個表 茨城県","04","農林水産業","03","林業","森林資源の現況","確報","森林資源の現況（令和4年3月31日現在）","森林資源現況総括表","都道府県別個表","茨城県"
